SeqNumber,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Avg_Lag_1_Temperature(°C),Avg_Lag_2_Temperature(°C),Avg_Lag_1_Humidity(%),Avg_Lag_2_Humidity(%),Avg_Lag_1_Sunlight(Lux),Avg_Lag_2_Sunlight(Lux),Avg_Lag_1_Power(mW),Avg_Lag_2_Power(mW),Max_Lag_1_Temperature(°C),Max_Lag_2_Temperature(°C),Max_Lag_1_Humidity(%),Max_Lag_2_Humidity(%),Max_Lag_1_Sunlight(Lux),Max_Lag_2_Sunlight(Lux),Max_Lag_1_Power(mW),Max_Lag_2_Power(mW),Min_Lag_1_Temperature(°C),Min_Lag_2_Temperature(°C),Min_Lag_1_Humidity(%),Min_Lag_2_Humidity(%),Min_Lag_1_Sunlight(Lux),Min_Lag_2_Sunlight(Lux),Min_Lag_1_Power(mW),Min_Lag_2_Power(mW),MA6_Temperature(°C),MA6_Max_Temperature(°C),MA6_Min_Temperature(°C),MA6_Humidity(%),MA6_Max_Humidity(%),MA6_Min_Humidity(%),MA6_Sunlight(Lux),MA6_Max_Sunlight(Lux),MA6_Min_Sunlight(Lux),MA6_Power(mW),MA6_Max_Power(mW),MA6_Min_Power(mW),Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Minute_0,Minute_10,Minute_20,Minute_30,Minute_40,Minute_50,Avg_Power(mW)
20240317090003,35.92904281616211,34.07794952392578,70974.234375,37.027137756347656,35.897274017333984,79297.9375,1156.0206298828125,34.966670989990234,31.352643966674805,60839.13671875,721.1975708007812,35.76091384887695,35.51926040649414,34.081138610839844,35.01414108276367,69943.8203125,71910.59375,923.3709716796875,909.4451904296875,37.055213928222656,36.91374588012695,36.94179916381836,36.55357360839844,80525.78125,78927.609375,1171.359130859375,1124.9822998046875,34.84770965576172,34.51994705200195,31.71030616760254,30.830204010009766,62959.53515625,63297.0625,763.358642578125,720.7601318359375,32.7548828125,34.11511993408203,31.500682830810547,44.59040451049805,45.76704406738281,40.51114273071289,58529.15234375,67185.5859375,52536.8984375,687.436279296875,863.9663696289062,548.72412109375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,922.0938135036482
20240317091003,35.359580993652344,35.43022155761719,67339.1640625,36.53738784790039,37.373111724853516,74610.9375,1087.2342529296875,34.66803741455078,32.79276657104492,58056.7265625,685.3527221679688,35.33423614501953,35.29178237915039,35.21804428100586,36.54996109008789,66271.796875,68404.4453125,884.252197265625,849.4317016601562,36.56365203857422,36.44234848022461,37.564300537109375,37.230464935302734,76456.90625,74637.4375,1088.00048828125,1058.3060302734375,34.481937408447266,34.215919494628906,33.21857833862305,32.17790222167969,59739.59765625,59798.76953125,711.9991455078125,687.614013671875,33.2170295715332,34.7294807434082,32.2032356262207,42.703338623046875,43.60017395019531,38.723331451416016,59352.09765625,67752.4375,53324.66015625,724.9564819335938,901.965576171875,578.8655395507812,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,874.0529383396344
20240317092003,35.65033721923828,34.24439239501953,66185.140625,36.73793411254883,36.311927795410156,73430.125,1066.0640869140625,35.018516540527344,31.865297317504883,57396.2421875,678.7958984375,35.69694519042969,35.63435745239258,34.25770950317383,35.43296813964844,65414.078125,67402.09375,879.5790405273438,840.6542358398438,36.85639953613281,36.71229934692383,36.289649963378906,35.697181701660156,75466.4140625,73653.4609375,1069.669189453125,1045.0733642578125,34.70907974243164,34.54846954345703,32.18842315673828,31.091453552246094,58524.78125,58940.09375,707.6046142578125,681.7169189453125,34.050662994384766,35.615901947021484,33.13408660888672,39.432151794433594,40.523399353027344,35.59651184082031,60553.94921875,69085.6171875,54863.30078125,766.2023315429688,942.1964721679688,615.2147216796875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,865.0497781467237
20240317093003,35.937164306640625,32.77198791503906,64889.59765625,36.954490661621094,34.85373306274414,71464.4296875,1049.5142822265625,35.28168869018555,30.779529571533203,57199.17578125,678.7520751953125,35.8584098815918,35.840965270996094,32.857269287109375,34.10792541503906,64373.2421875,66390.65625,879.8226318359375,846.9263305664062,37.06949996948242,37.02082824707031,34.832420349121094,34.275657653808594,74183.0234375,72440.3046875,1049.127197265625,1025.2586669921875,35.04834747314453,34.72835922241211,30.932279586791992,29.896377563476562,57822.2578125,58475.578125,705.9519653320312,685.9276123046875,34.75987243652344,36.31193923950195,33.78632354736328,36.36841583251953,37.647064208984375,33.154354095458984,61490.3046875,69261.03125,55761.953125,795.7992553710938,966.7925415039062,655.7421875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,862.5080356582491
20240317094003,36.22638702392578,31.10997772216797,65592.671875,37.30680847167969,33.60348129272461,72022.75,1074.2633056640625,35.643829345703125,29.28339958190918,58092.21875,695.8823852539062,36.19036102294922,36.175533294677734,31.264619827270508,32.86083221435547,65212.4296875,67221.453125,900.0387573242188,875.1443481445312,37.446495056152344,37.384395599365234,33.31074142456055,32.720462799072266,75045.5234375,73267.609375,1070.441650390625,1048.02734375,35.471717834472656,35.135337829589844,29.495529174804688,28.549089431762695,58575.8203125,59274.78125,727.0608520507812,701.935302734375,35.34931945800781,36.98342514038086,34.37570571899414,33.86871337890625,35.47722244262695,30.737516403198242,62902.2734375,70359.09375,56808.87109375,834.584228515625,999.8098754882812,687.7838134765625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,881.1901965910246
20240317095003,36.323951721191406,29.51123046875,66064.03125,37.460845947265625,31.992074966430664,72016.6796875,1078.822509765625,35.80719757080078,27.9611873626709,58885.05859375,713.3395385742188,36.28261947631836,36.3339729309082,29.944488525390625,31.244543075561523,65736.3671875,67670.765625,917.75244140625,893.7740478515625,37.55529022216797,37.60529708862305,31.914644241333008,31.300535202026367,75233.0703125,73589.3125,1084.3345947265625,1051.1884765625,35.679710388183594,35.25262451171875,28.13780975341797,26.824451446533203,59166.2265625,60340.08984375,759.1587524414062,721.8937377929688,35.66605758666992,37.32377624511719,34.72080612182617,31.70951271057129,32.963722229003906,28.498226165771484,64221.375,70949.3515625,58450.46875,866.39501953125,1013.8441772460938,726.1715698242188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,902.8164479034476
20240317100003,36.51258087158203,28.27801513671875,66882.015625,37.637245178222656,30.8498477935791,73067.4453125,1105.9429931640625,35.956539154052734,26.747892379760742,59286.078125,732.5598754882812,36.46530532836914,36.577476501464844,28.82183837890625,29.91673469543457,66668.1796875,68699.375,933.1565551757812,926.56982421875,37.84632110595703,37.8399772644043,30.9375,29.942018508911133,75963.34375,74258.2890625,1107.8228759765625,1063.4693603515625,35.81846618652344,35.45644760131836,27.00676918029785,25.541746139526367,60304.9921875,60990.34765625,781.0267944335938,735.4103393554688,36.048770904541016,37.624019622802734,35.029869079589844,30.206762313842773,31.179107666015625,26.778350830078125,65438.90234375,72092.7578125,59860.2421875,907.0059814453125,1049.302001953125,752.1010131835938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,921.3882532694599
20240317101003,36.25095748901367,28.484142303466797,65187.27734375,37.360225677490234,31.005191802978516,71896.359375,1090.9908447265625,35.719451904296875,26.637001037597656,57418.3359375,698.8807983398438,36.24510192871094,36.387081146240234,28.871353149414062,29.9304256439209,65238.14453125,67076.0703125,906.742919921875,892.2839965820312,37.59821319580078,37.6713752746582,30.855850219726562,29.888225555419922,75408.4296875,73341.46875,1080.2821044921875,1047.5382080078125,35.59303665161133,35.16579055786133,26.912830352783203,25.60971450805664,59108.734375,59027.359375,744.4573364257812,700.2689208984375,35.9705696105957,37.5924072265625,35.13279724121094,29.811031341552734,30.42317008972168,26.165103912353516,65511.015625,72160.0703125,59292.90234375,910.6285400390625,1061.2900390625,733.976318359375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,889.7249134246457
20240317102003,36.31174087524414,27.80189323425293,62952.15625,37.29141616821289,30.163049697875977,70466.09375,1069.496826171875,35.71680450439453,25.728364944458008,54775.2890625,659.325927734375,36.34933090209961,36.38589096069336,28.195037841796875,28.82383918762207,63245.515625,64716.1796875,866.9566040039062,849.171142578125,37.59978103637695,37.73501968383789,29.915002822875977,28.84721565246582,74085.734375,71921.2578125,1058.501953125,1028.640380859375,35.48941421508789,35.144920349121094,25.8577938079834,24.799072265625,56888.71484375,56592.8359375,700.684814453125,653.71142578125,36.26921463012695,37.856021881103516,35.50264358520508,27.994319915771484,28.62432098388672,24.250295639038086,65041.453125,72389.3671875,58567.265625,904.49609375,1074.56982421875,712.551025390625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,851.1209787496439
20240317103003,36.16877746582031,27.84300994873047,59252.36328125,37.009033203125,29.926246643066406,66571.9375,1020.1802368164062,35.448219299316406,25.76729965209961,51521.890625,611.9696655273438,36.05147171020508,36.06052780151367,28.16559600830078,28.564281463623047,59663.65234375,60829.6484375,810.0479125976562,790.7249755859375,37.31401824951172,37.53512954711914,29.655303955078125,28.732088088989258,70641.828125,68510.171875,1002.2716674804688,974.1116333007812,35.24412536621094,34.835540771484375,25.697690963745117,24.915441513061523,53820.40625,53139.2265625,637.5819702148438,602.1484985351562,36.39607620239258,37.945411682128906,35.56729507446289,26.704723358154297,27.421855926513672,23.378007888793945,63456.34375,70975.640625,56586.08984375,874.1914672851562,1059.27783203125,688.1893920898438,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,796.8096780440301
