SeqNumber,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Avg_Lag_1_Temperature(°C),Avg_Lag_2_Temperature(°C),Avg_Lag_1_Humidity(%),Avg_Lag_2_Humidity(%),Avg_Lag_1_Sunlight(Lux),Avg_Lag_2_Sunlight(Lux),Avg_Lag_1_Power(mW),Avg_Lag_2_Power(mW),Max_Lag_1_Temperature(°C),Max_Lag_2_Temperature(°C),Max_Lag_1_Humidity(%),Max_Lag_2_Humidity(%),Max_Lag_1_Sunlight(Lux),Max_Lag_2_Sunlight(Lux),Max_Lag_1_Power(mW),Max_Lag_2_Power(mW),Min_Lag_1_Temperature(°C),Min_Lag_2_Temperature(°C),Min_Lag_1_Humidity(%),Min_Lag_2_Humidity(%),Min_Lag_1_Sunlight(Lux),Min_Lag_2_Sunlight(Lux),Min_Lag_1_Power(mW),Min_Lag_2_Power(mW),MA6_Temperature(°C),MA6_Max_Temperature(°C),MA6_Min_Temperature(°C),MA6_Humidity(%),MA6_Max_Humidity(%),MA6_Min_Humidity(%),MA6_Sunlight(Lux),MA6_Max_Sunlight(Lux),MA6_Min_Sunlight(Lux),MA6_Power(mW),MA6_Max_Power(mW),MA6_Min_Power(mW),Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Minute_0,Minute_10,Minute_20,Minute_30,Minute_40,Minute_50,Avg_Power(mW)
20240215090015,24.578922271728516,56.57979202270508,25730.5546875,25.516761779785156,58.84031295776367,32436.5390625,310.2577209472656,24.09719467163086,53.929779052734375,20521.029296875,108.13750457763672,24.90526008605957,24.639822006225586,57.09206771850586,56.43281173706055,25431.00390625,24347.904296875,178.87106323242188,168.1224365234375,25.339670181274414,25.335224151611328,58.87435531616211,59.510154724121094,32958.0546875,31971.103515625,304.38592529296875,255.28738403320312,24.142759323120117,24.022642135620117,54.170352935791016,54.14523696899414,18983.697265625,19289.39453125,81.61859130859375,45.532814025878906,23.55429458618164,24.527376174926758,23.402902603149414,58.81819152832031,61.34840774536133,57.05363464355469,18819.328125,24855.724609375,14794.85546875,57.84115219116211,146.42591857910156,0.009999999776482582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,202.40413311441299
20240215091015,25.392946243286133,55.913658142089844,31166.150390625,26.394481658935547,58.41401672363281,38652.9609375,461.5782775878906,24.79998016357422,53.06437683105469,24856.248046875,188.20811462402344,25.72777557373047,25.357616424560547,56.69499969482422,56.16304397583008,30520.228515625,29409.232421875,295.30767822265625,278.4731140136719,26.182048797607422,26.196155548095703,58.747467041015625,59.19638442993164,39337.80078125,38443.12109375,441.1820983886719,406.3763732910156,24.842243194580078,24.76324462890625,53.403621673583984,53.517066955566406,22990.87109375,23473.66796875,167.9869384765625,126.0738525390625,23.858884811401367,24.906490325927734,23.687898635864258,59.72261047363281,62.33327102661133,57.894500732421875,21460.3125,28509.607421875,16206.16796875,97.63761138916016,205.21311950683594,0.009999999776482582,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,325.24546280731363
20240215092015,26.862199783325195,53.53822326660156,40391.8203125,27.980472564697266,56.55962371826172,50505.36328125,723.3065185546875,26.16196060180664,50.451786041259766,32034.24609375,310.868408203125,27.129226684570312,26.775053024291992,54.47770690917969,53.99496841430664,39594.95703125,38441.67578125,487.8639221191406,476.3059997558594,27.76202392578125,27.81569480895996,56.84151077270508,57.281768798828125,50575.9453125,50033.80078125,690.9461669921875,671.813720703125,26.092544555664062,26.04995346069336,50.74835205078125,50.888553619384766,29676.09375,30116.880859375,307.5237731933594,263.8468322753906,24.604145050048828,25.713462829589844,24.247499465942383,59.65171813964844,62.52217483520508,57.64686965942383,26901.79296875,35949.3515625,19677.16015625,189.29052734375,352.75506591796875,42.86528778076172,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,518.6427711353773
20240215093015,29.077516555786133,48.591346740722656,53575.69140625,30.32204246520996,52.25434112548828,66968.5234375,1089.4261474609375,28.178495407104492,45.143043518066406,42922.36328125,508.82843017578125,29.248035430908203,28.91098976135254,49.67182159423828,49.4586296081543,52942.59375,51988.453125,773.9969482421875,770.2268676757812,30.160356521606445,30.230560302734375,52.575984954833984,52.870445251464844,66935.2578125,66457.15625,1054.1181640625,1043.1495361328125,27.986387252807617,28.001379013061523,45.456844329833984,45.587120056152344,40114.828125,40463.92578125,523.9974365234375,483.2571105957031,25.805877685546875,27.015701293945312,25.21611213684082,58.150150299072266,61.18185043334961,55.71299743652344,35107.0234375,46757.1171875,25468.615234375,343.3934326171875,566.3219604492188,140.026123046875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,797.3269202703545
20240215094015,31.415956497192383,43.317420959472656,67333.7890625,32.72832489013672,47.38621139526367,82666.359375,1431.1702880859375,30.266250610351562,39.50697708129883,54855.91015625,741.562255859375,31.60307502746582,31.238697052001953,44.46649932861328,44.36345291137695,66559.453125,65944.296875,1072.185546875,1067.0775146484375,32.70985794067383,32.7131462097168,47.3505744934082,48.12129211425781,82564.875,82072.40625,1400.0069580078125,1397.7286376953125,30.09676170349121,30.112825393676758,40.105098724365234,40.28818130493164,51793.765625,52295.2890625,755.4615478515625,723.3359985351562,27.391372680664062,28.760452270507812,26.632352828979492,55.338172912597656,58.36531066894531,52.383148193359375,44699.41796875,58464.71484375,33062.90625,527.932861328125,803.9552612304688,282.326416015625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1090.538523768224
20240215095015,33.75657653808594,38.69632339477539,81784.0234375,35.03569030761719,43.122955322265625,98290.078125,1749.8106689453125,32.414031982421875,34.60933303833008,68611.46875,1027.92041015625,33.857337951660156,33.64665985107422,39.81436538696289,39.66478729248047,81094.578125,80852.1171875,1388.1221923828125,1383.1849365234375,35.0809440612793,35.143524169921875,42.65621566772461,43.769508361816406,98210.4453125,97232.7109375,1748.22412109375,1734.123779296875,32.29396438598633,32.19379425048828,35.68649673461914,35.6356315612793,65283.484375,65735.4453125,1019.4354858398438,1004.9893188476562,29.241056442260742,30.757661819458008,28.273818969726562,52.0521354675293,54.98514938354492,48.561012268066406,56290.9296875,71386.71875,43137.2578125,759.4839477539062,1080.6932373046875,480.82135009765625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1395.2560490494434
20240215100015,35.15243911743164,35.543670654296875,93899.84375,36.3232307434082,39.84443664550781,109152.7890625,1980.8829345703125,33.69444274902344,31.6747989654541,80926.03125,1303.99755859375,35.277061462402344,35.10020446777344,36.71144485473633,36.42491149902344,92748.375,92725.6171875,1652.33984375,1639.9454345703125,36.40507888793945,36.55979919433594,39.089115142822266,40.51232147216797,109146.6640625,107968.7734375,1987.8663330078125,1964.5064697265625,33.66381072998047,33.532039642333984,32.91238021850586,32.684532165527344,77678.6484375,77937.734375,1274.6451416015625,1270.487060546875,30.743484497070312,32.30787658691406,29.67557144165039,48.48678970336914,50.94363021850586,44.75041580200195,68045.75,82623.125,54404.94140625,1003.2896728515625,1333.5811767578125,716.9803466796875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1660.0316292308812
20240215101015,35.437583923339844,35.3425178527832,97540.078125,36.435211181640625,39.31777572631836,109731.890625,2004.613525390625,33.941036224365234,31.83245277404785,86444.3984375,1429.646728515625,35.5526008605957,35.32644271850586,36.714962005615234,36.33899688720703,95931.9921875,96286.7265625,1730.843505859375,1717.3114013671875,36.40168762207031,36.7459831237793,38.42715072631836,39.96281814575195,110715.8203125,109451.46875,2010.8424072265625,1995.5556640625,34.126338958740234,33.91943359375,33.32280731201172,32.886619567871094,83250.15625,83564.359375,1400.9649658203125,1401.7799072265625,32.04084014892578,33.64411926269531,30.98894691467285,45.14491271972656,47.070438385009766,41.26054382324219,77418.9609375,90414.9296875,64321.078125,1221.8922119140625,1527.0816650390625,950.6852416992188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1742.3556921826198
20240215102015,35.85068893432617,35.08376693725586,101961.046875,36.72795104980469,38.87620544433594,112262.03125,2053.238037109375,34.47550582885742,31.89536476135254,92078.8125,1560.740478515625,35.941184997558594,35.7755012512207,36.53248596191406,36.11075210571289,100243.8359375,100967.8203125,1826.4908447265625,1821.6121826171875,36.648555755615234,37.149234771728516,37.70970153808594,39.224449157714844,113471.859375,112235.734375,2067.95703125,2054.247314453125,34.66680908203125,34.4161262512207,33.45907974243164,32.85209655761719,89428.21875,89157.7265625,1534.9376220703125,1542.84814453125,33.29108810424805,34.828189849853516,32.166282653808594,42.26933288574219,43.91204071044922,38.561161041259766,86714.1015625,98034.78125,74318.1796875,1433.549072265625,1713.530517578125,1176.57763671875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1834.9813239427272
20240215103015,36.16920471191406,34.47374725341797,105402.046875,36.990379333496094,38.06842041015625,113949.4609375,2096.128173828125,34.94462966918945,31.649646759033203,96673.84375,1675.4588623046875,36.268348693847656,36.179508209228516,35.963478088378906,35.64613342285156,103996.4921875,104978.71875,1908.6627197265625,1921.467529296875,36.93140411376953,37.46371078491211,36.74448776245117,38.0175666809082,115861.5546875,114382.0546875,2113.795166015625,2103.404541015625,35.12919998168945,34.815773010253906,33.040245056152344,32.42000198364258,94779.7109375,93873.3203125,1658.8726806640625,1679.9605712890625,34.40108871459961,35.77831268310547,33.1725959777832,39.751914978027344,41.1711540222168,36.09317398071289,94740.765625,104354.78125,83217.171875,1625.498779296875,1861.464599609375,1390.9317626953125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1911.3865395923026
