SeqNumber,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Avg_Lag_1_Temperature(°C),Avg_Lag_2_Temperature(°C),Avg_Lag_1_Humidity(%),Avg_Lag_2_Humidity(%),Avg_Lag_1_Sunlight(Lux),Avg_Lag_2_Sunlight(Lux),Avg_Lag_1_Power(mW),Avg_Lag_2_Power(mW),Max_Lag_1_Temperature(°C),Max_Lag_2_Temperature(°C),Max_Lag_1_Humidity(%),Max_Lag_2_Humidity(%),Max_Lag_1_Sunlight(Lux),Max_Lag_2_Sunlight(Lux),Max_Lag_1_Power(mW),Max_Lag_2_Power(mW),Min_Lag_1_Temperature(°C),Min_Lag_2_Temperature(°C),Min_Lag_1_Humidity(%),Min_Lag_2_Humidity(%),Min_Lag_1_Sunlight(Lux),Min_Lag_2_Sunlight(Lux),Min_Lag_1_Power(mW),Min_Lag_2_Power(mW),MA6_Temperature(°C),MA6_Max_Temperature(°C),MA6_Min_Temperature(°C),MA6_Humidity(%),MA6_Max_Humidity(%),MA6_Min_Humidity(%),MA6_Sunlight(Lux),MA6_Max_Sunlight(Lux),MA6_Min_Sunlight(Lux),MA6_Power(mW),MA6_Max_Power(mW),MA6_Min_Power(mW),Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Day_1,Day_2,Day_3,Day_4,Day_5,Day_6,Day_7,Day_8,Day_9,Day_10,Day_11,Day_12,Day_13,Day_14,Day_15,Day_16,Day_17,Day_18,Day_19,Day_20,Day_21,Day_22,Day_23,Day_24,Day_25,Day_26,Day_27,Day_28,Day_29,Day_30,Day_31,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Minute_0,Minute_10,Minute_20,Minute_30,Minute_40,Minute_50,Avg_Power(mW)
20240420090004,40.187294006347656,32.0267448425293,78555.0078125,40.17753219604492,34.25718307495117,88323.640625,805.7071533203125,39.146427154541016,31.21021270751953,69245.2265625,530.8211669921875,39.495811462402344,39.504852294921875,32.57529830932617,32.78668975830078,78116.1640625,80263.9296875,642.6307983398438,651.3746948242188,39.59226608276367,40.9456672668457,34.692848205566406,34.54862594604492,87198.8046875,89787.2265625,800.7312622070312,835.59716796875,39.04548645019531,39.43998718261719,30.30001449584961,31.0266170501709,71060.59375,67212.3828125,557.8429565429688,513.8495483398438,38.95482635498047,38.953651428222656,37.801212310791016,35.930965423583984,36.34345626831055,34.23527145385742,75320.921875,83482.65625,68521.4453125,575.814453125,730.1661376953125,477.3992004394531,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,675.542243821543
20240420091004,39.77470016479492,33.521488189697266,77427.6171875,39.919559478759766,35.7872428894043,87430.3984375,808.5751342773438,38.72709655761719,32.772125244140625,67041.125,478.5061950683594,39.283843994140625,39.13136291503906,34.10405731201172,34.72163009643555,76543.609375,78688.578125,623.7537841796875,623.4689331054688,39.41942596435547,40.6806526184082,35.96469497680664,36.194217681884766,87052.734375,89156.3359375,804.5438842773438,840.7548828125,38.747100830078125,39.07771301269531,31.902027130126953,32.36409378051758,68255.359375,64418.36328125,504.17486572265625,465.9705505371094,38.99285888671875,39.07536315917969,37.8656005859375,36.24488830566406,37.086570739746094,34.721675872802734,75211.796875,84776.03125,67519.21875,560.5571899414062,741.4610595703125,448.2319030761719,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,668.5900053983203
20240420092004,39.7146110534668,33.73088836669922,76694.359375,40.0162239074707,36.19321823120117,87343.078125,831.247802734375,38.53398895263672,33.16426467895508,65184.87109375,444.22149658203125,39.295780181884766,39.15016174316406,34.53559112548828,35.197235107421875,75978.796875,77545.140625,614.4871826171875,611.106201171875,39.52724075317383,40.7100830078125,36.079795837402344,36.34742736816406,87341.609375,89223.4609375,831.2462768554688,862.7984008789062,38.758331298828125,38.99369430541992,32.21080780029297,32.622802734375,66205.078125,62597.52734375,475.8319091796875,435.33502197265625,39.16869354248047,39.30216598510742,38.11355209350586,35.57170867919922,36.657169342041016,34.26662826538086,75169.59375,86060.0859375,66628.421875,564.070556640625,771.9155883789062,434.26611328125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,650.7169048474987
20240420093004,39.78516387939453,34.10478973388672,76684.84375,40.17161560058594,36.696800231933594,88023.65625,860.1070556640625,38.61796951293945,33.4920654296875,64636.98046875,421.90362548828125,39.41089630126953,39.25001907348633,35.016963958740234,35.88447952270508,76559.2890625,77467.2421875,618.3067016601562,612.6658935546875,39.651485443115234,40.83503723144531,36.40699005126953,36.73543167114258,88517.9140625,90094.8046875,862.8302001953125,886.28076171875,38.84688949584961,38.94967269897461,32.64051055908203,32.919281005859375,64847.5703125,61542.8671875,457.9636535644531,416.7734375,39.39450454711914,39.54921340942383,38.31758499145508,35.55982208251953,36.820091247558594,34.07411575317383,75559.1875,87841.90625,65770.0703125,573.0345458984375,802.783935546875,420.96588134765625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,638.417536277683
20240420094004,39.94601058959961,34.259098052978516,78314.3203125,40.441261291503906,36.89903259277344,90799.0546875,910.9216918945312,38.775474548339844,33.66068649291992,64724.52734375,411.81549072265625,39.55913543701172,39.53045654296875,35.03459548950195,35.93519592285156,78236.015625,78843.453125,638.3539428710938,628.623046875,39.98579788208008,41.06917190551758,36.514015197753906,36.689308166503906,91311.1171875,92613.6328125,913.693603515625,936.687255859375,39.01047134399414,39.12925720214844,32.65566635131836,32.957130432128906,64872.46875,61940.9453125,446.89801025390625,403.00146484375,39.62278366088867,39.75836181640625,38.44816207885742,35.65434646606445,37.06386184692383,34.236656188964844,76682.5234375,90734.0625,65111.76953125,582.0322875976562,849.0491333007812,405.6927795410156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,656.3013458376446
20240420095004,40.15878677368164,34.32780075073242,79542.3359375,40.694583892822266,37.09130096435547,92851.4921875,954.0309448242188,38.90460968017578,33.66686248779297,64994.11328125,414.6605224609375,39.7208366394043,39.76415252685547,35.01738739013672,35.8332633972168,79589.0859375,79869.1484375,656.456298828125,655.788330078125,40.26286697387695,41.16827392578125,36.632450103759766,36.48197555541992,93404.71875,94422.3984375,954.645263671875,971.0217895507812,39.14194107055664,39.218994140625,32.3972282409668,32.928226470947266,65069.421875,62394.83984375,450.371826171875,407.1668395996094,39.77333450317383,39.94905471801758,38.59657287597656,35.34135055541992,36.77248001098633,33.90375518798828,77890.8515625,93202.4453125,64815.4921875,600.6392822265625,896.4437255859375,402.02972412109375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,661.8647410170645
20240420100004,40.197723388671875,34.8587532043457,80534.796875,40.75661087036133,37.75371170043945,94937.71875,994.9894409179688,38.92619323730469,34.16417694091797,65087.015625,411.0437927246094,39.76045227050781,39.79048156738281,35.63880157470703,36.41857147216797,80515.4765625,80726.8515625,664.8331909179688,665.6076049804688,40.36168670654297,41.111026763916016,37.35515213012695,37.087982177734375,95046.6953125,95931.671875,985.670166015625,1010.2337036132812,39.130245208740234,39.146324157714844,33.08189392089844,33.525657653808594,65093.26953125,62330.1015625,448.943115234375,403.5534362792969,39.8271598815918,40.08608627319336,38.62300491333008,35.715354919433594,37.32509994506836,34.352516174316406,78800.4375,95192.625,64183.5,609.6282958984375,936.1966552734375,390.1214599609375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,668.4801978528009
20240420101004,40.087127685546875,35.83600616455078,80621.875,40.79600524902344,38.57343292236328,95808.71875,1019.6651000976562,38.843379974365234,34.81391525268555,64894.6328125,407.6583557128906,39.7899284362793,39.710723876953125,36.58448791503906,37.32542037963867,80803.5546875,81174.0859375,675.59130859375,667.7962036132812,40.414737701416016,40.934242248535156,38.196617126464844,38.11445999145508,96037.125,96754.8046875,1014.8976440429688,1038.92626953125,39.05186462402344,39.22322463989258,33.867034912109375,34.107181549072266,64607.28125,62453.44921875,438.22406005859375,392.9079284667969,39.782806396484375,40.095638275146484,38.63056945800781,36.655242919921875,38.572208404541016,35.30026626586914,78736.0625,95946.71875,63672.02734375,607.441162109375,960.340087890625,375.7213134765625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,682.2879988202668
20240420102004,39.98113250732422,36.13664245605469,78712.78125,40.87527847290039,38.88715362548828,94439.7421875,1016.5798950195312,38.76306915283203,35.25382614135742,63192.22265625,397.0484619140625,39.78948974609375,39.73843765258789,36.97648239135742,37.48506546020508,79048.1796875,79606.609375,666.2628784179688,653.9685668945312,40.45805740356445,40.850738525390625,38.42292785644531,38.44898223876953,94499.7109375,95495.703125,1019.3729858398438,1041.2186279296875,39.025390625,39.29442596435547,34.195274353027344,34.31059265136719,63128.30078125,61156.83203125,428.1062927246094,376.7315368652344,39.90528869628906,40.18370819091797,38.84733200073242,36.3548583984375,38.53559112548828,35.12392807006836,77823.75,95253.8828125,62984.515625,616.8989868164062,980.4044189453125,373.94482421875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,674.8566256099243
20240420103004,39.89649963378906,36.95014953613281,77013.5234375,40.8864860534668,39.56377029418945,92906.609375,1007.696044921875,38.84577178955078,35.99798583984375,62280.16015625,389.4525451660156,39.81515121459961,39.703208923339844,37.68338394165039,38.26421356201172,77738.4453125,78290.625,661.8739624023438,645.6100463867188,40.386348724365234,40.823081970214844,39.04530334472656,39.409339904785156,93009.6875,94157.59375,1014.5572509765625,1032.1014404296875,38.99085998535156,39.24848556518555,35.053855895996094,34.926185607910156,61827.0625,59940.8046875,421.62982177734375,365.74560546875,40.06324005126953,40.26072311401367,38.970943450927734,36.78972625732422,39.11690139770508,35.28120040893555,76981.0859375,94691.671875,62374.671875,629.119384765625,990.6030883789062,373.05889892578125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,667.1592635992542
