SeqNumber,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Avg_Diff_Temperature(°C),Avg_Diff_Humidity(%),Avg_Diff_Sunlight(Lux),Avg_Diff_Power(mW),Avg_Lag_1_Temperature(°C),Avg_Lag_2_Temperature(°C),Avg_Lag_1_Humidity(%),Avg_Lag_2_Humidity(%),Avg_Lag_1_Sunlight(Lux),Avg_Lag_2_Sunlight(Lux),Avg_Lag_1_Power(mW),Avg_Lag_2_Power(mW),Avg_Sin_Hour,Avg_Cos_Hour,Avg_Sin_Minute,Avg_Cos_Minute,Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Max_Diff_WindSpeed(m/s),Max_Diff_Pressure(hpa),Max_Diff_Temperature(°C),Max_Diff_Humidity(%),Max_Diff_Sunlight(Lux),Max_Diff_Power(mW),Max_Lag_1_Temperature(°C),Max_Lag_2_Temperature(°C),Max_Lag_1_Humidity(%),Max_Lag_2_Humidity(%),Max_Lag_1_Sunlight(Lux),Max_Lag_2_Sunlight(Lux),Max_Lag_1_Power(mW),Max_Lag_2_Power(mW),Max_Sin_Hour,Max_Cos_Hour,Max_Sin_Minute,Max_Cos_Minute,Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Min_Diff_Temperature(°C),Min_Diff_Humidity(%),Min_Diff_Sunlight(Lux),Min_Diff_Power(mW),Min_Lag_1_Temperature(°C),Min_Lag_2_Temperature(°C),Min_Lag_1_Humidity(%),Min_Lag_2_Humidity(%),Min_Lag_1_Sunlight(Lux),Min_Lag_2_Sunlight(Lux),Min_Lag_1_Power(mW),Min_Lag_2_Power(mW),Min_Sin_Hour,Min_Cos_Hour,Min_Sin_Minute,Min_Cos_Minute,Hour_6,Hour_7,Hour_8,Hour_9,Hour_10,Hour_11,Hour_12,Hour_13,Hour_14,Hour_15,Hour_16,Hour_17,Minute_0,Minute_10,Minute_20,Minute_30,Minute_40,Minute_50
20240317090003,36.37473678588867,38.902870178222656,81268.8359375,1093.5574951171875,0.0431109182536602,0.05331781879067421,13.358928680419922,0.5955535173416138,36.418731689453125,36.391326904296875,38.48816680908203,38.7061882019043,81569.8984375,81452.5234375,1105.1373291015625,1103.15869140625,0.7180367112159729,-0.6312643885612488,0.029544875025749207,0.857099175453186,37.46781921386719,40.72404098510742,89728.4921875,1217.5750732421875,1.1079378128051758,0.05743546411395073,0.5597999095916748,1.3114808797836304,6573.5146484375,125.50536346435547,37.37038040161133,37.25109100341797,40.84345245361328,40.86119079589844,89540.7109375,89685.953125,1211.705322265625,1214.3515625,0.7161331176757812,-0.635138213634491,0.03022429347038269,0.8579529523849487,35.24421310424805,36.46589279174805,70700.4609375,905.3104248046875,-0.6640117764472961,-2.0788588523864746,-6520.56787109375,-110.37993621826172,35.110347747802734,35.03672790527344,36.9067497253418,37.00190734863281,71424.6484375,71568.8984375,908.3208618164062,910.405029296875,0.72064208984375,-0.6341568231582642,0.03027511201798916,0.8553793430328369,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20240317091003,36.62849426269531,38.22639846801758,82552.6796875,1113.5162353515625,0.04252919182181358,-0.1630426049232483,-41.691226959228516,3.5390264987945557,36.65034866333008,36.64122772216797,37.87649917602539,38.13623809814453,82784.0234375,82775.5234375,1119.461181640625,1115.8306884765625,0.7619054913520813,-0.6524263024330139,0.7517228126525879,0.45864129066467285,37.7422981262207,40.19810104370117,91278.765625,1261.0498046875,1.1073700189590454,0.05244705453515053,0.5762947201728821,1.2326148748397827,7904.802734375,168.592529296875,37.60249328613281,37.555362701416016,40.20875930786133,40.593544006347656,91228.0390625,91410.6484375,1259.5516357421875,1257.4193115234375,0.7608684301376343,-0.6543865203857422,0.7534283399581909,0.459539532661438,35.39599609375,35.83145523071289,71631.5390625,901.4939575195312,-0.6950163841247559,-1.980751872062683,-7886.59326171875,-141.59556579589844,35.347755432128906,35.17932891845703,36.1942024230957,36.40138244628906,72005.0390625,72250.671875,905.0638427734375,911.9437255859375,0.7596094608306885,-0.6545816659927368,0.7549170255661011,0.4572422504425049,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20240317092003,37.87964630126953,35.840980529785156,86442.4375,1205.0135498046875,0.021515825763344765,-0.41001227498054504,-103.27311706542969,2.2417051792144775,37.814998626708984,37.769744873046875,35.43179702758789,35.721858978271484,86681.578125,86776.0,1211.3935546875,1204.9390869140625,0.7571059465408325,-0.6683759689331055,0.7432205080986023,-0.44285327196121216,38.96758270263672,37.48200225830078,95004.109375,1369.918701171875,1.0751219987869263,0.04978096857666969,0.5981526970863342,1.3295657634735107,9138.7412109375,200.70164489746094,38.790245056152344,38.795799255371094,37.81150436401367,38.17123794555664,95197.234375,95150.5625,1372.6387939453125,1368.375732421875,0.7531691193580627,-0.6662263870239258,0.7458947896957397,-0.4450373649597168,36.48348617553711,33.398921966552734,75301.3359375,973.9972534179688,-0.7367387413978577,-2.033900022506714,-9193.10546875,-182.99481201171875,36.474639892578125,36.339569091796875,33.77512741088867,33.8829231262207,75449.40625,75681.3671875,972.047119140625,980.6607666015625,0.7513235211372375,-0.6686779260635376,0.7474079728126526,-0.4389638900756836,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20240317093003,38.93057632446289,33.79734802246094,89354.2265625,1270.8480224609375,0.01999487541615963,-0.4292243719100952,-7.63012170791626,2.293221950531006,38.733177185058594,38.6524772644043,33.6254997253418,33.64143371582031,89462.46875,89524.9453125,1279.25146484375,1275.2392578125,0.7536736726760864,-0.6541042327880859,0.0021488105412572622,-0.9055328369140625,39.96955871582031,35.48270797729492,97572.2265625,1441.7059326171875,1.024680256843567,0.04860466718673706,0.6243215203285217,1.4716764688491821,9954.9130859375,209.43588256835938,39.78707504272461,39.813968658447266,35.88028335571289,36.141563415527344,97899.625,97700.9765625,1443.3348388671875,1438.8114013671875,0.7474982738494873,-0.6513205766677856,0.01274061482399702,-0.9125456809997559,37.43912124633789,31.403900146484375,78227.328125,1036.006591796875,-0.7319363355636597,-1.9833112955093384,-10190.87109375,-196.38113403320312,37.41590881347656,37.34160232543945,31.885202407836914,31.8482608795166,78173.8125,78445.7578125,1028.818603515625,1035.559326171875,0.7489213347434998,-0.6512264013290405,0.011657445691525936,-0.9045085906982422,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20240317094003,39.911651611328125,31.654388427734375,92237.6640625,1329.0418701171875,0.02516060508787632,-0.23141014575958252,77.1280746459961,1.494513988494873,39.76128005981445,39.70688247680664,31.5792236328125,31.530046463012695,92365.84375,92368.609375,1337.3729248046875,1335.1038818359375,0.7583231329917908,-0.64885413646698,-0.8472585678100586,-0.44162142276763916,40.93619918823242,33.468441009521484,99897.8984375,1499.923095703125,0.9826850891113281,0.04749993234872818,0.6505596041679382,1.6102887392044067,10077.2294921875,212.99911499023438,40.81694030761719,40.8605842590332,33.91390609741211,34.03580093383789,100137.2890625,99962.1328125,1496.5843505859375,1497.4744873046875,0.7539169788360596,-0.6465973854064941,-0.8360934257507324,-0.44831931591033936,38.399478912353516,29.505205154418945,81356.015625,1096.4320068359375,-0.7718548774719238,-1.7793587446212769,-10293.091796875,-195.3927001953125,38.375484466552734,38.33718490600586,29.799776077270508,29.815946578979492,81396.984375,81740.84375,1089.7894287109375,1093.9219970703125,0.7546935081481934,-0.6468702554702759,-0.845913827419281,-0.44209784269332886,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20240317095003,40.34012985229492,30.243213653564453,93950.8828125,1365.3563232421875,0.05091874673962593,0.202699214220047,232.93768310546875,3.936724901199341,40.292457580566406,40.28460693359375,30.09700584411621,30.051544189453125,94228.9609375,94112.5703125,1373.8885498046875,1369.2030029296875,0.7435933351516724,-0.6949716210365295,-0.8321054577827454,0.5413565635681152,41.46238708496094,32.21421813964844,101529.765625,1559.7230224609375,0.9545353055000305,0.05292188748717308,0.6922590732574463,1.9804306030273438,11303.291015625,247.9592742919922,41.360137939453125,41.37506866455078,32.24524688720703,32.387821197509766,101703.6953125,101683.71875,1553.4698486328125,1552.0892333984375,0.7432753443717957,-0.6951259970664978,-0.826033890247345,0.5388370752334595,38.88511657714844,28.020719528198242,83046.859375,1121.2430419921875,-0.7586991786956787,-1.3243376016616821,-10550.6669921875,-204.8448028564453,38.88374710083008,38.85098648071289,28.258573532104492,28.163833618164062,83136.15625,83584.7421875,1117.7454833984375,1117.5418701171875,0.7432073950767517,-0.6952444314956665,-0.8390446901321411,0.5388808250427246,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20240317100003,40.63752365112305,29.65762710571289,96137.046875,1438.728759765625,0.05447397753596306,0.7818230986595154,450.2691345214844,6.3143086433410645,40.61959457397461,40.67733383178711,29.48555564880371,29.750293731689453,96345.3515625,96570.3203125,1444.7271728515625,1442.1614990234375,0.568956732749939,-0.8314071893692017,0.10299480706453323,0.8861348628997803,41.8536376953125,31.741395950317383,103442.9140625,1654.0450439453125,1.0061452388763428,0.061616651713848114,0.6948642730712891,2.104326009750366,12387.4150390625,273.51336669921875,41.79287338256836,41.727142333984375,31.22868537902832,31.376724243164062,103684.46875,103889.859375,1651.5323486328125,1645.9775390625,0.5728729367256165,-0.8316301107406616,0.10011514276266098,0.884729266166687,39.29860305786133,27.635061264038086,85252.109375,1182.640869140625,-0.6998859643936157,-0.7876477837562561,-10075.33984375,-202.03890991210938,39.26158905029297,39.23557662963867,27.83289909362793,27.922327041625977,85448.6171875,85801.5,1180.1378173828125,1180.9127197265625,0.5732496380805969,-0.8335440158843994,0.09143246710300446,0.8850698471069336,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
20240317101003,40.729164123535156,29.192211151123047,95004.8671875,1439.9881591796875,0.02598418854176998,0.40467381477355957,65.02527618408203,2.3623523712158203,40.72100067138672,40.85109329223633,28.998247146606445,29.364574432373047,95425.2578125,95663.9296875,1441.3489990234375,1439.857666015625,0.5916077494621277,-0.8399485349655151,0.778283953666687,0.4686986207962036,41.946563720703125,31.057178497314453,102873.890625,1670.000244140625,0.9858760833740234,0.05454615131020546,0.6799302101135254,1.8509167432785034,12625.595703125,293.7578430175781,41.90863037109375,41.892616271972656,30.81874656677246,31.287452697753906,103183.6796875,103417.6953125,1671.7386474609375,1666.753173828125,0.5946696996688843,-0.8406772613525391,0.7790124416351318,0.4638206958770752,39.4228515625,27.358957290649414,84032.6328125,1163.3035888671875,-0.7875702977180481,-1.010838508605957,-11609.6982421875,-237.09011840820312,39.41472625732422,39.37074279785156,27.590974807739258,27.505598068237305,83979.28125,84479.6171875,1164.5203857421875,1167.840576171875,0.5877739191055298,-0.8425406813621521,0.7791122198104858,0.46653568744659424,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
20240317102003,41.25961685180664,27.77730941772461,93668.2890625,1439.9212646484375,-0.00036625502980314195,0.1132458746433258,-116.48240661621094,0.26711776852607727,41.16694259643555,41.28414535522461,27.514402389526367,27.819961547851562,94170.7265625,94408.7734375,1443.7135009765625,1439.619384765625,0.5631199479103088,-0.8523229360580444,0.7581618428230286,-0.46389806270599365,42.44850158691406,29.308320999145508,102179.2890625,1689.3509521484375,0.9695006608963013,0.054524119943380356,0.6943755149841309,1.958087682723999,13627.0048828125,338.8091125488281,42.38687515258789,42.40046691894531,29.55797004699707,29.664779663085938,102589.9453125,102695.5625,1697.6065673828125,1693.028076171875,0.560135006904602,-0.849000871181488,0.7593847513198853,-0.4719884395599365,39.885963439941406,25.891103744506836,82171.9765625,1146.3360595703125,-0.815345287322998,-1.264917016029358,-13253.48828125,-295.61993408203125,39.88224411010742,39.88856506347656,26.11955451965332,25.699687957763672,82009.2890625,82494.328125,1141.337158203125,1147.4857177734375,0.5548396706581116,-0.851287841796875,0.7599648237228394,-0.463548481464386,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
20240317103003,41.2541618347168,28.235368728637695,91022.703125,1404.03955078125,-0.015809152275323868,-0.14354662597179413,-311.255126953125,-2.1245038509368896,41.0537223815918,41.08894348144531,28.21123695373535,28.254192352294922,91405.8515625,91579.7734375,1412.260009765625,1410.56298828125,0.5478643774986267,-0.8394532203674316,-0.0007589650340378284,-0.9153897166252136,42.395320892333984,29.996477127075195,100278.8359375,1666.9962158203125,0.9448047280311584,0.05505114421248436,0.6901111006736755,1.9215742349624634,14047.7646484375,361.5950622558594,42.301658630371094,42.32137680053711,30.288183212280273,30.096452713012695,100780.234375,100810.453125,1675.95654296875,1672.45361328125,0.5404096245765686,-0.8354862332344055,0.0007833373383618891,-0.9248970150947571,39.841583251953125,26.368818283081055,78780.6015625,1101.107177734375,-0.8402372002601624,-1.6895729303359985,-14814.037109375,-334.03216552734375,39.78598403930664,39.84382629394531,26.61765480041504,26.064437866210938,78576.78125,78995.1796875,1090.2904052734375,1097.6787109375,0.5431839823722839,-0.8341564536094666,-0.001792248454876244,-0.9179130792617798,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
