"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1011.4","1013.6","22.4","19.2","82","6.9","40","14.2","20","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1011.1","1013.3","21.9","18.5","81","7.4","40","12.9","50","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1011.4","1013.6","22.1","18.1","78","5.4","50","12.6","40","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1011.6","1013.8","22.0","18.2","79","5.0","50","9.6","30","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1012.3","1014.5","22.1","18.5","80","4.6","50","7.7","70","0.0","0.0","--","0.00","--","0","--","22.8","23.5","24.3","25.1","25.9","26.2","25.0"
"06","1013.2","1015.4","21.5","18.3","82","5.9","60","10.3","60","T","0.2","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1014.0","1016.3","21.3","18.3","83","4.9","50","9.4","60","T","0.2","0.0","0.05","--","0","--","--","--","--","--","--","--","--"
"08","1014.9","1017.2","21.2","18.0","82","5.9","50","10.2","40","T","0.3","0.0","0.11","15.0","0","10.0","--","--","--","--","--","--","--"
"09","1015.4","1017.7","21.0","18.4","85","5.6","50","9.9","50","T","0.7","0.0","0.16","15.0","0","10.0","22.2","22.9","23.7","24.4","25.4","26.0","25.0"
"10","1015.8","1018.1","21.3","17.5","79","5.3","30","10.7","360","T","0.2","0.0","0.17","--","1","--","--","--","--","--","--","--","--"
"11","1015.7","1018.0","21.5","17.9","80","5.0","30","10.5","40","T","0.4","0.0","0.40","15.0","1","10.0","--","--","--","--","--","--","--"
"12","1015.7","1018.0","21.8","17.2","75","5.8","40","10.3","90","0.0","0.0","0.0","0.56","--","2","--","--","--","--","--","--","--","--"
"13","1015.2","1017.4","22.2","16.9","72","7.1","40","12.1","60","0.0","0.0","0.0","0.54","--","2","--","--","--","--","--","--","--","--"
"14","1015.0","1017.2","22.1","17.3","74","7.1","50","12.3","40","0.0","0.0","0.0","0.64","20.0","2","10.0","22.1","22.6","23.4","23.8","24.9","25.7","25.1"
"15","1015.0","1017.2","21.9","17.5","76","6.5","50","12.9","200","0.0","0.0","0.0","0.60","--","2","--","--","--","--","--","--","--","--"
"16","1015.2","1017.4","22.0","17.4","75","6.9","50","12.7","20","0.0","0.0","0.0","0.42","--","1","--","--","--","--","--","--","--","--"
"17","1015.6","1017.8","21.9","17.1","74","7.3","60","13.1","50","0.0","0.0","0.0","0.21","15.0","0","10.0","--","--","--","--","--","--","--"
"18","1016.0","1018.3","21.6","17.0","75","6.2","50","12.9","60","0.0","0.0","0.0","0.06","--","0","--","--","--","--","--","--","--","--"
"19","1016.4","1018.7","21.4","17.0","76","6.0","50","12.6","60","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1016.9","1019.2","21.4","16.2","72","6.0","40","11.8","360","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1017.8","1020.1","21.6","15.7","69","4.8","30","11.9","40","0.0","0.0","--","0.00","--","0","--","21.4","22.1","22.9","23.5","24.5","25.4","25.1"
"22","1017.6","1019.9","21.7","15.6","68","3.0","360","8.8","30","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1017.2","1019.5","21.2","16.2","73","2.3","300","4.6","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1016.1","1018.4","20.9","16.3","75","1.9","220","3.4","300","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
