"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1007.5","1009.7","23.4","21.3","88","4.9","230","8.1","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1006.9","1009.1","23.5","21.2","87","5.0","230","7.4","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1006.6","1008.8","23.3","21.2","88","3.7","230","6.8","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1006.2","1008.4","23.0","21.1","89","3.9","240","6.5","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1006.3","1008.5","23.2","20.4","84","5.2","240","7.5","240","0.0","0.0","--","0.00","--","0","--","23.8","24.3","25.0","25.6","26.5","27.3","26.7"
"06","1006.8","1009.0","23.1","20.1","83","3.7","240","6.8","220","0.0","0.0","0.0","0.03","--","0","--","--","--","--","--","--","--","--"
"07","1007.1","1009.3","23.8","20.7","83","4.5","230","7.0","230","0.0","0.0","0.7","0.49","--","0","--","--","--","--","--","--","--","--"
"08","1007.6","1009.8","26.3","20.6","71","4.8","230","6.4","230","0.0","0.0","1.0","1.37","25.0","1","2.0","--","--","--","--","--","--","--"
"09","1007.9","1010.1","27.8","20.4","64","3.9","190","6.6","220","0.0","0.0","1.0","2.19","25.0","4","2.0","25.1","24.4","24.8","25.2","26.2","27.2","26.7"
"10","1007.7","1009.9","28.9","21.2","63","3.7","180","6.0","190","0.0","0.0","1.0","2.78","--","6","--","--","--","--","--","--","--","--"
"11","1007.1","1009.3","29.1","22.8","69","5.7","170","7.8","180","0.0","0.0","1.0","3.26","25.0","8","4.0","--","--","--","--","--","--","--"
"12","1006.6","1008.8","29.0","23.9","74","6.1","170","9.5","170","0.0","0.0","1.0","3.69","--","10","--","--","--","--","--","--","--","--"
"13","1005.9","1008.1","29.3","23.7","72","6.5","170","10.1","170","0.0","0.0","1.0","3.42","--","10","--","--","--","--","--","--","--","--"
"14","1005.7","1007.9","29.0","23.9","74","4.2","160","9.8","170","0.0","0.0","0.8","2.68","20.0","7","8.0","28.8","27.4","27.2","26.1","26.3","27.2","26.7"
"15","1005.3","1007.5","28.8","23.7","74","3.2","150","7.4","170","0.0","0.0","0.4","1.73","--","4","--","--","--","--","--","--","--","--"
"16","1005.1","1007.3","28.9","24.3","76","2.7","120","7.3","170","0.0","0.0","0.8","1.67","--","3","--","--","--","--","--","--","--","--"
"17","1005.3","1007.5","28.4","24.0","77","1.9","90","4.1","130","0.0","0.0","0.9","1.10","20.0","1","4.0","--","--","--","--","--","--","--"
"18","1005.6","1007.8","27.7","23.9","80","0.5","50","3.5","70","0.0","0.0","0.0","0.15","--","0","--","--","--","--","--","--","--","--"
"19","1006.1","1008.3","27.3","23.6","80","1.6","40","3.6","340","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1007.0","1009.2","27.0","23.7","82","1.2","50","3.2","70","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1007.7","1009.9","26.7","23.0","80","1.8","50","3.0","350","0.0","0.0","--","0.00","--","0","--","27.3","28.0","28.7","28.4","28.0","27.9","26.6"
"22","1008.3","1010.5","26.3","22.6","80","2.2","330","3.8","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1008.3","1010.5","26.2","22.1","78","1.2","330","3.2","320","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1007.9","1010.1","25.8","21.5","77","1.7","300","2.4","310","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
