"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1012.3","1014.5","21.5","20.8","96","1.7","30","4.5","50","T","0.9","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1011.8","1014.0","21.5","20.8","96","2.6","40","5.7","30","0.5","0.7","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1011.5","1013.7","21.6","21.1","97","1.5","20","4.7","40","T","0.3","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1011.9","1014.1","21.6","21.1","97","1.7","340","3.1","330","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1012.5","1014.7","21.6","21.1","97","2.0","330","3.0","340","0.0","0.0","--","0.00","--","0","--","22.9","23.0","23.5","23.9","25.2","26.4","27.0"
"06","1012.5","1014.7","21.7","21.0","96","1.7","330","3.1","320","0.0","0.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"07","1012.6","1014.8","22.5","21.8","96","0.3","290","2.5","310","0.0","0.0","0.0","0.22","--","0","--","--","--","--","--","--","--","--"
"08","1012.9","1015.1","22.9","21.7","93","0.3","340","1.6","310","0.0","0.0","0.0","0.56","20.0","1","9.0","--","--","--","--","--","--","--"
"09","1013.1","1015.3","23.9","22.0","89","1.0","110","1.8","350","0.0","0.0","0.0","0.84","20.0","2","9.0","23.9","23.5","23.8","23.8","24.9","26.2","26.9"
"10","1012.9","1015.1","24.7","21.4","82","2.7","40","3.8","50","0.0","0.0","0.0","1.22","--","3","--","--","--","--","--","--","--","--"
"11","1012.7","1014.9","25.1","21.4","80","3.4","60","5.4","60","0.0","0.0","0.0","1.09","20.0","3","9.0","--","--","--","--","--","--","--"
"12","1012.4","1014.6","25.2","21.1","78","3.4","50","5.5","50","0.0","0.0","0.0","1.28","--","4","--","--","--","--","--","--","--","--"
"13","1011.5","1013.7","25.4","21.5","79","2.6","30","5.5","60","0.0","0.0","0.0","1.09","--","4","--","--","--","--","--","--","--","--"
"14","1010.9","1013.1","25.0","21.5","81","2.5","40","5.1","20","0.0","0.0","0.0","0.71","15.0","2","9.0","25.3","25.2","25.4","24.6","25.2","26.0","26.8"
"15","1010.5","1012.7","24.1","21.6","86","2.2","10","5.4","20","0.0","0.0","0.0","0.37","--","1","--","--","--","--","--","--","--","--"
"16","1010.3","1012.5","23.8","21.7","88","2.0","360","5.2","350","0.0","0.0","0.0","0.24","--","1","--","--","--","--","--","--","--","--"
"17","1010.5","1012.7","23.9","21.8","88","2.3","360","4.4","340","0.0","0.0","0.0","0.11","10.0","0","10.0","--","--","--","--","--","--","--"
"18","1011.2","1013.4","23.7","21.8","89","2.3","340","4.1","350","0.0","0.0","0.0","0.07","--","0","--","--","--","--","--","--","--","--"
"19","1011.8","1014.0","24.0","21.7","87","2.1","340","4.0","350","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1012.1","1014.3","24.1","21.4","85","0.7","330","2.8","320","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1012.4","1014.6","23.7","21.8","89","1.3","270","2.5","250","0.0","0.0","--","0.00","--","0","--","24.2","24.3","24.8","24.8","25.5","26.2","26.7"
"22","1012.4","1014.6","23.7","22.0","90","1.6","270","2.4","310","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1011.8","1014.0","23.2","21.7","91","1.0","250","2.9","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1011.1","1013.3","23.2","21.8","92","1.6","260","3.7","260","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
