"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1007.1","1009.3","25.3","24.6","96","1.9","10","3.5","350","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1006.7","1008.9","25.2","24.5","96","1.0","360","3.4","10","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1006.5","1008.7","25.0","24.1","95","1.6","10","3.4","360","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1006.7","1008.9","25.1","24.2","95","1.2","350","3.7","360","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1006.9","1009.1","25.2","24.2","94","1.0","350","2.4","330","0.0","0.0","--","0.00","--","0","--","25.9","25.9","26.3","26.6","27.3","28.2","27.1"
"06","1007.5","1009.7","25.0","24.0","94","1.3","230","2.1","220","0.0","0.0","0.0","0.06","--","0","--","--","--","--","--","--","--","--"
"07","1007.9","1010.1","25.4","24.4","94","1.7","250","3.6","240","0.0","0.0","0.0","0.25","--","0","--","--","--","--","--","--","--","--"
"08","1007.8","1010.0","26.7","24.2","86","0.7","260","2.9","230","0.0","0.0","0.3","1.07","25.0","2","6.0","--","--","--","--","--","--","--"
"09","1008.4","1010.6","29.0","24.4","76","2.5","100","4.2","80","0.0","0.0","0.9","2.42","25.0","5","6.0","26.7","26.2","26.4","26.3","27.1","28.0","27.1"
"10","1008.3","1010.5","28.6","23.7","75","2.6","80","4.4","100","0.0","0.0","0.1","2.19","--","6","--","--","--","--","--","--","--","--"
"11","1008.1","1010.3","29.3","23.7","72","3.4","80","5.3","80","0.0","0.0","0.2","2.62","20.0","8","7.0","--","--","--","--","--","--","--"
"12","1007.5","1009.7","30.9","24.3","68","2.8","70","5.5","70","0.0","0.0","0.9","3.99","--","13","--","--","--","--","--","--","--","--"
"13","1006.9","1009.1","30.2","24.6","72","3.9","80","7.0","80","0.0","0.0","0.9","3.69","--","12","--","--","--","--","--","--","--","--"
"14","1006.4","1008.6","29.9","24.3","72","5.4","50","7.4","50","0.0","0.0","0.5","2.51","20.0","8","9.0","29.6","29.4","29.3","27.7","27.5","28.1","27.2"
"15","1006.6","1008.8","28.0","24.6","82","5.2","50","7.4","60","0.0","0.0","0.0","0.71","--","2","--","--","--","--","--","--","--","--"
"16","1006.4","1008.6","26.7","24.7","89","4.1","40","9.3","50","T","0.2","0.0","0.10","--","0","--","--","--","--","--","--","--","--"
"17","1006.3","1008.5","26.0","24.4","91","4.8","50","8.3","40","T","0.6","0.0","0.29","10.0","0","10.0","--","--","--","--","--","--","--"
"18","1006.8","1009.0","25.8","23.9","89","5.4","50","8.8","50","T","0.1","0.0","0.09","--","0","--","--","--","--","--","--","--","--"
"19","1007.2","1009.4","25.4","23.8","91","3.8","50","8.1","40","T","0.5","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1008.1","1010.3","25.4","23.8","91","2.9","40","8.2","40","T","0.2","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1008.5","1010.7","25.4","23.6","90","3.4","60","5.6","50","T","0.2","--","0.00","--","0","--","27.0","27.3","27.9","28.2","28.4","28.6","27.2"
"22","1009.0","1011.2","25.3","23.5","90","3.0","40","6.4","60","T","0.4","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1008.9","1011.1","25.0","23.4","91","2.9","40","5.9","50","0.5","0.3","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1008.1","1010.3","25.0","23.6","92","1.5","20","5.5","30","T","0.2","--","0.00","--","0","--","--","--","--","--","--","--","--"
