"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1011.0","1013.2","24.5","21.2","82","3.1","240","5.6","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1010.6","1012.8","24.2","21.1","83","3.1","240","4.9","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1010.3","1012.5","23.9","21.2","85","2.4","260","4.7","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1010.3","1012.5","23.7","20.7","83","1.6","260","4.4","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1010.3","1012.5","23.4","20.7","85","2.7","240","4.1","230","0.0","0.0","--","0.00","--","0","--","24.2","24.6","25.1","25.6","26.4","27.2","26.6"
"06","1010.4","1012.6","23.6","20.9","85","3.7","250","5.4","240","0.0","0.0","0.0","0.05","--","0","--","--","--","--","--","--","--","--"
"07","1010.4","1012.6","24.6","20.9","80","3.2","240","5.9","240","0.0","0.0","0.0","0.39","--","0","--","--","--","--","--","--","--","--"
"08","1010.4","1012.6","26.0","21.7","77","2.9","230","5.5","240","0.0","0.0","0.0","0.83","20.0","1","9.0","--","--","--","--","--","--","--"
"09","1010.1","1012.3","27.7","22.7","74","2.0","220","5.4","230","0.0","0.0","0.1","1.29","20.0","3","8.0","25.3","24.8","25.1","25.1","26.0","27.1","26.6"
"10","1010.1","1012.3","28.6","22.6","70","3.6","180","6.3","190","0.0","0.0","0.4","2.20","--","6","--","--","--","--","--","--","--","--"
"11","1009.6","1011.8","28.7","22.9","71","4.5","170","7.1","170","0.0","0.0","0.1","2.08","20.0","7","8.0","--","--","--","--","--","--","--"
"12","1009.2","1011.4","29.7","24.4","73","2.2","150","7.7","170","0.0","0.0","0.7","3.15","--","10","--","--","--","--","--","--","--","--"
"13","1008.4","1010.6","29.9","24.3","72","2.8","130","5.3","140","0.0","0.0","1.0","3.53","--","11","--","--","--","--","--","--","--","--"
"14","1007.8","1010.0","29.0","24.4","76","3.0","130","4.8","130","0.0","0.0","0.6","2.45","18.0","7","8.0","28.8","28.1","28.0","26.3","26.3","27.1","26.6"
"15","1007.4","1009.6","29.2","24.8","77","2.9","120","4.3","130","0.0","0.0","0.0","1.39","--","4","--","--","--","--","--","--","--","--"
"16","1007.0","1009.2","28.2","24.6","81","1.6","130","4.1","130","0.0","0.0","0.0","0.50","--","1","--","--","--","--","--","--","--","--"
"17","1007.0","1009.2","27.8","24.5","82","1.7","30","2.7","20","0.0","0.0","0.0","0.21","15.0","0","9.0","--","--","--","--","--","--","--"
"18","1007.3","1009.5","27.6","24.7","84","1.6","40","4.0","40","T","0.8","0.0","0.05","--","0","--","--","--","--","--","--","--","--"
"19","1007.4","1009.6","27.2","25.0","88","2.0","20","3.3","60","T","0.5","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1008.0","1010.2","26.6","24.8","90","2.6","340","3.8","40","T","0.4","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1008.3","1010.5","26.2","24.4","90","1.6","300","3.5","340","T","0.2","--","0.00","--","0","--","27.0","27.2","27.6","27.6","27.5","27.8","26.6"
"22","1008.2","1010.4","25.6","23.3","87","0.9","180","4.4","180","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1008.4","1010.6","26.0","23.7","87","0.5","20","2.5","300","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1007.9","1010.1","25.9","22.8","83","1.8","290","3.0","300","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
