"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1014.8","1017.0","22.1","17.5","75","3.0","250","4.5","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1014.5","1016.7","22.0","18.0","78","2.5","250","4.5","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1014.4","1016.6","21.8","17.8","78","3.1","250","5.1","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1014.6","1016.8","22.2","17.8","76","3.5","260","5.1","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1014.8","1017.0","21.8","17.6","77","3.1","240","5.2","270","0.0","0.0","--","0.00","--","0","--","22.4","22.8","23.4","24.0","25.1","26.2","26.8"
"06","1015.1","1017.3","21.9","17.9","78","3.0","240","4.8","240","0.0","0.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"07","1015.7","1017.9","22.3","18.7","80","4.4","240","6.6","230","0.0","0.0","0.0","0.23","--","0","--","--","--","--","--","--","--","--"
"08","1015.9","1018.1","23.2","18.5","75","3.8","230","6.0","250","0.0","0.0","0.0","0.51","20.0","1","10.0","--","--","--","--","--","--","--"
"09","1016.2","1018.4","25.0","18.7","68","3.1","230","6.0","230","0.0","0.0","0.0","1.11","20.0","3","9.0","23.4","23.1","23.5","23.7","24.9","26.0","26.8"
"10","1016.3","1018.5","26.2","20.1","69","2.6","140","4.5","150","0.0","0.0","0.5","2.35","--","6","--","--","--","--","--","--","--","--"
"11","1016.0","1018.2","27.5","20.1","64","3.0","150","4.9","140","0.0","0.0","0.1","2.29","20.0","7","8.0","--","--","--","--","--","--","--"
"12","1015.5","1017.7","27.6","20.2","64","4.0","160","6.0","160","0.0","0.0","1.0","3.34","--","10","--","--","--","--","--","--","--","--"
"13","1015.0","1017.2","27.6","19.2","60","4.8","170","7.2","180","0.0","0.0","1.0","3.56","--","11","--","--","--","--","--","--","--","--"
"14","1014.0","1016.2","26.8","18.9","62","4.4","160","6.9","170","0.0","0.0","0.5","2.46","20.0","7","8.0","26.6","26.3","26.3","24.9","25.1","26.0","26.7"
"15","1013.7","1015.9","26.8","18.9","62","4.9","170","7.2","150","0.0","0.0","0.0","1.42","--","4","--","--","--","--","--","--","--","--"
"16","1013.5","1015.7","26.5","18.9","63","3.7","170","7.3","170","0.0","0.0","0.0","0.90","--","2","--","--","--","--","--","--","--","--"
"17","1013.6","1015.8","26.3","19.0","64","3.8","180","6.0","180","0.0","0.0","0.0","0.54","20.0","1","9.0","--","--","--","--","--","--","--"
"18","1013.8","1016.0","26.0","19.2","66","2.9","180","5.6","180","0.0","0.0","0.0","0.21","--","0","--","--","--","--","--","--","--","--"
"19","1014.1","1016.3","25.6","19.3","68","2.9","200","5.1","180","0.0","0.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"20","1014.7","1016.9","25.4","19.1","68","2.5","240","3.8","200","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1015.0","1017.2","25.1","18.8","68","1.4","280","3.4","230","0.0","0.0","--","0.00","--","0","--","24.7","25.2","25.8","25.9","26.2","26.7","26.6"
"22","1015.3","1017.5","24.2","19.3","74","1.7","260","3.2","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1014.9","1017.1","23.6","19.1","76","2.9","250","3.9","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1014.1","1016.3","23.1","18.9","77","2.4","260","4.6","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
