"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1009.6","1011.8","27.6","24.5","83","2.8","230","4.8","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1009.3","1011.5","27.4","24.1","82","3.1","240","5.4","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1009.1","1011.3","27.2","23.5","80","3.6","230","5.8","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1009.3","1011.5","26.6","23.9","85","4.2","230","6.5","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1009.5","1011.7","26.9","23.4","81","3.7","230","6.1","230","0.0","0.0","--","0.00","--","0","--","28.4","28.8","29.4","30.2","31.2","32.6","30.7"
"06","1009.6","1011.8","27.2","23.0","78","3.1","240","6.3","220","0.0","0.0","0.2","0.14","--","0","--","--","--","--","--","--","--","--"
"07","1009.8","1012.0","28.1","23.7","77","3.1","240","6.9","240","0.0","0.0","0.8","0.63","--","1","--","--","--","--","--","--","--","--"
"08","1009.9","1012.1","29.9","24.3","72","2.4","220","4.5","240","0.0","0.0","1.0","1.55","25.0","2","8.0","--","--","--","--","--","--","--"
"09","1010.0","1012.2","30.2","24.4","71","3.1","180","5.7","220","0.0","0.0","1.0","1.98","25.0","4","5.0","29.4","29.0","29.3","29.6","30.7","32.4","30.8"
"10","1009.8","1012.0","30.7","25.1","72","3.2","170","4.8","170","0.0","0.0","1.0","2.22","--","7","--","--","--","--","--","--","--","--"
"11","1009.2","1011.4","31.1","26.8","78","4.4","180","8.2","160","0.0","0.0","1.0","2.91","25.0","10","7.0","--","--","--","--","--","--","--"
"12","1008.5","1010.7","31.5","27.2","78","6.6","180","10.7","180","0.0","0.0","1.0","3.66","--","13","--","--","--","--","--","--","--","--"
"13","1007.9","1010.1","31.6","27.5","79","8.1","170","11.5","180","0.0","0.0","1.0","3.72","--","13","--","--","--","--","--","--","--","--"
"14","1007.2","1009.4","31.4","27.5","80","8.5","170","13.1","170","0.0","0.0","1.0","3.46","20.0","11","6.0","33.4","32.5","32.2","30.7","30.8","32.3","30.8"
"15","1006.6","1008.8","30.6","27.0","81","6.9","180","12.6","170","0.0","0.0","0.8","2.49","--","7","--","--","--","--","--","--","--","--"
"16","1006.8","1009.0","29.8","26.6","83","6.5","180","10.6","190","0.0","0.0","0.1","0.48","--","2","--","--","--","--","--","--","--","--"
"17","1007.3","1009.5","29.4","25.2","78","1.5","240","10.9","190","0.0","0.0","0.0","0.10","15.0","0","10.0","--","--","--","--","--","--","--"
"18","1007.7","1009.9","28.5","26.1","87","1.7","220","4.9","220","T","0.4","0.0","0.03","--","0","--","--","--","--","--","--","--","--"
"19","1008.7","1010.9","27.9","25.7","88","2.0","220","3.9","210","T","0.2","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"20","1009.6","1011.8","27.6","25.4","88","3.4","40","6.7","20","T","0.3","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1009.6","1011.8","26.3","24.9","92","3.2","360","8.7","20","3.5","0.3","--","0.00","--","0","--","29.8","30.3","31.2","31.7","32.0","32.9","30.8"
"22","1009.7","1011.9","26.4","25.2","93","3.0","230","5.2","220","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1009.3","1011.5","26.4","25.4","94","4.8","240","7.5","220","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1008.4","1010.6","26.0","25.0","94","3.9","220","6.8","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
