"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1017.9","1020.2","17.3","13.2","77","4.9","240","7.5","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1017.2","1019.5","17.1","12.4","74","3.9","240","7.4","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1016.8","1019.1","16.8","12.8","77","5.1","240","8.1","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1016.2","1018.5","16.4","12.8","79","4.8","240","8.6","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1016.5","1018.8","15.8","12.2","79","4.9","240","7.7","240","0.0","0.0","--","0.00","--","0","--","16.0","16.8","17.6","18.3","19.5","20.3","21.4"
"06","1016.6","1018.9","15.7","11.9","78","4.8","240","8.1","230","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1017.1","1019.4","16.0","11.4","74","3.9","240","6.9","230","0.0","0.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"08","1017.6","1019.9","16.7","11.6","72","3.5","250","7.5","250","0.0","0.0","0.2","0.31","25.0","0","5.0","--","--","--","--","--","--","--"
"09","1018.2","1020.5","19.2","12.2","64","4.1","240","6.8","240","0.0","0.0","0.7","1.06","25.0","1","4.0","16.0","16.3","17.0","17.7","19.1","20.1","21.4"
"10","1017.9","1020.2","22.1","11.5","51","3.6","240","5.9","230","0.0","0.0","1.0","2.12","--","3","--","--","--","--","--","--","--","--"
"11","1016.9","1019.1","24.0","13.3","51","1.9","170","5.1","240","0.0","0.0","1.0","2.63","25.0","5","1.0","--","--","--","--","--","--","--"
"12","1016.3","1018.5","23.9","12.3","48","2.4","130","3.6","160","0.0","0.0","1.0","2.95","--","6","--","--","--","--","--","--","--","--"
"13","1015.1","1017.3","24.2","14.3","54","2.5","140","4.3","140","0.0","0.0","1.0","2.96","--","7","--","--","--","--","--","--","--","--"
"14","1014.3","1016.5","24.7","13.0","48","2.1","140","4.8","180","0.0","0.0","1.0","2.68","25.0","5","2.0","21.0","19.4","19.2","18.4","19.0","20.0","21.4"
"15","1014.1","1016.3","25.0","12.3","45","2.0","140","3.8","160","0.0","0.0","1.0","2.19","--","3","--","--","--","--","--","--","--","--"
"16","1014.3","1016.5","23.8","15.1","58","2.0","160","3.1","170","0.0","0.0","0.9","1.24","--","1","--","--","--","--","--","--","--","--"
"17","1014.6","1016.8","22.8","15.2","62","2.5","160","4.2","170","0.0","0.0","0.8","0.56","20.0","0","5.0","--","--","--","--","--","--","--"
"18","1015.1","1017.3","22.7","15.6","64","1.5","170","3.7","170","0.0","0.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"19","1015.4","1017.6","22.4","14.5","61","0.8","330","2.0","180","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1016.1","1018.3","22.1","15.0","64","1.3","310","2.3","320","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1016.3","1018.6","21.2","14.1","64","1.5","300","2.4","300","0.0","0.0","--","0.00","--","0","--","20.0","20.3","20.9","20.9","20.7","20.3","21.4"
"22","1016.6","1018.9","20.1","13.8","67","1.8","300","3.4","300","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1016.3","1018.6","18.3","13.0","71","1.5","250","2.4","260","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1016.1","1018.4","18.8","13.2","70","2.6","250","5.5","260","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
