"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1008.6","1010.8","28.0","25.2","85","2.8","240","5.4","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1008.2","1010.4","27.6","25.1","86","2.7","240","4.7","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1007.9","1010.1","27.6","24.7","84","2.4","240","4.2","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1008.2","1010.4","27.0","24.7","87","3.1","230","4.0","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1008.6","1010.8","26.8","24.7","88","2.5","250","5.0","230","0.0","0.0","--","0.00","--","0","--","29.3","30.1","30.8","31.7","32.6","33.8","31.7"
"06","1009.0","1011.2","26.9","24.4","86","2.6","240","4.4","250","0.0","0.0","0.5","0.12","--","0","--","--","--","--","--","--","--","--"
"07","1009.6","1011.8","28.9","24.5","77","3.0","230","4.8","220","0.0","0.0","1.0","0.76","--","1","--","--","--","--","--","--","--","--"
"08","1009.6","1011.8","30.9","24.8","70","2.7","230","4.8","210","0.0","0.0","1.0","1.56","20.0","2","2.0","--","--","--","--","--","--","--"
"09","1009.8","1012.0","31.3","25.4","71","2.6","170","4.9","190","0.0","0.0","1.0","2.32","25.0","5","2.0","30.1","30.0","30.4","31.0","32.1","33.7","31.7"
"10","1009.7","1011.9","31.5","26.5","75","4.3","170","6.1","180","0.0","0.0","1.0","2.98","--","9","--","--","--","--","--","--","--","--"
"11","1009.4","1011.6","31.5","27.2","78","5.0","160","7.6","170","0.0","0.0","1.0","3.45","25.0","12","2.0","--","--","--","--","--","--","--"
"12","1009.1","1011.3","31.6","27.3","78","5.5","160","9.5","170","0.0","0.0","1.0","3.70","--","14","--","--","--","--","--","--","--","--"
"13","1008.5","1010.7","31.6","27.3","78","5.1","160","8.6","150","0.0","0.0","1.0","3.69","--","14","--","--","--","--","--","--","--","--"
"14","1007.8","1010.0","32.2","27.7","77","5.5","170","9.0","160","0.0","0.0","1.0","3.45","25.0","12","2.0","33.4","32.3","32.5","31.7","32.0","33.6","31.8"
"15","1008.0","1010.2","31.9","27.2","76","5.4","160","8.7","170","0.0","0.0","1.0","2.85","--","8","--","--","--","--","--","--","--","--"
"16","1007.9","1010.1","31.6","27.1","77","4.7","160","7.9","170","0.0","0.0","1.0","2.27","--","5","--","--","--","--","--","--","--","--"
"17","1008.1","1010.3","31.1","26.8","78","5.6","170","8.6","170","0.0","0.0","1.0","1.48","20.0","2","3.0","--","--","--","--","--","--","--"
"18","1008.6","1010.8","30.3","27.3","84","4.5","180","7.6","170","0.0","0.0","0.2","0.28","--","0","--","--","--","--","--","--","--","--"
"19","1008.8","1011.0","29.8","26.8","84","3.7","190","7.7","170","0.0","0.0","0.0","0.05","--","0","--","--","--","--","--","--","--","--"
"20","1009.2","1011.4","30.0","26.2","80","3.9","200","5.8","190","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1009.1","1011.3","29.7","25.7","79","2.1","220","4.2","200","0.0","0.0","--","0.00","--","0","--","31.9","32.9","33.7","33.7","33.5","34.2","31.8"
"22","1009.5","1011.7","29.3","25.7","81","2.8","190","4.2","190","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1009.4","1011.6","29.4","25.4","79","2.9","240","5.7","200","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1007.2","1009.4","29.0","24.6","77","3.6","120","5.6","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
