SeqNumber,Hour,Minute,Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW)
20240307090010,0.20135600864887238,-0.004057608544826508,0.05276366323232651,0.9744406342506409,0.029894154518842697,0.05254265293478966,0.9672149419784546,0.02362668514251709,-0.0015829596668481827,0.05524655431509018,0.9785902500152588,0.04184666648507118,-0.005310053005814552
20240307091010,0.16838182508945465,0.1840595155954361,0.254240483045578,0.41751405596733093,0.04092340171337128,0.22847697138786316,0.3881983160972595,0.034500859677791595,0.016569038853049278,0.2735247015953064,0.4682220220565796,0.03963007405400276,-0.023810746148228645
20240307092010,0.1239740252494812,0.3173075318336487,0.1727691888809204,0.44970718026161194,0.05832556635141373,0.13161081075668335,0.39072149991989136,0.03295125067234039,-0.01079588569700718,0.21389871835708618,0.5184251666069031,0.11535924673080444,0.06651301681995392
20240307093010,0.086820088326931,0.47412964701652527,0.16874349117279053,0.4096796214580536,0.08708272874355316,0.1253732144832611,0.3517680764198303,0.05388261377811432,0.009877389296889305,0.21121546626091003,0.48175618052482605,0.11037207394838333,0.0586945042014122
20240307094010,0.07382035255432129,0.6571140289306641,0.19177639484405518,0.3557646572589874,0.09052413702011108,0.1543826162815094,0.30736926198005676,0.06181718036532402,0.018235808238387108,0.22571569681167603,0.4226606488227844,0.10727646946907043,0.06281676888465881
20240307095010,0.06728703528642654,0.8129826784133911,0.17362242937088013,0.37594670057296753,0.07608209550380707,0.1488623172044754,0.3426223695278168,0.05144430696964264,0.009700430557131767,0.195906400680542,0.4264369606971741,0.09349582344293594,0.05392865836620331
20240307100010,0.056727029383182526,0.8798882961273193,0.16454589366912842,0.3834264874458313,0.06065840646624565,0.14879392087459564,0.36385291814804077,0.0350007489323616,0.004779620096087456,0.17828655242919922,0.4209834933280945,0.07605069875717163,0.04561740159988403
20240307101010,0.05232349783182144,0.901161789894104,0.1705402135848999,0.3628327548503876,0.0506754070520401,0.15218710899353027,0.34110599756240845,0.022207405418157578,0.0005188193172216415,0.1869676560163498,0.4044133424758911,0.0688444972038269,0.04022786766290665
20240307102010,0.04197898507118225,0.8925371170043945,0.15501809120178223,0.3666934669017792,0.039072435349226,0.13531915843486786,0.34452274441719055,0.01020447164773941,-0.002986850216984749,0.17284095287322998,0.4097336530685425,0.05460537225008011,0.03512940555810928
20240307103010,0.02718818187713623,0.8686946630477905,0.14397203922271729,0.3592720329761505,0.028173647820949554,0.12170875817537308,0.335968554019928,-0.002333439886569977,-0.005789289250969887,0.1637459099292755,0.404951810836792,0.03878137096762657,0.03118816576898098
