"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1017.8","1020.1","17.9","16.2","90","0.6","320","2.8","340","T","0.2","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1016.7","1019.0","17.6","16.1","91","1.3","340","3.2","350","T","0.3","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1016.5","1018.8","17.6","16.3","92","1.3","260","2.3","260","T","0.2","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1016.2","1018.5","17.4","16.6","95","1.2","250","2.7","250","0.5","0.8","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1016.2","1018.5","17.2","16.6","96","0.6","250","2.8","270","0.5","0.5","--","0.00","--","0","--","18.2","18.4","18.9","19.2","20.1","20.8","21.2"
"06","1016.6","1018.9","17.3","16.5","95","1.1","290","3.3","290","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1017.2","1019.5","17.0","16.2","95","1.1","280","3.2","280","0.0","0.0","0.0","0.05","--","0","--","--","--","--","--","--","--","--"
"08","1017.6","1019.9","17.5","16.7","95","2.0","260","3.5","270","0.0","0.0","0.3","0.47","25.0","0","3.0","--","--","--","--","--","--","--"
"09","1017.9","1020.2","19.4","17.2","87","1.4","250","3.2","230","0.0","0.0","0.7","1.41","25.0","2","3.0","18.3","18.2","18.6","18.9","19.9","20.7","21.2"
"10","1017.7","1020.0","21.8","17.2","75","1.8","160","3.1","180","0.0","0.0","1.0","2.33","--","4","--","--","--","--","--","--","--","--"
"11","1017.2","1019.4","22.4","18.0","76","2.7","110","4.2","120","0.0","0.0","1.0","3.11","25.0","7","3.0","--","--","--","--","--","--","--"
"12","1016.2","1018.4","22.9","18.2","75","3.0","80","4.5","80","0.0","0.0","1.0","3.03","--","8","--","--","--","--","--","--","--","--"
"13","1015.4","1017.6","23.5","18.0","71","3.3","80","5.9","80","0.0","0.0","1.0","3.24","--","8","--","--","--","--","--","--","--","--"
"14","1014.7","1016.9","23.4","17.9","71","3.7","80","5.9","90","0.0","0.0","1.0","3.36","20.0","7","4.0","22.1","20.9","20.9","19.9","20.1","20.7","21.3"
"15","1014.4","1016.6","22.5","18.3","77","3.1","90","5.7","80","0.0","0.0","0.0","1.05","--","3","--","--","--","--","--","--","--","--"
"16","1014.6","1016.8","22.6","18.4","77","2.0","70","4.5","80","0.0","0.0","0.0","0.49","--","1","--","--","--","--","--","--","--","--"
"17","1015.0","1017.2","22.2","18.6","80","1.9","90","3.7","90","0.0","0.0","0.0","0.31","20.0","0","9.0","--","--","--","--","--","--","--"
"18","1015.3","1017.5","22.1","18.9","82","1.2","60","3.0","90","0.0","0.0","0.0","0.08","--","0","--","--","--","--","--","--","--","--"
"19","1015.5","1017.8","21.8","18.6","82","1.3","160","1.8","130","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1015.7","1018.0","21.7","18.7","83","1.7","240","2.3","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1016.0","1018.3","20.8","18.6","87","2.4","240","3.0","240","0.0","0.0","--","0.00","--","0","--","20.7","21.0","21.4","21.5","21.5","21.2","21.3"
"22","1015.9","1018.2","20.5","18.8","90","2.9","240","4.4","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1015.6","1017.9","20.2","18.7","91","3.7","230","4.8","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1015.3","1017.6","19.8","18.3","91","3.6","230","5.3","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
