"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1014.9","1017.1","22.6","18.8","79","2.6","240","3.7","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1014.5","1016.7","23.5","18.8","75","0.9","310","3.4","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1014.4","1016.6","23.1","20.4","85","1.8","70","2.7","80","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1014.4","1016.6","22.9","20.6","87","0.2","0","2.2","80","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1014.9","1017.1","22.6","19.4","82","2.2","260","3.7","310","0.0","0.0","--","0.00","--","0","--","22.2","22.4","22.8","23.1","23.6","23.9","22.6"
"06","1015.4","1017.7","21.6","16.4","72","2.8","240","5.8","230","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1016.2","1018.4","22.3","17.2","73","3.2","230","5.7","240","0.0","0.0","0.0","0.04","--","0","--","--","--","--","--","--","--","--"
"08","1016.7","1018.9","23.6","17.1","67","2.3","280","4.7","220","0.0","0.0","0.2","0.57","25.0","0","6.0","--","--","--","--","--","--","--"
"09","1017.3","1019.5","24.8","18.3","67","2.6","200","5.7","200","0.0","0.0","0.8","1.52","20.0","2","3.0","22.0","22.0","22.3","22.7","23.3","23.8","22.7"
"10","1017.5","1019.7","24.9","21.0","79","1.3","110","3.5","180","0.0","0.0","0.7","2.11","--","4","--","--","--","--","--","--","--","--"
"11","1017.3","1019.5","25.5","21.8","80","2.0","130","3.3","150","0.0","0.0","1.0","3.04","20.0","7","1.0","--","--","--","--","--","--","--"
"12","1017.0","1019.2","26.1","20.9","73","4.6","170","6.3","180","0.0","0.0","1.0","3.41","--","9","--","--","--","--","--","--","--","--"
"13","1016.4","1018.6","25.4","20.7","75","2.1","140","6.9","160","0.0","0.0","0.7","3.10","--","9","--","--","--","--","--","--","--","--"
"14","1015.9","1018.1","25.6","21.3","77","2.4","110","4.2","100","0.0","0.0","0.3","2.24","20.0","6","6.0","25.3","24.4","24.3","23.4","23.4","23.8","22.8"
"15","1015.8","1018.0","24.9","20.8","78","2.6","70","4.3","70","0.0","0.0","0.1","0.88","--","3","--","--","--","--","--","--","--","--"
"16","1016.0","1018.3","21.9","20.4","91","5.1","30","9.4","30","T","0.6","0.0","0.16","--","0","--","--","--","--","--","--","--","--"
"17","1016.5","1018.8","20.8","19.6","93","3.7","30","9.3","40","0.5","1.0","0.0","0.08","8.0","0","10.0","--","--","--","--","--","--","--"
"18","1016.8","1019.1","20.2","19.2","94","4.3","30","8.5","40","0.5","1.0","0.0","0.04","--","0","--","--","--","--","--","--","--","--"
"19","1017.0","1019.3","20.0","19.2","95","3.6","30","8.0","30","0.5","0.9","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1017.6","1019.9","20.1","19.3","95","3.2","30","6.6","30","0.5","1.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1017.6","1019.9","19.9","19.2","96","3.7","40","7.0","20","1.0","0.9","--","0.00","--","0","--","21.9","22.6","23.3","24.0","24.3","24.2","22.8"
"22","1017.8","1020.1","19.7","19.0","96","4.6","40","7.4","40","1.0","1.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1017.7","1020.0","19.7","19.0","96","3.1","50","6.1","30","1.0","1.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1017.8","1020.1","19.5","18.8","96","3.5","40","7.3","60","0.5","1.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
