"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1019.1","1021.4","18.5","16.8","90","1.4","350","2.5","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1018.7","1021.0","18.2","16.9","92","2.1","10","3.8","360","T","0.5","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1018.4","1020.7","17.8","16.8","94","3.5","40","6.4","20","0.5","0.9","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1018.2","1020.5","17.4","16.3","93","4.7","40","8.3","30","T","0.7","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1018.4","1020.7","17.5","16.0","91","4.1","40","8.0","40","0.5","0.3","--","0.00","--","0","--","18.8","19.3","19.9","20.4","21.4","22.3","22.8"
"06","1019.2","1021.5","17.4","15.9","91","4.1","40","8.5","40","T","0.5","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1020.2","1022.5","17.3","15.5","89","4.4","40","9.8","40","T","0.5","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"08","1020.8","1023.1","17.4","15.4","88","4.4","40","8.7","50","T","0.6","0.0","0.12","8.0","0","10.0","--","--","--","--","--","--","--"
"09","1021.3","1023.6","17.4","15.0","86","4.8","40","9.7","50","T","0.8","0.0","0.18","10.0","0","10.0","18.3","18.8","19.5","20.0","21.2","22.1","22.8"
"10","1021.3","1023.6","17.2","14.7","85","4.4","30","9.1","30","0.0","0.0","0.0","0.27","--","1","--","--","--","--","--","--","--","--"
"11","1020.7","1023.0","17.0","14.3","84","3.7","40","8.3","40","T","0.8","0.0","0.36","8.0","1","10.0","--","--","--","--","--","--","--"
"12","1019.9","1022.2","17.0","14.7","86","3.8","40","7.7","40","T","0.7","0.0","0.47","--","2","--","--","--","--","--","--","--","--"
"13","1019.3","1021.6","17.6","14.5","82","4.0","30","7.2","30","T","0.1","0.0","0.81","--","3","--","--","--","--","--","--","--","--"
"14","1018.7","1021.0","17.3","14.6","84","4.4","30","8.1","20","T","0.2","0.0","0.74","10.0","2","10.0","18.3","18.8","19.4","19.7","20.9","21.9","22.8"
"15","1018.7","1021.0","17.0","14.5","85","4.2","30","7.8","20","T","0.6","0.0","0.30","--","1","--","--","--","--","--","--","--","--"
"16","1018.8","1021.1","16.5","14.5","88","3.4","30","8.9","60","T","1.0","0.0","0.22","--","0","--","--","--","--","--","--","--","--"
"17","1019.3","1021.6","16.6","13.7","83","4.0","30","8.8","20","T","0.8","0.0","0.11","10.0","0","10.0","--","--","--","--","--","--","--"
"18","1019.8","1022.1","16.5","13.6","83","4.2","30","8.7","60","T","0.7","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"19","1020.4","1022.7","16.3","13.6","84","4.4","40","9.1","20","T","0.2","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1021.1","1023.4","16.1","13.6","85","3.1","20","7.8","40","T","0.4","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1021.4","1023.7","16.0","13.3","84","4.2","30","8.4","60","T","0.2","--","0.00","--","0","--","17.3","18.0","18.8","19.4","20.6","21.7","22.7"
"22","1021.6","1023.9","15.3","13.2","87","4.3","20","7.8","20","T","0.6","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1021.5","1023.8","14.6","13.2","91","2.9","360","7.7","30","T","0.7","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1021.2","1023.5","14.5","13.2","92","4.0","350","5.9","350","0.5","0.6","--","0.00","--","0","--","--","--","--","--","--","--","--"
