序號,答案
20240117090001,181.72
20240117091001,245.61
20240117092001,327.16
20240117093001,429.2
20240117094001,552.41
20240117095001,690.88
20240117100001,834.92
20240117101001,971.55
20240117102001,1076.09
20240117103001,1155.97
20240117104001,1222.77
20240117105001,1281.48
20240117110001,1333.02
20240117111001,1374.63
20240117112001,1398.09
20240117113001,1397.51
20240117114001,1375.26
20240117115001,1329.49
20240117120001,1259.04
20240117121001,1153.92
20240117122001,1018.27
20240117123001,888.14
20240117124001,764.03
20240117125001,647.62
20240117130001,543.8
20240117131001,458.44
20240117132001,381.01
20240117133001,311.31
20240117134001,245.72
20240117135001,181.62
20240117140001,124.91
20240117141001,90.2
20240117142001,70.99
20240117143001,56.85
20240117144001,45.71
20240117145001,36.84
20240117150001,29.56
20240117151001,23.26
20240117152001,18.2
20240117153001,16.9
20240117154001,18.02
20240117155001,19.88
20240117160001,22.02
20240117161001,24.21
20240117162001,26.25
20240117163001,28.95
20240117164001,31.98
20240117165001,34.94
20240119090001,375.55
20240119091001,486.89
20240119092001,614.94
20240119093001,756.66
20240119094001,900.48
20240119095001,1021.97
20240119100001,1121.58
20240119101001,1200.49
20240119102001,1266.73
20240119103001,1322.18
20240119104001,1363.03
20240119105001,1380.5
20240119110001,1381.53
20240119111001,1364.54
20240119112001,1326.9
20240119113001,1266.8
20240119114001,1183.07
20240119115001,1075.17
20240119120001,929.92
20240119121001,780.29
20240119122001,644.08
20240119123001,525.76
20240119124001,428.92
20240119125001,352.48
20240119130001,292.43
20240119131001,241.67
20240119132001,192.84
20240119133001,145.97
20240119134001,97.47
20240119135001,73.87
20240119140001,58.75
20240119141001,48.45
20240119142001,40.36
20240119143001,33.47
20240119144001,28.55
20240119145001,24.79
20240119150001,23.62
20240119151001,24.99
20240119152001,26.96
20240119153001,29.1
20240119154001,31.16
20240119155001,32.45
20240119160001,34.23
20240119161001,36.75
20240119162001,38.89
20240119163001,40.87
20240119164001,42.63
20240119165001,44.72
20240224090001,89.45
20240224091001,114.76
20240224092001,148.05
20240224093001,189.73
20240224094001,242.68
20240224095001,307.7
20240224100001,382.77
20240224101001,467.0
20240224102001,558.92
20240224103001,657.5
20240224104001,754.98
20240224105001,842.58
20240224110001,910.9
20240224111001,958.16
20240224112001,991.63
20240224113001,1013.49
20240224114001,1024.53
20240224115001,1022.33
20240224120001,1003.94
20240224121001,966.73
20240224122001,909.47
20240224123001,835.19
20240224124001,768.47
20240224125001,708.07
20240224130001,646.78
20240224131001,588.48
20240224132001,532.83
20240224133001,476.24
20240224134001,420.83
20240224135001,365.24
20240224140001,309.0
20240224141001,252.15
20240224142001,195.14
20240224143001,137.46
20240224144001,89.21
20240224145001,70.34
20240224150001,55.94
20240224151001,44.75
20240224152001,35.5
20240224153001,27.73
20240224154001,21.11
20240224155001,16.37
20240224160001,15.94
20240224161001,16.66
20240224162001,16.94
20240224163001,18.25
20240224164001,20.4
20240224165001,23.14
20240226090001,53.95
20240226091001,58.42
20240226092001,62.52
20240226093001,67.53
20240226094001,75.26
20240226095001,86.53
20240226100001,107.04
20240226101001,131.94
20240226102001,160.86
20240226103001,193.32
20240226104001,234.29
20240226105001,286.1
20240226110001,354.98
20240226111001,442.04
20240226112001,546.12
20240226113001,667.91
20240226114001,799.21
20240226115001,926.83
20240226120001,1029.53
20240226121001,1108.18
20240226122001,1170.24
20240226123001,1221.86
20240226124001,1265.34
20240226125001,1300.32
20240226130001,1324.33
20240226131001,1334.52
20240226132001,1328.87
20240226133001,1305.61
20240226134001,1266.3
20240226135001,1209.61
20240226140001,1136.45
20240226141001,1046.93
20240226142001,940.3
20240226143001,819.38
20240226144001,696.44
20240226145001,585.72
20240226150001,484.35
20240226151001,395.17
20240226152001,313.2
20240226153001,239.66
20240226154001,173.96
20240226155001,117.8
20240226160001,93.01
20240226161001,78.25
20240226162001,66.97
20240226163001,57.58
20240226164001,49.76
20240226165001,43.32
20240327090001,141.71
20240327091001,169.43
20240327092001,200.48
20240327093001,236.01
20240327094001,277.96
20240327095001,326.1
20240327100001,379.87
20240327101001,438.35
20240327102001,500.64
20240327103001,562.36
20240327104001,618.34
20240327105001,666.71
20240327110001,704.6
20240327111001,729.24
20240327112001,743.73
20240327113001,749.94
20240327114001,747.94
20240327115001,736.91
20240327120001,715.83
20240327121001,684.78
20240327122001,647.25
20240327123001,605.22
20240327124001,569.83
20240327125001,536.74
20240327130001,503.34
20240327131001,467.88
20240327132001,431.04
20240327133001,394.06
20240327134001,356.78
20240327135001,320.6
20240327140001,284.32
20240327141001,248.29
20240327142001,212.82
20240327143001,177.7
20240327144001,142.81
20240327145001,109.79
20240327150001,83.44
20240327151001,72.5
20240327152001,63.26
20240327153001,55.96
20240327154001,50.24
20240327155001,45.6
20240327160001,41.8
20240327161001,38.73
20240327162001,36.25
20240327163001,34.25
20240327164001,34.03
20240327165001,34.86
20240329090001,47.93
20240329091001,56.6
20240329092001,66.33
20240329093001,85.92
20240329094001,111.97
20240329095001,148.74
20240329100001,190.81
20240329101001,239.22
20240329102001,296.19
20240329103001,364.61
20240329104001,440.79
20240329105001,519.98
20240329110001,597.67
20240329111001,668.09
20240329112001,727.58
20240329113001,773.0
20240329114001,801.18
20240329115001,815.53
20240329120001,821.06
20240329121001,818.54
20240329122001,806.1
20240329123001,782.67
20240329124001,748.22
20240329125001,706.94
20240329130001,662.3
20240329131001,627.49
20240329132001,592.99
20240329133001,558.81
20240329134001,522.86
20240329135001,483.21
20240329140001,439.74
20240329141001,392.23
20240329142001,341.27
20240329143001,288.38
20240329144001,237.23
20240329145001,186.73
20240329150001,136.42
20240329151001,92.57
20240329152001,72.79
20240329153001,57.55
20240329154001,45.23
20240329155001,34.46
20240329160001,24.98
20240329161001,16.64
20240329162001,9.32
20240329163001,6.85
20240329164001,5.71
20240329165001,6.41
20240428090001,283.93
20240428091001,329.96
20240428092001,385.38
20240428093001,443.66
20240428094001,501.96
20240428095001,558.69
20240428100001,612.94
20240428101001,662.34
20240428102001,703.83
20240428103001,735.83
20240428104001,758.29
20240428105001,768.34
20240428110001,766.93
20240428111001,755.78
20240428112001,739.32
20240428113001,716.58
20240428114001,687.14
20240428115001,662.39
20240428120001,636.98
20240428121001,609.49
20240428122001,579.9
20240428123001,548.01
20240428124001,513.33
20240428125001,474.87
20240428130001,432.63
20240428131001,386.73
20240428132001,337.29
20240428133001,285.38
20240428134001,232.87
20240428135001,178.87
20240428140001,126.66
20240428141001,86.65
20240428142001,67.93
20240428143001,52.95
20240428144001,40.55
20240428145001,29.75
20240428150001,20.28
20240428151001,11.93
20240428152001,5.93
20240428153001,4.48
20240428154001,3.65
20240428155001,5.12
20240428160001,8.22
20240428161001,11.95
20240428162001,15.7
20240428163001,19.91
20240428164001,27.08
20240428165001,33.92
20240430090001,987.03
20240430091001,1011.9
20240430092001,1044.41
20240430093001,1073.89
20240430094001,1097.37
20240430095001,1113.61
20240430100001,1121.89
20240430101001,1122.33
20240430102001,1115.6
20240430103001,1102.44
20240430104001,1083.29
20240430105001,1058.51
20240430110001,1028.14
20240430111001,992.31
20240430112001,947.32
20240430113001,896.43
20240430114001,844.12
20240430115001,790.18
20240430120001,732.78
20240430121001,674.42
20240430122001,614.3
20240430123001,566.15
20240430124001,516.9
20240430125001,463.51
20240430130001,406.32
20240430131001,346.14
20240430132001,285.73
20240430133001,227.05
20240430134001,170.65
20240430135001,121.64
20240430140001,84.46
20240430141001,68.35
20240430142001,56.01
20240430143001,46.28
20240430144001,38.71
20240430145001,33.12
20240430150001,29.2
20240430151001,26.75
20240430152001,25.63
20240430153001,25.77
20240430154001,27.09
20240430155001,34.02
20240430160001,44.1
20240430161001,57.64
20240430162001,73.74
20240430163001,91.77
20240430164001,111.07
20240430165001,130.83
20240515090001,943.26
20240515091001,962.89
20240515092001,983.56
20240515093001,998.23
20240515094001,1006.63
20240515095001,1006.71
20240515100001,1000.85
20240515101001,988.01
20240515102001,970.93
20240515103001,948.48
20240515104001,919.54
20240515105001,886.92
20240515110001,852.58
20240515111001,815.15
20240515112001,774.88
20240515113001,730.91
20240515114001,681.96
20240515115001,626.9
20240515120001,567.11
20240515121001,513.36
20240515122001,456.73
20240515123001,397.8
20240515124001,335.55
20240515125001,272.19
20240515130001,211.99
20240515131001,155.48
20240515132001,109.98
20240515133001,78.62
20240515134001,61.43
20240515135001,48.12
20240515140001,38.01
20240515141001,30.2
20240515142001,23.53
20240515143001,18.29
20240515144001,14.91
20240515145001,13.26
20240515150001,13.2
20240515151001,15.17
20240515152001,19.06
20240515153001,26.49
20240515154001,39.15
20240515155001,56.31
20240515160001,76.44
20240515161001,98.59
20240515162001,121.78
20240515163001,145.11
20240515164001,168.51
20240515165001,194.67
20240520090001,458.74
20240520091001,482.57
20240520092001,492.89
20240520093001,506.05
20240520094001,522.23
20240520095001,539.32
20240520100001,555.06
20240520101001,565.49
20240520102001,571.96
20240520103001,575.97
20240520104001,578.75
20240520105001,580.64
20240520110001,581.29
20240520111001,580.42
20240520112001,577.46
20240520113001,571.44
20240520114001,562.23
20240520115001,550.17
20240520120001,534.83
20240520121001,515.85
20240520122001,493.91
20240520123001,472.14
20240520124001,446.25
20240520125001,416.26
20240520130001,381.86
20240520131001,342.96
20240520132001,299.91
20240520133001,252.63
20240520134001,201.87
20240520135001,150.53
20240520140001,106.53
20240520141001,81.44
20240520142001,65.47
20240520143001,52.9
20240520144001,42.42
20240520145001,33.85
20240520150001,26.91
20240520151001,21.44
20240520152001,17.36
20240520153001,14.62
20240520154001,13.54
20240520155001,15.69
20240520160001,18.69
20240520161001,21.85
20240520162001,26.37
20240520163001,35.18
20240520164001,45.28
20240520165001,57.57
20240613090001,48.7
20240613091001,56.2
20240613092001,60.79
20240613093001,64.59
20240613094001,67.62
20240613095001,69.79
20240613100001,71.44
20240613101001,72.0
20240613102001,71.76
20240613103001,71.02
20240613104001,69.5
20240613105001,67.7
20240613110001,65.38
20240613111001,62.27
20240613112001,58.71
20240613113001,55.1
20240613114001,51.27
20240613115001,46.68
20240613120001,41.99
20240613121001,37.25
20240613122001,32.96
20240613123001,28.87
20240613124001,24.82
20240613125001,20.86
20240613130001,17.01
20240613131001,14.8
20240613132001,13.5
20240613133001,12.48
20240613134001,11.73
20240613135001,11.25
20240613140001,10.99
20240613141001,10.98
20240613142001,11.12
20240613143001,11.34
20240613144001,11.28
20240613145001,11.28
20240613150001,11.32
20240613151001,11.24
20240613152001,11.23
20240613153001,11.3
20240613154001,11.44
20240613155001,11.65
20240613160001,11.92
20240613161001,12.24
20240613162001,12.6
20240613163001,12.99
20240613164001,13.4
20240613165001,13.79
20240615090001,486.92
20240615091001,432.04
20240615092001,422.02
20240615093001,424.08
20240615094001,437.39
20240615095001,453.04
20240615100001,468.0
20240615101001,481.0
20240615102001,489.88
20240615103001,499.45
20240615104001,508.79
20240615105001,515.77
20240615110001,522.0
20240615111001,527.57
20240615112001,530.16
20240615113001,529.75
20240615114001,526.12
20240615115001,519.74
20240615120001,510.39
20240615121001,497.65
20240615122001,481.55
20240615123001,461.92
20240615124001,438.97
20240615125001,412.88
20240615130001,383.57
20240615131001,351.64
20240615132001,317.29
20240615133001,282.96
20240615134001,247.35
20240615135001,210.87
20240615140001,177.61
20240615141001,156.56
20240615142001,139.61
20240615143001,124.25
20240615144001,109.87
20240615145001,95.92
20240615150001,82.71
20240615151001,71.88
20240615152001,63.45
20240615153001,58.02
20240615154001,54.96
20240615155001,54.03
20240615160001,55.09
20240615161001,58.46
20240615162001,64.53
20240615163001,73.25
20240615164001,84.43
20240615165001,97.8
20240703090001,547.68
20240703091001,474.1
20240703092001,468.45
20240703093001,471.56
20240703094001,483.46
20240703095001,504.99
20240703100001,530.61
20240703101001,555.95
20240703102001,578.53
20240703103001,595.93
20240703104001,609.18
20240703105001,618.02
20240703110001,622.82
20240703111001,624.89
20240703112001,623.37
20240703113001,619.18
20240703114001,611.71
20240703115001,602.28
20240703120001,589.13
20240703121001,572.38
20240703122001,552.63
20240703123001,529.42
20240703124001,503.04
20240703125001,474.01
20240703130001,443.05
20240703131001,410.2
20240703132001,375.74
20240703133001,340.19
20240703134001,303.7
20240703135001,264.97
20240703140001,225.13
20240703141001,184.97
20240703142001,150.73
20240703143001,130.48
20240703144001,112.34
20240703145001,94.39
20240703150001,76.97
20240703151001,63.29
20240703152001,55.3
20240703153001,49.31
20240703154001,45.09
20240703155001,42.45
20240703160001,41.02
20240703161001,40.27
20240703162001,41.52
20240703163001,46.38
20240703164001,54.93
20240703165001,66.57
20240707090001,687.07
20240707091001,693.51
20240707092001,717.06
20240707093001,742.11
20240707094001,766.44
20240707095001,787.63
20240707100001,805.43
20240707101001,820.57
20240707102001,833.84
20240707103001,845.8
20240707104001,856.74
20240707105001,866.77
20240707110001,875.8
20240707111001,883.56
20240707112001,889.71
20240707113001,893.77
20240707114001,894.05
20240707115001,890.42
20240707120001,883.09
20240707121001,871.37
20240707122001,854.93
20240707123001,833.25
20240707124001,806.0
20240707125001,772.95
20240707130001,734.15
20240707131001,689.54
20240707132001,639.52
20240707133001,584.55
20240707134001,526.21
20240707135001,467.69
20240707140001,410.13
20240707141001,353.74
20240707142001,298.62
20240707143001,243.02
20240707144001,188.0
20240707145001,145.58
20240707150001,118.4
20240707151001,93.54
20240707152001,73.11
20240707153001,59.08
20240707154001,49.73
20240707155001,42.76
20240707160001,37.87
20240707161001,34.84
20240707162001,32.97
20240707163001,32.29
20240707164001,33.19
20240707165001,39.04
20240125090002,0.0
20240125091002,0.0
20240125092002,0.25
20240125093002,4.76
20240125094002,9.49
20240125095002,14.31
20240125100002,19.07
20240125101002,23.46
20240125102002,28.14
20240125103002,33.08
20240125104002,36.94
20240125105002,39.38
20240125110002,40.04
20240125111002,38.45
20240125112002,35.09
20240125113002,32.35
20240125114002,28.69
20240125115002,24.16
20240125120002,18.98
20240125121002,14.07
20240125122002,9.71
20240125123002,7.46
20240125124002,4.0
20240125125002,0.21
20240125130002,0.0
20240125131002,0.0
20240125132002,0.0
20240125133002,0.0
20240125134002,0.0
20240125135002,0.0
20240125140002,0.0
20240125141002,0.0
20240125142002,0.0
20240125143002,0.0
20240125144002,0.0
20240125145002,0.0
20240125150002,0.0
20240125151002,0.0
20240125152002,0.0
20240125153002,0.0
20240125154002,0.0
20240125155002,0.0
20240125160002,0.0
20240125161002,0.0
20240125162002,0.0
20240125163002,0.0
20240125164002,0.0
20240125165002,0.0
20240128090002,0.0
20240128091002,0.0
20240128092002,0.0
20240128093002,0.0
20240128094002,1.38
20240128095002,2.48
20240128100002,3.15
20240128101002,3.37
20240128102002,3.17
20240128103002,2.51
20240128104002,1.43
20240128105002,0.0
20240128110002,0.0
20240128111002,0.0
20240128112002,0.0
