序號,答案
20240117090001,130.81
20240117091001,172.94
20240117092001,207.72
20240117093001,255.83
20240117094001,309.92
20240117095001,385.88
20240117100001,458.87
20240117101001,488.45
20240117102001,543.31
20240117103001,596.24
20240117104001,651.05
20240117105001,700.79
20240117110001,767.91
20240117111001,788.12
20240117112001,778.61
20240117113001,771.66
20240117114001,758.88
20240117115001,717.01
20240117120001,678.08
20240117121001,639.39
20240117122001,646.65
20240117123001,658.37
20240117124001,642.16
20240117125001,596.6
20240117130001,566.52
20240117131001,505.51
20240117132001,478.24
20240117133001,457.29
20240117134001,423.56
20240117135001,350.41
20240117140001,289.75
20240117141001,220.31
20240117142001,215.66
20240117143001,200.81
20240117144001,185.28
20240117145001,151.69
20240117150001,135.66
20240117151001,120.56
20240117152001,116.95
20240117153001,110.29
20240117154001,105.74
20240117155001,90.12
20240117160001,76.98
20240117161001,60.31
20240117162001,60.25
20240117163001,52.33
20240117164001,43.65
20240117165001,30.13
20240119090001,256.3
20240119091001,318.18
20240119092001,377.64
20240119093001,451.99
20240119094001,551.68
20240119095001,659.32
20240119100001,768.07
20240119101001,815.81
20240119102001,888.08
20240119103001,941.58
20240119104001,984.52
20240119105001,1003.03
20240119110001,1065.85
20240119111001,1071.5
20240119112001,1038.44
20240119113001,997.78
20240119114001,940.37
20240119115001,856.32
20240119120001,794.72
20240119121001,736.47
20240119122001,728.19
20240119123001,719.58
20240119124001,679.0
20240119125001,615.23
20240119130001,579.43
20240119131001,517.14
20240119132001,491.59
20240119133001,469.2
20240119134001,432.41
20240119135001,356.61
20240119140001,296.56
20240119141001,228.6
20240119142001,226.78
20240119143001,213.02
20240119144001,197.61
20240119145001,162.9
20240119150001,145.98
20240119151001,129.75
20240119152001,126.05
20240119153001,119.06
20240119154001,114.5
20240119155001,97.85
20240119160001,83.53
20240119161001,65.11
20240119162001,64.8
20240119163001,56.67
20240119164001,48.3
20240119165001,34.19
20240224090001,64.81
20240224091001,119.66
20240224092001,156.03
20240224093001,214.99
20240224094001,291.42
20240224095001,396.47
20240224100001,497.5
20240224101001,545.2
20240224102001,610.01
20240224103001,682.74
20240224104001,763.18
20240224105001,845.99
20240224110001,946.17
20240224111001,975.79
20240224112001,958.07
20240224113001,952.19
20240224114001,949.49
20240224115001,930.25
20240224120001,917.65
20240224121001,875.15
20240224122001,859.51
20240224123001,851.04
20240224124001,821.68
20240224125001,776.11
20240224130001,747.44
20240224131001,662.97
20240224132001,603.69
20240224133001,563.94
20240224134001,520.52
20240224135001,439.82
20240224140001,367.1
20240224141001,272.17
20240224142001,245.09
20240224143001,221.44
20240224144001,207.47
20240224145001,171.97
20240224150001,146.85
20240224151001,117.7
20240224152001,101.27
20240224153001,94.99
20240224154001,99.8
20240224155001,87.63
20240224160001,69.5
20240224161001,46.76
20240224162001,41.06
20240224163001,37.75
20240224164001,40.54
20240224165001,32.48
20240226090001,40.62
20240226091001,82.56
20240226092001,105.63
20240226093001,149.36
20240226094001,206.14
20240226095001,287.17
20240226100001,365.52
20240226101001,405.35
20240226102001,463.35
20240226103001,540.12
20240226104001,633.7
20240226105001,740.4
20240226110001,848.55
20240226111001,887.13
20240226112001,877.84
20240226113001,888.69
20240226114001,906.56
20240226115001,905.3
20240226120001,894.61
20240226121001,851.92
20240226122001,833.26
20240226123001,830.0
20240226124001,811.01
20240226125001,769.48
20240226130001,733.25
20240226131001,637.48
20240226132001,567.98
20240226133001,527.45
20240226134001,489.2
20240226135001,411.66
20240226140001,336.93
20240226141001,241.78
20240226142001,211.98
20240226143001,189.58
20240226144001,178.91
20240226145001,147.37
20240226150001,124.72
20240226151001,98.57
20240226152001,83.29
20240226153001,78.13
20240226154001,82.9
20240226155001,72.52
20240226160001,56.54
20240226161001,37.31
20240226162001,32.18
20240226163001,29.11
20240226164001,30.64
20240226165001,23.47
20240327090001,171.34
20240327091001,229.59
20240327092001,271.83
20240327093001,319.21
20240327094001,380.79
20240327095001,472.8
20240327100001,579.87
20240327101001,626.36
20240327102001,675.96
20240327103001,709.54
20240327104001,743.49
20240327105001,790.85
20240327110001,886.01
20240327111001,907.97
20240327112001,880.61
20240327113001,844.77
20240327114001,806.65
20240327115001,771.1
20240327120001,765.13
20240327121001,740.56
20240327122001,741.34
20240327123001,732.37
20240327124001,698.06
20240327125001,667.65
20240327130001,677.03
20240327131001,632.36
20240327132001,601.34
20240327133001,558.66
20240327134001,501.91
20240327135001,431.65
20240327140001,390.44
20240327141001,317.53
20240327142001,301.75
20240327143001,265.45
20240327144001,230.22
20240327145001,191.0
20240327150001,181.13
20240327151001,165.74
20240327152001,155.75
20240327153001,136.02
20240327154001,124.59
20240327155001,110.38
20240327160001,105.09
20240327161001,87.69
20240327162001,87.08
20240327163001,73.33
20240327164001,66.17
20240327165001,59.01
20240329090001,44.63
20240329091001,99.07
20240329092001,128.87
20240329093001,160.35
20240329094001,193.2
20240329095001,252.59
20240329100001,325.97
20240329101001,361.42
20240329102001,401.25
20240329103001,434.38
20240329104001,469.61
20240329105001,528.53
20240329110001,618.65
20240329111001,652.53
20240329112001,646.98
20240329113001,639.21
20240329114001,631.72
20240329115001,627.99
20240329120001,641.34
20240329121001,640.57
20240329122001,663.66
20240329123001,677.09
20240329124001,663.65
20240329125001,650.5
20240329130001,670.16
20240329131001,636.0
20240329132001,611.36
20240329133001,573.58
