序號,答案
20240117090001,158.02
20240117091001,212.37
20240117092001,257.83
20240117093001,324.29
20240117094001,411.86
20240117095001,535.97
20240117100001,683.5
20240117101001,759.9
20240117102001,833.72
20240117103001,903.62
20240117104001,946.65
20240117105001,966.42
20240117110001,1042.73
20240117111001,1071.98
20240117112001,1071.76
20240117113001,1059.14
20240117114001,1019.68
20240117115001,937.83
20240117120001,915.18
20240117121001,877.07
20240117122001,874.9
20240117123001,877.17
20240117124001,840.23
20240117125001,772.08
20240117130001,769.42
20240117131001,703.9
20240117132001,660.85
20240117133001,636.51
20240117134001,585.12
20240117135001,489.15
20240117140001,424.16
20240117141001,347.62
20240117142001,336.23
20240117143001,322.05
20240117144001,296.51
20240117145001,249.97
20240117150001,234.48
20240117151001,209.23
20240117152001,192.78
20240117153001,183.79
20240117154001,171.4
20240117155001,145.74
20240117160001,129.92
20240117161001,115.12
20240117162001,100.34
20240117163001,94.26
20240117164001,82.77
20240117165001,66.14
20240119090001,280.98
20240119091001,367.19
20240119092001,446.38
20240119093001,549.43
20240119094001,678.7
20240119095001,811.17
20240119100001,955.71
20240119101001,1017.12
20240119102001,1097.15
20240119103001,1149.46
20240119104001,1176.33
20240119105001,1177.98
20240119110001,1256.89
20240119111001,1275.13
20240119112001,1258.56
20240119113001,1214.44
20240119114001,1146.96
20240119115001,1040.57
20240119120001,1010.23
20240119121001,959.35
20240119122001,947.37
20240119123001,933.67
20240119124001,883.73
20240119125001,804.79
20240119130001,800.92
20240119131001,732.07
20240119132001,686.91
20240119133001,655.87
20240119134001,596.97
20240119135001,493.86
20240119140001,427.44
20240119141001,349.25
20240119142001,339.13
20240119143001,325.18
20240119144001,299.08
20240119145001,251.05
20240119150001,236.13
20240119151001,210.89
20240119152001,195.47
20240119153001,187.16
20240119154001,175.03
20240119155001,148.78
20240119160001,133.0
20240119161001,117.64
20240119162001,103.23
20240119163001,97.58
20240119164001,86.37
20240119165001,69.39
20240224090001,95.85
20240224091001,155.03
