"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1024.2","1026.5","14.7","13.6","93","2.1","270","3.3","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1023.7","1026.0","14.7","13.7","94","1.6","280","3.6","270","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1023.5","1025.8","14.8","13.7","93","2.3","310","3.1","300","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1023.1","1025.4","15.1","13.5","90","1.5","320","3.7","310","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1023.3","1025.6","15.1","13.5","90","1.6","270","2.7","290","0.0","0.0","--","0.00","--","0","--","15.1","15.3","15.9","16.2","17.2","18.2","20.6"
"06","1023.7","1026.0","15.0","13.5","91","1.6","290","2.5","270","T","0.5","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1023.9","1026.2","15.1","13.6","91","2.4","10","3.9","20","T","0.5","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"08","1024.4","1026.7","15.4","13.6","89","2.2","340","3.9","20","T","0.1","0.0","0.05","15.0","0","10.0","--","--","--","--","--","--","--"
"09","1024.6","1026.9","15.9","13.4","85","1.8","330","3.8","330","0.0","0.0","0.0","0.16","15.0","0","10.0","15.3","15.4","15.9","16.1","17.2","18.2","20.5"
"10","1024.9","1027.2","16.5","13.2","81","2.9","20","4.6","20","T","0.1","0.0","0.24","--","1","--","--","--","--","--","--","--","--"
"11","1024.6","1026.9","16.5","13.8","84","2.7","30","5.5","50","T","0.3","0.0","0.19","15.0","1","10.0","--","--","--","--","--","--","--"
"12","1023.3","1025.6","16.7","13.8","83","2.1","20","5.3","10","T","0.2","0.0","0.18","--","1","--","--","--","--","--","--","--","--"
"13","1022.4","1024.7","16.8","13.5","81","2.4","10","4.6","30","T","0.1","0.0","0.24","--","1","--","--","--","--","--","--","--","--"
"14","1021.8","1024.1","16.1","13.9","87","2.3","350","4.5","360","T","0.5","0.0","0.17","8.0","1","10.0","15.8","15.8","16.2","16.2","17.2","18.2","20.5"
"15","1021.7","1024.0","15.7","13.7","88","2.2","350","3.9","330","T","1.0","0.0","0.11","--","0","--","--","--","--","--","--","--","--"
"16","1021.7","1024.0","15.3","14.0","92","2.7","340","4.4","340","T","1.0","0.0","0.11","--","0","--","--","--","--","--","--","--","--"
"17","1022.0","1024.3","15.5","14.2","92","2.2","340","3.8","320","T","0.1","0.0","0.06","10.0","0","10.0","--","--","--","--","--","--","--"
"18","1022.7","1025.0","15.4","14.3","93","1.6","340","3.5","330","T","0.7","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"19","1022.9","1025.2","15.3","14.3","94","2.2","320","3.8","310","1.0","0.9","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1023.5","1025.8","15.4","14.6","95","2.2","310","3.9","320","0.5","0.2","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1023.9","1026.2","15.5","14.7","95","2.3","310","3.6","320","T","0.2","--","0.00","--","0","--","15.5","15.7","16.2","16.4","17.3","18.2","20.4"
"22","1024.0","1026.3","15.4","14.6","95","1.3","260","3.0","310","T","0.3","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1024.1","1026.4","15.3","14.7","96","1.6","270","2.5","250","T","0.2","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1023.7","1026.0","15.3","14.7","96","1.0","320","2.4","270","T","0.6","--","0.00","--","0","--","--","--","--","--","--","--","--"
