"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1005.9","1008.1","24.0","18.0","69","6.0","50","10.3","70","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1005.8","1008.0","24.0","17.7","68","5.1","50","10.5","40","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1006.0","1008.2","24.0","17.5","67","4.9","40","10.7","40","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1006.4","1008.6","23.8","18.2","71","1.5","340","8.7","30","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1006.4","1008.6","23.0","19.0","78","1.7","280","3.3","280","0.0","0.0","--","0.00","--","0","--","23.3","23.6","24.2","24.8","26.1","27.3","27.5"
"06","1007.1","1009.3","23.2","19.2","78","1.7","240","3.0","230","0.0","0.0","0.0","0.06","--","0","--","--","--","--","--","--","--","--"
"07","1007.6","1009.8","24.1","20.0","78","2.1","240","3.5","260","0.0","0.0","0.2","0.65","--","1","--","--","--","--","--","--","--","--"
"08","1007.9","1010.1","25.2","18.4","66","1.0","320","3.1","260","0.0","0.0","0.0","0.99","18.0","2","8.0","--","--","--","--","--","--","--"
"09","1007.8","1010.0","26.5","18.4","61","2.7","60","4.5","30","0.0","0.0","0.2","1.66","18.0","4","9.0","24.4","24.2","24.5","24.6","25.8","27.1","27.5"
"10","1007.4","1009.6","27.3","18.3","58","3.7","10","7.0","60","0.0","0.0","1.0","2.97","--","8","--","--","--","--","--","--","--","--"
"11","1007.2","1009.4","27.2","19.3","62","3.9","40","6.8","40","0.0","0.0","0.2","2.49","18.0","8","9.0","--","--","--","--","--","--","--"
"12","1006.8","1009.0","27.6","19.9","63","3.8","60","7.8","50","0.0","0.0","0.4","2.94","--","10","--","--","--","--","--","--","--","--"
"13","1006.4","1008.6","28.1","20.7","64","2.7","40","7.4","80","0.0","0.0","0.8","3.19","--","10","--","--","--","--","--","--","--","--"
"14","1005.9","1008.1","27.8","20.4","64","3.6","50","8.0","80","0.0","0.0","1.0","3.29","12.0","10","7.0","27.1","26.9","27.2","26.0","26.2","27.1","27.4"
"15","1005.8","1008.0","27.7","21.0","67","3.2","40","7.1","80","0.0","0.0","0.3","2.09","--","6","--","--","--","--","--","--","--","--"
"16","1005.7","1007.9","26.9","21.0","70","3.4","40","6.8","50","0.0","0.0","0.0","1.10","--","3","--","--","--","--","--","--","--","--"
"17","1005.9","1008.1","26.5","21.3","73","3.9","40","6.5","50","0.0","0.0","0.0","0.45","12.0","1","10.0","--","--","--","--","--","--","--"
"18","1006.4","1008.6","26.1","21.3","75","2.5","40","6.0","30","0.0","0.0","0.0","0.11","--","0","--","--","--","--","--","--","--","--"
"19","1007.2","1009.4","24.0","22.1","89","1.6","320","4.7","290","2.5","0.6","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1007.6","1009.8","23.5","22.5","94","0.6","290","3.4","340","3.5","1.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1007.9","1010.1","23.3","22.6","96","1.2","250","2.8","230","1.5","1.0","--","0.00","--","0","--","25.5","26.0","26.7","27.2","27.5","27.6","27.3"
"22","1007.7","1009.9","23.2","22.5","96","1.4","240","2.2","230","T","0.7","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1007.3","1009.5","23.1","22.4","96","2.0","250","3.8","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1007.1","1009.3","23.1","22.4","96","3.0","250","4.7","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
