"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1009.3","1011.5","22.5","20.0","86","2.6","260","5.0","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1008.7","1010.9","22.1","20.2","89","2.7","260","4.9","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1008.6","1010.8","21.8","19.9","89","3.9","240","6.1","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1008.9","1011.1","21.6","19.9","90","3.0","270","5.7","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1008.6","1010.8","21.7","19.4","87","2.4","260","4.7","250","0.0","0.0","--","0.00","--","0","--","23.2","23.7","24.3","25.1","26.2","27.3","26.6"
"06","1008.8","1011.0","22.1","19.5","85","3.5","250","5.3","250","0.0","0.0","0.3","0.17","--","0","--","--","--","--","--","--","--","--"
"07","1009.4","1011.6","23.7","20.1","80","2.6","250","4.9","230","0.0","0.0","0.8","0.79","--","0","--","--","--","--","--","--","--","--"
"08","1010.1","1012.3","24.9","20.0","74","2.0","250","4.8","230","0.0","0.0","0.1","0.86","20.0","1","9.0","--","--","--","--","--","--","--"
"09","1009.6","1011.8","27.2","20.3","66","2.6","210","4.4","250","0.0","0.0","0.7","1.93","25.0","4","7.0","24.6","24.1","24.4","24.7","25.8","27.1","26.7"
"10","1009.5","1011.7","28.1","20.2","62","1.8","140","3.9","130","0.0","0.0","0.9","2.80","--","6","--","--","--","--","--","--","--","--"
"11","1009.2","1011.4","29.6","21.8","63","2.9","110","4.4","140","0.0","0.0","1.0","2.96","25.0","8","7.0","--","--","--","--","--","--","--"
"12","1008.5","1010.7","28.3","20.3","62","3.7","80","5.3","80","0.0","0.0","0.7","2.96","--","9","--","--","--","--","--","--","--","--"
"13","1007.6","1009.8","28.7","21.7","66","4.3","90","6.6","80","0.0","0.0","0.8","3.23","--","9","--","--","--","--","--","--","--","--"
"14","1007.2","1009.4","27.7","22.0","71","4.0","70","5.9","80","0.0","0.0","0.2","1.58","20.0","5","9.0","28.0","27.6","27.6","26.1","26.1","27.1","26.7"
"15","1006.9","1009.1","26.9","22.5","77","2.9","40","6.4","70","T","0.3","0.0","0.67","--","2","--","--","--","--","--","--","--","--"
"16","1006.5","1008.7","27.3","22.1","73","2.7","70","5.9","80","0.0","0.0","0.0","0.88","--","2","--","--","--","--","--","--","--","--"
"17","1006.4","1008.6","27.1","22.3","75","2.8","30","5.2","30","0.0","0.0","0.0","0.61","15.0","1","7.0","--","--","--","--","--","--","--"
"18","1006.7","1008.9","26.9","21.0","70","3.2","30","5.9","30","0.0","0.0","0.0","0.26","--","0","--","--","--","--","--","--","--","--"
"19","1007.2","1009.4","26.5","22.4","78","2.8","40","5.2","40","0.0","0.0","0.0","0.03","--","0","--","--","--","--","--","--","--","--"
"20","1007.7","1009.9","26.1","22.0","78","2.2","350","4.7","30","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1007.9","1010.1","25.8","21.7","78","2.0","360","4.2","340","0.0","0.0","--","0.00","--","0","--","26.3","26.7","27.2","27.5","27.5","27.7","26.7"
"22","1008.3","1010.5","25.5","21.6","79","1.5","360","3.8","20","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1008.2","1010.4","25.1","21.4","80","1.1","240","2.7","330","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1007.7","1009.9","24.5","21.2","82","2.9","240","4.1","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
