"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1015.0","1017.2","23.7","21.6","88","3.0","170","4.1","170","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1014.4","1016.6","23.4","21.3","88","1.9","210","5.1","190","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1014.4","1016.6","23.0","20.9","88","1.5","230","2.9","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1014.2","1016.5","21.4","18.2","82","3.1","220","4.4","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1014.5","1016.8","20.4","16.6","79","1.6","250","4.2","250","0.0","0.0","--","0.00","--","0","--","21.6","22.3","22.8","23.0","23.4","23.5","22.2"
"06","1015.3","1017.6","20.6","16.8","79","3.0","250","4.7","240","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1016.0","1018.3","20.0","14.8","72","3.8","240","5.6","240","0.0","0.0","0.2","0.07","--","0","--","--","--","--","--","--","--","--"
"08","1016.5","1018.7","22.2","18.0","77","5.0","230","7.3","220","0.0","0.0","1.0","0.75","25.0","1","1.0","--","--","--","--","--","--","--"
"09","1016.9","1019.1","24.1","18.3","70","4.0","230","6.6","220","0.0","0.0","1.0","1.69","25.0","2","1.0","21.1","21.2","21.7","22.3","23.0","23.5","22.3"
"10","1016.5","1018.7","25.6","19.0","67","3.1","190","5.5","210","0.0","0.0","1.0","2.47","--","5","--","--","--","--","--","--","--","--"
"11","1015.7","1017.9","25.9","20.5","72","5.5","180","9.0","180","0.0","0.0","1.0","3.07","25.0","7","1.0","--","--","--","--","--","--","--"
"12","1014.4","1016.6","26.1","21.8","77","7.0","180","11.6","180","0.0","0.0","1.0","3.41","--","9","--","--","--","--","--","--","--","--"
"13","1013.3","1015.5","26.0","22.5","81","8.4","180","12.4","170","0.0","0.0","1.0","3.39","--","9","--","--","--","--","--","--","--","--"
"14","1012.4","1014.6","25.5","22.0","81","9.3","170","14.7","180","0.0","0.0","0.7","2.45","15.0","7","3.0","24.8","23.7","23.6","22.8","22.9","23.4","22.4"
"15","1012.2","1014.4","25.7","22.4","82","10.1","170","14.9","170","T","0.1","0.5","1.73","--","4","--","--","--","--","--","--","--","--"
"16","1012.3","1014.5","24.8","21.9","84","6.6","180","14.1","170","0.0","0.0","0.5","1.33","--","2","--","--","--","--","--","--","--","--"
"17","1012.6","1014.8","24.5","22.2","87","5.7","180","13.0","180","0.0","0.0","0.0","0.33","15.0","0","9.0","--","--","--","--","--","--","--"
"18","1013.1","1015.3","24.3","22.0","87","7.8","190","11.8","190","0.0","0.0","0.0","0.04","--","0","--","--","--","--","--","--","--","--"
"19","1013.7","1015.9","24.3","22.2","88","6.8","190","11.4","180","T","0.1","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1014.3","1016.5","24.3","22.2","88","6.3","190","11.4","190","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1014.6","1016.8","24.3","21.0","82","4.0","190","9.9","190","0.0","0.0","--","0.00","--","0","--","23.5","23.7","24.1","24.1","24.0","23.8","22.5"
"22","1014.9","1017.1","23.8","20.7","83","1.8","220","5.4","200","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1014.9","1017.1","23.7","21.0","85","1.7","220","2.7","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1015.0","1017.2","23.4","20.9","86","1.7","220","2.8","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
