"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1017.2","1019.5","15.9","14.6","92","1.2","320","3.5","320","1.0","1.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1016.7","1019.0","16.0","14.7","92","2.1","330","3.1","330","T","0.6","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1016.6","1018.9","16.0","14.7","92","2.5","340","4.2","340","0.5","0.9","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1016.9","1019.2","15.8","14.7","93","2.9","330","4.3","330","0.5","0.9","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1017.2","1019.5","15.7","14.6","93","1.7","320","4.2","360","2.0","1.0","--","0.00","--","0","--","16.9","17.4","18.0","18.5","19.7","20.6","21.7"
"06","1018.0","1020.3","15.8","15.0","95","1.4","300","3.7","310","1.5","1.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1019.1","1021.4","15.7","14.9","95","1.7","280","2.8","280","0.5","0.8","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"08","1019.7","1022.0","16.0","15.4","96","1.6","260","2.9","270","1.0","0.9","0.0","0.10","12.0","0","10.0","--","--","--","--","--","--","--"
"09","1020.3","1022.6","16.3","15.3","94","1.7","360","4.1","50","T","0.8","0.0","0.25","12.0","0","10.0","17.0","17.2","17.8","18.2","19.4","20.4","21.7"
"10","1020.4","1022.7","17.2","15.2","88","2.7","20","6.1","20","0.0","0.0","0.1","0.89","--","2","--","--","--","--","--","--","--","--"
"11","1020.3","1022.6","18.1","12.6","70","5.2","50","9.5","50","0.0","0.0","0.0","1.65","12.0","4","10.0","--","--","--","--","--","--","--"
"12","1019.8","1022.1","18.4","12.6","69","7.4","50","12.9","40","0.0","0.0","0.2","2.45","--","6","--","--","--","--","--","--","--","--"
"13","1019.0","1021.3","18.4","12.8","70","6.1","60","11.1","40","0.0","0.0","0.0","1.75","--","5","--","--","--","--","--","--","--","--"
"14","1018.5","1020.8","18.1","12.1","68","5.5","50","10.6","40","0.0","0.0","0.0","1.29","15.0","3","10.0","18.4","18.6","19.0","18.6","19.3","20.3","21.7"
"15","1018.6","1020.9","17.6","11.9","69","5.4","50","10.6","50","0.0","0.0","0.0","0.61","--","2","--","--","--","--","--","--","--","--"
"16","1019.0","1021.3","16.9","11.8","72","7.2","50","12.5","60","0.0","0.0","0.0","0.26","--","1","--","--","--","--","--","--","--","--"
"17","1019.5","1021.8","16.6","11.8","73","5.9","50","11.3","50","0.0","0.0","0.0","0.13","12.0","0","10.0","--","--","--","--","--","--","--"
"18","1020.0","1022.3","16.4","11.8","74","5.4","50","10.8","40","0.0","0.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"19","1020.9","1023.2","16.1","11.7","75","4.3","40","9.4","60","T","0.1","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1021.7","1024.0","15.9","11.7","76","4.1","20","8.8","40","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1022.1","1024.4","15.6","12.4","81","2.4","350","6.3","360","T","0.1","--","0.00","--","0","--","16.7","17.4","18.2","18.7","19.6","20.3","21.6"
"22","1022.2","1024.5","15.7","12.3","80","2.4","360","4.7","20","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1022.2","1024.5","15.5","12.4","82","2.9","340","5.4","20","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1022.1","1024.4","15.0","12.9","87","2.5","340","4.3","330","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
