Position_ID,Year,Month,Day,Hour,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,SunShine,GloblRad,Visb,UVI,Cloud Amount,TxSoil0cm,TxSoil5cm,TxSoil10cm,TxSoil20cm,TxSoil30cm,TxSoil50cm,TxSoil100cm
466990,2024,07,01,01,1005.1,1007.3,29.1,26.5,86,2.9,20,6.6,360,0.0,0.0,--,0.00,--,0,--,--,--,--,--,--,--,--
466990,2024,07,01,02,1004.8,1007.0,29.0,26.6,87,3.1,30,6.5,20,0.0,0.0,--,0.00,--,0,--,--,--,--,--,--,--,--
466990,2024,07,01,03,1004.5,1006.7,28.8,26.4,87,2.7,10,4.8,50,0.0,0.0,--,0.00,--,0,--,--,--,--,--,--,--,--
466990,2024,07,01,04,1004.8,1007.0,28.7,26.1,86,1.7,340,5.3,350,0.0,0.0,--,0.00,--,0,--,--,--,--,--,--,--,--
466990,2024,07,01,05,1005.1,1007.3,27.5,24.2,82,2.6,250,5.2,250,0.0,0.0,--,0.00,--,0,--,29.1,29.6,30.2,31.0,31.7,32.7,30.8
466990,2024,07,01,06,1005.6,1007.8,27.6,25.2,87,4.0,240,7.1,220,0.0,0.0,0.2,0.11,--,0,--,--,--,--,--,--,--,--
466990,2024,07,01,07,1005.9,1008.1,29.1,25.1,79,2.1,220,4.6,230,0.0,0.0,0.6,0.69,--,0,--,--,--,--,--,--,--,--
466990,2024,07,01,08,1006.1,1008.3,30.5,25.1,73,1.7,230,4.1,240,0.0,0.0,0.2,0.91,20.0,2,8.0,--,--,--,--,--,--,--
466990,2024,07,01,09,1005.7,1007.9,31.1,26.4,76,2.2,170,5.1,180,0.0,0.0,0.7,2.02,20.0,5,5.0,29.9,29.6,30.0,30.4,31.3,32.5,30.9
466990,2024,07,01,10,1005.2,1007.4,30.8,27.2,81,4.4,160,6.2,180,0.0,0.0,1.0,3.01,--,8,--,--,--,--,--,--,--,--
466990,2024,07,01,11,1005.0,1007.2,30.9,27.5,82,3.9,160,6.1,180,0.0,0.0,1.0,3.05,20.0,10,6.0,--,--,--,--,--,--,--
466990,2024,07,01,12,1004.4,1006.6,30.9,27.1,80,2.0,150,6.2,170,0.0,0.0,1.0,3.62,--,13,--,--,--,--,--,--,--,--
466990,2024,07,01,13,1003.6,1005.8,31.6,27.1,77,3.8,150,7.5,160,0.0,0.0,1.0,3.62,--,13,--,--,--,--,--,--,--,--
466990,2024,07,01,14,1003.3,1005.5,31.3,26.6,76,2.9,140,7.2,180,0.0,0.0,1.0,3.30,20.0,11,6.0,33.4,32.5,32.5,31.4,31.4,32.5,30.9
466990,2024,07,01,15,1003.4,1005.5,32.1,28.2,80,2.6,150,7.1,160,0.0,0.0,1.0,2.96,--,8,--,--,--,--,--,--,--,--
466990,2024,07,01,16,1003.3,1005.4,31.9,27.6,78,3.2,140,6.5,170,0.0,0.0,1.0,2.22,--,5,--,--,--,--,--,--,--,--
466990,2024,07,01,17,1003.8,1006.0,30.4,27.6,85,2.6,120,5.2,170,0.0,0.0,0.1,0.63,20.0,2,8.0,--,--,--,--,--,--,--
466990,2024,07,01,18,1004.1,1006.3,29.8,27.2,86,3.9,160,6.5,180,0.0,0.0,0.0,0.20,--,0,--,--,--,--,--,--,--,--
466990,2024,07,01,19,1004.9,1007.1,29.7,26.9,85,3.1,190,7.4,170,0.0,0.0,0.0,0.02,--,0,--,--,--,--,--,--,--,--
466990,2024,07,01,20,1005.9,1008.1,29.8,26.8,84,2.5,200,5.1,210,0.0,0.0,--,0.00,--,0,--,--,--,--,--,--,--,--
466990,2024,07,01,21,1006.1,1008.3,28.7,26.1,86,2.2,260,6.8,260,0.0,0.0,--,0.00,--,0,--,31.7,32.4,33.1,33.3,33.1,33.3,30.9
466990,2024,07,01,22,1006.8,1009.0,27.4,26.4,94,5.7,270,11.9,250,27.0,0.8,--,0.00,--,0,--,--,--,--,--,--,--,--
466990,2024,07,01,23,1006.7,1008.9,27.3,26.3,94,2.6,330,6.8,310,3.0,0.6,--,0.00,--,0,--,--,--,--,--,--,--,--
466990,2024,07,01,24,1006.6,1008.8,26.2,25.3,95,3.9,330,6.3,360,32.5,1.0,--,0.00,--,0,--,--,--,--,--,--,--,--
466990,2024,07,02,01,1006.0,1008.2,26.1,25.2,95,3.5,340,8.2,320,13.0,0.9,--,0.00,--,0,--,--,--,--,--,--,--,--
466990,2024,07,02,02,1005.3,1007.5,26.1,25.4,96,2.2,230,4.4,320,1.0,0.5,--,0.00,--,0,--,--,--,--,--,--,--,--
466990,2024,07,02,03,1005.0,1007.2,26.8,26.3,97,1.8,230,5.4,240,0.5,0.3,--,0.00,--,0,--,--,--,--,--,--,--,--
466990,2024,07,02,04,1004.9,1007.1,26.7,26.0,96,1.2,330,3.8,330,0.0,0.0,--,0.00,--,0,--,--,--,--,--,--,--,--
466990,2024,07,02,05,1005.3,1007.5,26.6,26.1,97,2.4,240,3.8,250,0.0,0.0,--,0.00,--,0,--,27.0,27.2,27.9,29.0,30.7,32.4,31.3
466990,2024,07,02,06,1006.0,1008.2,26.7,26.2,97,3.0,250,5.2,250,0.0,0.0,0.4,0.17,--,0,--,--,--,--,--,--,--,--
466990,2024,07,02,07,1006.1,1008.3,27.3,26.6,96,2.7,200,5.4,210,0.0,0.0,1.0,0.75,--,1,--,--,--,--,--,--,--,--
466990,2024,07,02,08,1006.6,1008.8,29.2,27.0,88,2.6,220,4.3,220,0.0,0.0,1.0,1.58,20.0,2,4.0,--,--,--,--,--,--,--
466990,2024,07,02,09,1007.0,1009.2,30.1,26.9,83,2.2,150,4.7,210,0.0,0.0,1.0,2.32,20.0,5,4.0,28.5,28.0,28.3,28.8,30.2,32.0,31.4
466990,2024,07,02,10,1007.1,1009.3,30.3,27.1,83,5.3,170,8.0,180,0.0,0.0,1.0,2.96,--,8,--,--,--,--,--,--,--,--
466990,2024,07,02,11,1007.5,1009.7,30.9,27.7,83,7.2,170,10.2,180,0.0,0.0,1.0,3.46,20.0,11,3.0,--,--,--,--,--,--,--
466990,2024,07,02,12,1007.3,1009.5,30.8,27.4,82,5.9,170,10.3,180,0.0,0.0,1.0,3.69,--,13,--,--,--,--,--,--,--,--
466990,2024,07,02,13,1007.1,1009.3,30.7,27.7,84,5.6,160,9.9,170,0.0,0.0,1.0,3.69,--,13,--,--,--,--,--,--,--,--
466990,2024,07,02,14,1006.5,1008.7,31.3,27.4,80,5.9,180,10.8,190,0.0,0.0,1.0,3.52,20.0,11,3.0,31.5,30.6,30.7,29.9,30.4,32.0,31.4
