DateTime,SeqNumber,Device_ID,Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Avg_Diff_WindSpeed(m/s),Avg_Diff_Pressure(hpa),Avg_Diff_Temperature(°C),Avg_Diff_Humidity(%),Avg_Diff_Sunlight(Lux),Avg_Diff_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Min_Diff_WindSpeed(m/s),Min_Diff_Pressure(hpa),Min_Diff_Temperature(°C),Min_Diff_Humidity(%),Min_Diff_Sunlight(Lux),Min_Diff_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Max_Diff_WindSpeed(m/s),Max_Diff_Pressure(hpa),Max_Diff_Temperature(°C),Max_Diff_Humidity(%),Max_Diff_Sunlight(Lux),Max_Diff_Power(mW)
2024-05-14 16:50:00,20240514165006,6,2024,5,14,16,50,0.22,1007.62,25.6,63.3,5998.0,8.47,0.02,0.1,0.06,0.02,36.42,0.21,0.0,1006.95,25.15,62.96,5389.17,6.17,-0.61,-0.47,-0.31,-0.34,-285.0,-0.77,0.7,1007.95,25.74,63.69,6390.0,10.0,0.7,0.62,0.37,0.34,357.5,1.15
2024-05-14 17:00:00,20240514170006,6,2024,5,14,17,0,0.45,1007.77,25.36,64.63,4886.33,5.63,0.05,0.0,-0.05,0.23,-152.92,-0.43,0.0,1007.48,25.16,63.59,4335.83,4.14,-0.35,-0.45,-0.33,-0.1,-449.17,-1.58,1.13,1008.01,25.73,65.98,5415.83,6.85,0.44,0.42,0.2,0.47,340.83,0.98
2024-05-15 06:30:00,20240515063006,6,2024,5,15,6,30,0.0,1009.34,36.12,40.92,12158.17,21.07,0.0,0.01,0.35,-0.85,-2.25,-0.06,0.0,1009.27,34.55,37.08,11722.5,19.96,0.0,-0.06,0.25,-1.95,-436.67,-1.51,0.0,1009.39,37.62,44.6,12337.5,21.56,0.0,0.08,0.43,0.51,232.5,0.57
2024-05-15 06:40:00,20240515064006,6,2024,5,15,6,40,0.0,1009.42,36.76,37.98,11151.83,18.77,0.0,0.0,-0.13,0.13,88.42,0.59,0.0,1009.38,36.25,37.0,10410.0,16.01,0.0,-0.05,-0.35,-1.09,-685.0,-2.12,0.0,1009.48,37.57,38.71,12606.67,25.88,0.0,0.06,0.11,1.04,707.5,4.14
2024-05-15 06:50:00,20240515065006,6,2024,5,15,6,50,0.0,1009.45,37.99,35.15,13575.08,32.63,0.0,0.01,0.25,-0.59,201.25,1.26,0.0,1009.41,36.66,32.85,12679.17,27.8,0.0,-0.02,0.1,-1.31,-571.66,-2.73,0.0,1009.52,38.87,37.88,14619.17,38.51,0.0,0.04,0.46,0.06,783.33,5.74
2024-05-15 07:00:00,20240515070006,6,2024,5,15,7,0,0.09,1009.58,39.43,31.48,15279.42,45.74,0.0,0.0,0.01,-0.08,146.5,1.55,0.0,1009.54,38.98,30.37,14495.83,39.48,-0.61,-0.04,-0.44,-0.86,-640.84,-5.52,0.61,1009.63,39.88,33.01,16084.17,54.04,0.35,0.05,0.38,1.0,660.84,8.86
2024-05-15 07:10:00,20240515071006,6,2024,5,15,7,10,0.0,1009.65,38.09,33.33,16343.5,50.14,0.0,0.02,-0.17,0.31,157.75,0.49,0.0,1009.6,37.29,31.61,15512.5,39.65,0.0,-0.05,-0.48,-0.54,-1521.66,-19.61,0.0,1009.75,38.9,35.12,17780.83,69.11,0.0,0.09,0.22,1.67,1784.17,19.87
2024-05-15 07:20:00,20240515072006,6,2024,5,15,7,20,0.02,1009.74,38.09,33.33,28970.75,84.08,0.0,0.0,0.16,-0.44,1813.83,4.01,0.0,1009.72,37.1,30.73,20475.83,42.09,-0.17,-0.03,-0.19,-1.11,-5171.67,-18.44,0.17,1009.76,38.88,35.41,38755.0,107.67,0.17,0.04,0.31,0.29,4956.66,31.13
2024-05-15 07:30:00,20240515073006,6,2024,5,15,7,30,0.16,1009.78,39.55,29.91,40715.9,134.34,0.0,0.01,0.19,-0.25,1501.38,11.22,0.0,1009.75,38.97,28.25,36079.16,101.14,-0.43,-0.05,-0.12,-1.31,-2204.17,-9.03,0.78,1009.82,40.74,31.52,50813.82,211.3,0.52,0.07,0.55,0.79,6224.37,45.08
2024-05-15 07:40:00,20240515074006,6,2024,5,15,7,40,0.03,1009.89,42.47,25.06,51339.95,241.49,0.02,0.01,0.26,-0.45,545.89,9.39,0.0,1009.86,41.41,23.72,44549.92,189.34,-0.17,-0.03,-0.06,-1.92,-5042.02,-35.59,0.17,1009.93,43.37,27.96,57712.03,313.44,0.17,0.06,0.67,0.5,5769.76,53.94
2024-05-15 07:50:00,20240515075006,6,2024,5,15,7,50,0.0,1009.87,42.8,24.05,44240.87,208.64,-0.02,-0.0,-0.1,0.06,233.41,3.87,0.0,1009.81,41.83,22.99,27344.84,89.69,-0.17,-0.08,-0.55,-0.58,-15251.88,-106.81,0.0,1009.93,43.96,24.79,58606.87,343.86,0.0,0.06,0.43,0.66,18649.32,118.81
2024-05-15 08:00:00,20240515080006,6,2024,5,15,8,0,0.07,1009.86,42.9,23.51,55024.8,311.36,0.0,-0.01,0.1,-0.1,-808.59,-7.85,0.0,1009.75,42.46,22.48,50520.93,265.34,-0.18,-0.12,-0.4,-1.16,-10718.36,-113.94,0.35,1009.9,43.45,24.39,61848.43,384.75,0.35,0.05,0.4,0.91,3241.56,40.89
