DateTime,SeqNumber,Device_ID,Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Avg_Diff_WindSpeed(m/s),Avg_Diff_Pressure(hpa),Avg_Diff_Temperature(°C),Avg_Diff_Humidity(%),Avg_Diff_Sunlight(Lux),Avg_Diff_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Min_Diff_WindSpeed(m/s),Min_Diff_Pressure(hpa),Min_Diff_Temperature(°C),Min_Diff_Humidity(%),Min_Diff_Sunlight(Lux),Min_Diff_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Max_Diff_WindSpeed(m/s),Max_Diff_Pressure(hpa),Max_Diff_Temperature(°C),Max_Diff_Humidity(%),Max_Diff_Sunlight(Lux),Max_Diff_Power(mW)
2024-02-28 06:30:00,20240228063011,11,2024,2,28,6,30,0.0,1017.27,15.81,86.83,782.5,0.51,0.0,0.01,0.01,0.04,49.08,0.04,0.0,1017.24,15.75,86.57,552.5,0.31,0.0,-0.01,-0.02,-0.13,21.67,-0.06,0.0,1017.29,15.91,87.29,994.17,0.68,0.0,0.03,0.03,0.43,67.5,0.1
2024-02-28 06:40:00,20240228064011,11,2024,2,28,6,40,0.0,1017.34,16.05,86.85,1344.08,1.2,0.0,0.01,0.03,-0.06,76.42,0.12,0.0,1017.3,15.91,86.35,1038.33,0.79,0.0,-0.03,0.0,-0.18,25.84,0.04,0.0,1017.39,16.19,87.36,1758.33,1.84,0.0,0.05,0.05,0.37,133.33,0.27
2024-02-28 06:50:00,20240228065011,11,2024,2,28,6,50,0.11,1017.5,16.35,86.77,2361.08,3.46,0.0,0.02,0.02,-0.03,84.08,0.25,0.0,1017.4,16.2,86.48,1925.83,2.18,-0.7,-0.02,-0.02,-0.34,-4.16,0.0,0.7,1017.6,16.44,87.11,2603.33,4.36,0.53,0.07,0.07,0.32,172.5,0.62
2024-02-28 07:00:00,20240228070011,11,2024,2,28,7,0,0.03,1017.65,16.9,84.95,3641.25,9.72,0.0,0.01,0.1,-0.33,281.92,1.88,0.0,1017.61,16.52,83.17,2490.0,3.67,-0.26,-0.03,0.05,-0.7,-93.33,-0.49,0.26,1017.72,17.46,86.12,5439.17,23.11,0.26,0.06,0.16,-0.01,1009.17,6.05
2024-02-28 07:10:00,20240228071011,11,2024,2,28,7,10,0.07,1017.8,17.47,82.92,3812.92,6.86,0.0,0.01,-0.01,0.01,-134.33,-1.66,0.0,1017.73,17.39,82.5,3255.83,4.4,-0.26,-0.01,-0.06,-0.55,-1244.17,-11.0,0.44,1017.84,17.57,83.58,4796.67,17.1,0.44,0.05,0.1,0.46,195.0,0.7
2024-02-28 07:20:00,20240228072011,11,2024,2,28,7,20,0.0,1017.85,17.62,82.48,4657.17,8.38,0.0,0.01,0.04,-0.09,84.08,0.25,0.0,1017.81,17.44,82.26,4189.17,6.82,0.0,-0.04,0.01,-0.45,-52.5,-0.63,0.0,1017.9,17.76,82.8,4968.33,9.63,0.0,0.03,0.06,0.07,253.33,1.25
2024-02-28 07:30:00,20240228073011,11,2024,2,28,7,30,0.07,1017.92,18.2,80.77,7583.58,26.87,0.0,0.0,0.12,-0.4,480.92,4.25,0.0,1017.88,17.79,78.41,4908.33,8.62,-0.35,-0.03,0.03,-0.87,-706.67,-14.3,0.35,1017.95,18.93,82.22,10661.67,65.86,0.35,0.05,0.26,-0.13,3358.33,24.25
2024-02-28 07:40:00,20240228074011,11,2024,2,28,7,40,0.07,1017.95,19.99,74.29,13708.75,79.06,0.03,0.0,0.21,-0.83,779.83,9.45,0.0,1017.92,19.1,70.09,9525.83,38.71,-0.18,-0.04,0.06,-1.4,-3193.34,-33.09,0.44,1018.01,20.99,77.13,17700.0,146.08,0.44,0.04,0.27,-0.25,4968.33,43.28
2024-02-28 07:50:00,20240228075011,11,2024,2,28,7,50,0.51,1017.92,20.93,69.24,14752.5,97.42,0.0,0.0,0.01,-0.13,-470.0,-5.32,0.17,1017.88,20.69,68.41,12020.0,67.5,-0.96,-0.06,-0.23,-0.88,-5622.5,-108.94,1.22,1017.97,21.15,70.04,19451.67,196.76,0.7,0.05,0.16,0.99,3886.67,112.66
2024-02-28 08:00:00,20240228080011,11,2024,2,28,8,0,0.34,1017.96,21.22,67.49,12717.0,66.15,0.04,0.0,0.02,-0.18,92.25,-2.6,0.0,1017.9,21.14,66.32,11269.17,53.73,-0.18,-0.05,-0.05,-0.85,-1897.5,-28.82,0.7,1018.0,21.28,68.54,14928.33,79.87,0.44,0.05,0.13,0.49,3636.66,17.66
2024-02-28 08:10:00,20240228081011,11,2024,2,28,8,10,0.33,1018.04,21.41,66.4,12313.0,65.48,-0.04,0.0,0.04,-0.16,-139.83,-0.97,0.0,1018.0,21.1,65.38,10834.17,50.44,-0.61,-0.03,-0.12,-0.58,-2010.0,-33.31,1.13,1018.06,21.68,67.14,14062.5,93.46,0.44,0.05,0.18,0.32,1693.33,22.47
2024-02-28 08:20:00,20240228082011,11,2024,2,28,8,20,0.42,1017.96,22.83,61.4,27737.66,306.65,-0.01,-0.0,0.28,-0.89,2781.0,67.52,0.0,1017.92,21.59,56.5,13986.67,51.56,-0.61,-0.05,-0.04,-2.9,-4570.83,-370.04,0.78,1018.01,24.38,66.17,40157.5,732.39,0.52,0.05,0.6,0.64,10587.5,451.96
2024-02-28 08:30:00,20240228083011,11,2024,2,28,8,30,0.38,1017.92,26.74,50.46,45491.48,942.74,0.04,-0.0,0.41,-1.1,971.48,35.46,0.0,1017.89,24.79,45.47,40127.81,732.39,-0.44,-0.03,0.31,-1.63,-2821.1,-121.79,0.7,1017.94,28.51,55.01,49872.26,1086.96,0.61,0.04,0.48,-0.4,4826.41,202.02
2024-02-28 08:40:00,20240228084011,11,2024,2,28,8,40,0.68,1017.84,29.51,42.7,55407.18,1241.74,0.09,-0.01,0.19,-0.44,1045.78,27.76,0.17,1017.76,28.74,40.37,46709.77,927.17,-0.52,-0.08,-0.04,-2.65,-1848.98,-103.01,1.48,1017.91,30.43,44.23,60330.07,1364.56,0.78,0.04,0.33,0.68,4846.16,204.42
2024-02-28 08:50:00,20240228085011,11,2024,2,28,8,50,0.74,1017.76,30.4,39.92,58776.86,1283.95,-0.07,-0.0,-0.01,-0.11,18.51,0.34,0.35,1017.74,29.97,39.37,42781.8,606.41,-1.04,-0.05,-0.47,-0.75,-15871.79,-657.55,1.39,1017.79,30.66,40.58,62288.67,1416.56,0.61,0.03,0.16,0.54,17733.35,737.98
2024-02-28 09:00:00,20240228090011,11,2024,2,28,9,0,0.18,1017.73,31.49,38.49,58577.94,1361.11,-0.03,0.0,0.24,-0.39,53.37,7.14,0.0,1017.67,30.23,36.02,56806.4,1315.12,-0.35,-0.04,-0.07,-1.39,-1741.17,-52.13,0.44,1017.76,32.71,40.13,61735.23,1464.11,0.35,0.08,0.38,0.81,3502.11,133.06
2024-02-28 09:10:00,20240228091011,11,2024,2,28,9,10,0.27,1017.66,33.19,34.98,62333.59,1479.82,-0.02,-0.02,0.16,-0.28,333.86,5.88,0.0,1017.56,32.7,33.2,57424.53,1303.21,-0.27,-0.09,-0.04,-1.6,-2217.34,-84.47,0.61,1017.76,34.35,36.48,66117.81,1559.21,0.35,0.02,0.52,0.93,4910.86,177.76
2024-02-28 09:20:00,20240228092011,11,2024,2,28,9,20,0.46,1017.61,33.96,32.98,62931.05,1478.53,-0.03,0.01,-0.03,0.03,-471.14,-14.81,0.0,1017.58,33.4,32.13,59676.01,1350.03,-0.7,-0.05,-0.24,-0.95,-3096.01,-122.87,1.22,1017.63,34.34,34.03,66004.61,1579.45,0.61,0.04,0.42,1.28,3063.67,124.7
2024-02-28 09:30:00,20240228093011,11,2024,2,28,9,30,0.2,1017.5,35.5,30.89,68778.81,1587.64,0.0,-0.02,0.17,-0.27,1173.36,27.28,0.0,1017.44,34.44,29.09,64978.59,1465.5,-0.52,-0.05,-0.22,-1.4,-3539.84,-139.74,0.96,1017.58,35.91,32.93,71409.61,1622.84,0.96,0.01,0.52,2.0,5302.58,178.32
2024-02-28 09:40:00,20240228094011,11,2024,2,28,9,40,0.54,1017.4,35.88,29.58,73161.92,1621.98,0.0,-0.01,-0.0,0.0,377.88,0.07,0.0,1017.38,35.41,28.61,71609.06,1607.42,-0.69,-0.05,-0.31,-0.84,-1011.64,-27.2,1.22,1017.44,36.31,30.83,75188.44,1641.72,0.87,0.03,0.29,1.32,1252.42,18.14
2024-02-28 09:50:00,20240228095011,11,2024,2,28,9,50,0.46,1017.34,36.5,28.62,79109.22,1654.63,0.11,-0.01,0.07,-0.34,880.47,10.59,0.0,1017.25,36.2,27.43,72913.59,1526.22,-0.52,-0.04,-0.23,-1.64,-1888.52,-60.5,1.05,1017.39,36.74,30.0,83993.13,1729.43,0.87,0.02,0.5,1.1,3631.49,97.36
2024-02-28 10:00:00,20240228100011,11,2024,2,28,10,0,0.42,1017.13,37.23,26.81,87920.56,1714.41,-0.05,-0.02,0.12,-0.14,688.02,-1.11,0.0,1017.05,36.41,24.95,84002.11,1687.15,-0.35,-0.07,-0.16,-1.58,-637.89,-41.82,0.96,1017.25,37.82,28.47,90873.36,1728.97,0.53,0.02,0.39,1.37,2298.2,36.49
2024-02-28 10:10:00,20240228101011,11,2024,2,28,10,10,0.38,1016.96,37.83,26.34,92978.04,1698.16,-0.03,-0.02,0.04,0.15,687.48,-0.03,0.0,1016.87,37.42,25.69,87308.36,1641.28,-0.7,-0.06,-0.19,-0.92,-3565.0,-76.3,0.96,1017.04,38.21,27.48,97748.2,1742.64,0.87,0.03,0.47,1.17,3268.52,66.71
2024-02-28 10:20:00,20240228102011,11,2024,2,28,10,20,0.61,1016.79,37.9,26.46,102021.7,1739.66,0.01,-0.02,0.03,-0.13,771.04,2.61,0.0,1016.72,37.64,25.97,98779.6,1719.82,-0.53,-0.07,-0.19,-0.59,336.02,-16.79,1.05,1016.82,38.28,26.89,105458.59,1753.32,0.96,0.03,0.29,0.4,1063.75,15.67
2024-02-28 10:30:00,20240228103011,11,2024,2,28,10,30,0.73,1016.64,37.62,26.29,105696.13,1729.31,0.09,-0.01,-0.19,0.09,289.66,2.98,0.0,1016.56,36.39,25.5,101151.48,1635.79,-1.31,-0.07,-0.87,-0.83,-3243.36,-71.21,1.48,1016.73,38.42,27.14,109271.55,1790.21,0.88,0.02,0.28,1.32,5004.29,85.43
2024-02-28 10:40:00,20240228104011,11,2024,2,28,10,40,0.88,1016.46,33.92,31.77,45345.94,703.68,0.03,-0.02,-0.65,1.18,-9899.02,-174.13,0.17,1016.35,29.85,27.71,9365.0,32.76,-1.22,-0.07,-1.48,-0.34,-49038.51,-1187.73,1.74,1016.55,36.33,38.93,110479.05,1782.48,1.22,0.01,0.2,3.22,995.47,8.47
2024-02-28 10:50:00,20240228105011,11,2024,2,28,10,50,0.77,1016.25,27.69,43.97,8514.0,26.06,-0.03,-0.02,-0.32,0.73,-82.58,-0.64,0.0,1016.18,26.67,40.05,7564.17,13.78,-0.96,-0.07,-0.63,0.12,-540.0,-11.39,1.48,1016.32,29.23,46.24,9286.67,32.66,0.53,0.02,-0.05,1.66,756.66,6.28
2024-02-28 11:00:00,20240228110011,11,2024,2,28,11,0,0.31,1016.02,26.15,48.87,7785.34,22.38,-0.12,-0.03,-0.05,0.41,-114.0,-0.54,0.0,1015.88,25.93,46.84,7399.17,20.8,-1.05,-0.05,-0.21,-0.23,-640.0,-3.53,1.13,1016.18,26.5,50.36,8211.67,25.08,0.96,0.0,0.12,1.96,214.17,1.88
2024-02-28 11:10:00,20240228111011,11,2024,2,28,11,10,0.4,1015.77,26.27,49.62,7285.0,19.72,0.0,-0.02,0.01,-0.26,10.17,-0.05,0.0,1015.65,26.21,47.78,7069.17,18.96,-0.88,-0.08,-0.06,-2.05,-113.33,-0.72,1.05,1015.87,26.3,51.34,7500.83,20.58,0.79,0.04,0.06,1.12,302.5,1.05
2024-02-28 11:20:00,20240228112011,11,2024,2,28,11,20,0.43,1015.48,26.0,50.31,7248.0,18.3,0.05,-0.02,-0.03,0.22,67.83,0.42,0.0,1015.42,25.93,48.49,6681.67,16.03,-0.61,-0.06,-0.14,-2.08,-449.16,-3.71,1.13,1015.59,26.15,52.07,8179.17,24.62,0.87,0.03,0.03,1.65,979.16,7.75
