DateTime,SeqNumber,Device_ID,Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Std_Avg_WindSpeed(m/s),Std_Avg_Pressure(hpa),Std_Avg_Temperature(°C),Std_Avg_Humidity(%),Std_Avg_Sunlight(Lux),Std_Avg_Power(mW),Std_Min_WindSpeed(m/s),Std_Min_Pressure(hpa),Std_Min_Temperature(°C),Std_Min_Humidity(%),Std_Min_Sunlight(Lux),Std_Min_Power(mW),Std_Max_WindSpeed(m/s),Std_Max_Pressure(hpa),Std_Max_Temperature(°C),Std_Max_Humidity(%),Std_Max_Sunlight(Lux),Std_Max_Power(mW)
2024-05-17 16:50:00,20240517165007,7.0,2024.0,5.0,17.0,16.0,50.0,1.29,1006.38,27.26,60.39,3498.19,2.07,0.0,1006.37,27.06,60.08,3247.5,1.77,4.09,1006.4,27.36,61.03,3678.33,2.31,11.707951037716713,1.12314122291731,-1.0276751899381358,0.2546892179742492,-0.9231607387060212,-0.761154938122738,0.0,1.140408632020032,-1.022299821903588,0.2888817015547318,-0.8678517782349249,-0.6770098729600451,8.847360397704948,1.1099843335172226,-1.0429395588658916,0.2326975567137142,-0.9555885875347918,-0.7915022616321149
2024-05-17 17:00:00,20240517170007,7.0,2024.0,5.0,17.0,17.0,0.0,0.66,1006.43,27.28,60.4,3326.58,1.86,0.0,1006.33,27.22,60.15,2942.5,1.48,5.14,1006.52,27.34,60.76,3639.17,2.12,5.949592941237391,1.142402195477539,-1.025534210571816,0.2550503485751217,-0.9276766456573392,-0.7615146844517557,0.0,1.1250341795850405,-1.0048123717409498,0.2914037300206673,-0.8765683382171217,-0.6775678990420883,11.143372494337484,1.1563098971291934,-1.0450364842615916,0.2229272364049404,-0.9565315010419784,-0.7917792470396847
2024-05-18 06:20:00,20240518062007,7.0,2024.0,5.0,18.0,6.0,20.0,0.0,1005.81,22.89,82.31,19885.25,49.2,0.0,1005.73,22.4,79.75,12449.17,34.13,0.0,1005.87,23.71,84.24,27703.33,75.62,-0.0829726836457082,0.90356613573048,-1.495479181479053,1.0462874950869716,-0.4919362286794147,-0.6804175834246118,0.0,0.8944173930599492,-1.5316218078904298,0.9975717004825824,-0.6048783077713823,-0.6147418591155108,-0.0961533882255983,0.905379760897703,-1.4256284435811457,1.0725832395531103,-0.3771029641906391,-0.6846296288481746
2024-05-18 06:30:00,20240518063007,7.0,2024.0,5.0,18.0,6.0,30.0,0.0,1005.83,25.88,70.31,30934.5,192.04,0.0,1005.75,24.14,63.88,29173.33,120.51,0.0,1005.87,27.24,78.49,33259.16,232.29,-0.0829726836457082,0.9112705247546156,-1.175402766214215,0.6129307740398608,-0.2011758715798811,-0.4357215565822532,0.0,0.9021046192774448,-1.3414457873717376,0.42579181827694,-0.126920459273494,-0.4485270557814293,-0.0961533882255983,0.905379760897703,-1.0555211112400915,0.864511603347745,-0.2433269899661169,-0.4562332930377814
2024-05-18 06:40:00,20240518064007,7.0,2024.0,5.0,18.0,6.0,40.0,0.0,1006.03,25.51,70.14,14564.17,39.9,0.0,1005.92,24.65,65.04,13870.83,36.18,0.0,1006.1,26.98,74.04,15519.17,44.71,-0.0829726836457082,0.9883144149955754,-1.2150108844911345,0.6067915538250268,-0.6319601326507419,-0.6963492065668263,0.0,0.9674460421262026,-1.285704539978328,0.4675854328552984,-0.5642488498556777,-0.6107971919838268,-0.0961533882255983,0.9941704244873176,-1.082781141384192,0.7034822501105497,-0.6704790887494276,-0.729690781205992
2024-05-18 06:50:00,20240518065007,7.0,2024.0,5.0,18.0,6.0,50.0,0.0,1006.2,24.56,74.59,16198.17,50.46,0.0,1006.05,24.48,73.62,14496.67,39.67,0.0,1006.34,24.71,75.23,19310.0,69.76,-0.0829726836457082,1.0538017217004416,-1.3167074043913345,0.7674946712133305,-0.5889615197584064,-0.6782591054505053,0.0,1.0174130125399687,-1.3042849557761311,0.7767140648228101,-0.5463630403499138,-0.6040816367206183,-0.0961533882255983,1.0868215517112592,-1.3207821737961445,0.7465440322121817,-0.5792016421087735,-0.6931724419448038
2024-05-18 07:00:00,20240518070007,7.0,2024.0,5.0,18.0,7.0,0.0,0.0,1006.27,25.21,72.29,20937.58,78.77,0.0,1006.21,24.77,70.62,19326.67,67.49,0.0,1006.35,25.58,73.71,21900.83,84.83,-0.0829726836457082,1.0807670832847622,-1.2471255749859345,0.6844346330126343,-0.4642442272687712,-0.6297618741433982,0.0,1.078910822280022,-1.2725889523563492,0.6686271305684354,-0.4083270248941421,-0.5505496174018623,-0.0961533882255983,1.0906820153455865,-1.2295659190831938,0.691540747510937,-0.516818378527973,-0.6712031256707078
2024-05-18 07:10:00,20240518071007,7.0,2024.0,5.0,18.0,7.0,10.0,0.0,1006.41,25.67,70.05,21539.67,81.49,0.0,1006.33,25.59,69.23,19099.17,66.0,0.0,1006.48,25.82,70.88,25514.17,109.25,-0.0829726836457082,1.1346978064534474,-1.1978830495605746,0.6035413784171733,-0.4484002647006279,-0.6251023026437397,0.0,1.1250341795850405,-1.1829657702728278,0.618546851030575,-0.4148287212743052,-0.5534167169268424,-0.0961533882255983,1.1408680425918845,-1.2044028143347931,0.5891333161263833,-0.4298146223467301,-0.635603211708304
2024-05-18 07:20:00,20240518072007,7.0,2024.0,5.0,18.0,7.0,20.0,0.0,1006.56,26.44,67.3,29913.92,146.54,0.0,1006.48,25.92,64.69,26756.67,119.0,0.0,1006.63,26.97,69.55,31918.33,165.11,-0.0829726836457082,1.1924807241341784,-1.1154553439572552,0.5042304631772104,-0.2280323736274086,-0.5136665945360988,0.0,1.1826883762163023,-1.146897904312386,0.4549752905256211,-0.1959859079507913,-0.4514326398637917,-0.0961533882255983,1.198774997106837,-1.083829604082042,0.5410054420127945,-0.2756121461929032,-0.5541695018827563
2024-05-18 07:30:00,20240518073007,7.0,2024.0,5.0,18.0,7.0,30.0,0.0,1006.66,27.4,63.44,30050.08,144.98,0.0,1006.62,27.08,62.17,28600.0,131.04,0.0,1006.7,27.75,64.77,31877.5,165.44,-0.0829726836457082,1.2310026692546805,-1.0126883343738962,0.3648340512403898,-0.2244493313193177,-0.5163389958373736,0.0,1.2364989597388163,-1.0201138906332583,0.3641822657519464,-0.1433055915180609,-0.4282649363196572,-0.0961533882255983,1.2257982425471716,-1.0020495136497412,0.3680345861759864,-0.2765952707715148,-0.5536884219643454
