DateTime,SeqNumber,Device_ID,Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Avg_Diff_WindSpeed(m/s),Avg_Diff_Pressure(hpa),Avg_Diff_Temperature(°C),Avg_Diff_Humidity(%),Avg_Diff_Sunlight(Lux),Avg_Diff_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Min_Diff_WindSpeed(m/s),Min_Diff_Pressure(hpa),Min_Diff_Temperature(°C),Min_Diff_Humidity(%),Min_Diff_Sunlight(Lux),Min_Diff_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Max_Diff_WindSpeed(m/s),Max_Diff_Pressure(hpa),Max_Diff_Temperature(°C),Max_Diff_Humidity(%),Max_Diff_Sunlight(Lux),Max_Diff_Power(mW)
2024-04-18 06:30:00,20240418063004,4,2024,4,18,6,30,0.3,1001.22,27.55,67.16,9846.75,18.3,-0.06,0.03,0.0,-0.02,-435.25,-1.9,0.0,1001.04,27.45,66.3,7826.67,10.66,-0.95,-0.01,-0.05,-1.17,-865.83,-3.96,1.39,1001.38,27.65,67.98,12601.67,31.82,0.95,0.08,0.09,0.71,570.0,1.47
2024-04-18 06:40:00,20240418064004,4,2024,4,18,6,40,0.1,1001.47,27.51,68.52,10591.25,18.75,0.0,0.0,0.02,0.06,431.92,1.34,0.0,1001.41,27.42,68.06,9045.0,13.74,-0.96,-0.1,-0.06,-0.28,-276.67,-0.61,0.96,1001.56,27.66,69.03,12799.17,26.0,0.96,0.07,0.08,0.46,1084.16,3.65
2024-04-18 06:50:00,20240418065004,4,2024,4,18,6,50,0.22,1001.56,27.76,68.89,10334.91,17.76,0.0,0.03,0.02,0.03,-356.83,-1.23,0.0,1001.41,27.7,68.5,8754.17,13.4,-0.88,0.0,-0.04,-0.41,-1481.66,-4.14,1.05,1001.71,27.86,69.26,12853.33,26.13,1.05,0.09,0.05,0.24,410.0,0.31
2024-04-18 07:00:00,20240418070004,4,2024,4,18,7,0,0.06,1001.79,28.08,68.18,11884.08,22.66,0.02,0.02,0.04,-0.09,326.5,1.22,0.0,1001.72,27.9,67.69,9794.17,15.12,-0.26,-0.02,0.01,-0.4,-196.67,-0.22,0.26,1001.89,28.21,68.84,12893.33,26.28,0.26,0.06,0.06,0.27,732.5,2.52
2024-04-18 07:10:00,20240418071004,4,2024,4,18,7,10,0.06,1001.9,28.68,66.61,12909.92,28.41,-0.02,0.01,0.08,-0.23,-181.67,-0.63,0.0,1001.83,28.27,65.63,10679.17,19.65,-0.35,-0.04,0.02,-0.87,-1160.83,-4.02,0.35,1002.03,29.01,67.83,14235.0,34.3,0.35,0.06,0.12,0.39,870.0,3.79
2024-04-18 07:20:00,20240418072004,4,2024,4,18,7,20,0.02,1002.21,29.08,65.31,11329.0,21.88,0.0,0.04,0.03,-0.07,382.67,1.24,0.0,1002.06,28.97,64.55,9497.5,16.64,-0.17,-0.02,-0.03,-0.65,-792.5,-2.02,0.17,1002.39,29.3,65.68,14505.83,32.03,0.17,0.08,0.07,0.37,1301.67,3.83
2024-04-18 07:30:00,20240418073004,4,2024,4,18,7,30,0.15,1002.57,29.45,64.32,17251.83,48.54,0.0,0.02,0.06,-0.12,817.42,4.73,0.0,1002.46,29.28,63.75,14292.5,32.14,-0.44,-0.04,-0.04,-0.59,-136.67,0.11,0.44,1002.63,29.91,64.8,22680.0,79.31,0.35,0.07,0.19,0.35,2280.84,12.76
2024-04-18 07:40:00,20240418074004,4,2024,4,18,7,40,0.19,1002.49,30.59,60.45,26329.83,108.24,0.03,-0.02,0.15,-0.59,842.17,6.7,0.0,1002.4,30.09,57.86,23670.83,82.0,-1.39,-0.06,0.04,-1.8,-965.83,-16.1,1.39,1002.58,31.44,62.97,32329.17,168.17,1.13,0.02,0.38,0.4,7255.84,76.47
2024-04-18 07:50:00,20240418075004,4,2024,4,18,7,50,0.19,1002.56,32.39,54.62,28898.58,140.55,-0.03,0.03,0.1,-0.35,-1087.5,-7.21,0.0,1002.38,31.71,53.82,20226.67,74.2,-1.05,-0.02,-0.09,-1.95,-11178.36,-149.66,1.22,1002.71,32.56,57.28,40882.5,275.73,0.96,0.11,0.6,0.35,8736.66,114.48
2024-04-18 08:00:00,20240418080004,4,2024,4,18,8,0,0.04,1002.75,32.77,53.77,24395.58,107.67,0.0,0.01,0.1,-0.19,602.0,5.18,0.0,1002.69,32.33,52.1,20160.0,73.79,-0.44,-0.03,-0.07,-1.6,-365.0,-2.35,0.44,1002.82,33.37,55.1,26760.0,128.46,0.44,0.04,0.19,0.97,1480.83,11.17
2024-04-18 08:10:00,20240418081004,4,2024,4,18,8,10,0.03,1003.08,33.58,51.65,25315.75,114.05,0.0,0.05,0.04,-0.11,156.58,0.98,0.0,1002.84,33.42,50.89,24283.33,102.23,-0.26,0.02,-0.07,-1.03,-954.17,-7.47,0.26,1003.28,33.79,52.5,27812.5,135.8,0.26,0.1,0.12,0.82,1443.33,14.8
2024-04-18 08:20:00,20240418082004,4,2024,4,18,8,20,0.16,1003.33,34.8,48.69,44160.62,169.8,0.0,0.0,0.27,-0.72,4564.2,20.86,0.0,1003.3,33.83,44.23,29038.33,75.84,-0.52,-0.05,0.04,-1.83,1225.83,-103.64,0.87,1003.37,36.53,51.01,73454.45,344.42,0.87,0.06,0.67,0.83,13766.82,88.47
2024-04-18 08:30:00,20240418083004,4,2024,4,18,8,30,0.23,1003.27,39.52,37.76,72974.51,353.54,0.04,-0.01,0.35,-0.84,-3531.94,-24.4,0.0,1003.21,37.28,34.71,38135.08,100.39,-0.61,-0.05,-0.51,-3.27,-37321.1,-358.14,0.61,1003.3,40.67,43.72,93559.69,546.13,0.61,0.03,0.79,1.37,15268.05,162.04
2024-04-18 08:40:00,20240418084004,4,2024,4,18,8,40,0.46,1003.17,37.48,40.31,25051.08,95.8,-0.04,-0.0,-0.37,0.77,-1850.42,-3.5,0.0,1003.11,36.35,36.41,19630.83,65.42,-0.78,-0.08,-0.71,0.02,-4566.75,-18.95,1.65,1003.24,39.31,43.47,33568.33,134.32,1.21,0.07,-0.12,1.1,-249.17,67.78
2024-04-18 08:50:00,20240418085004,4,2024,4,18,8,50,0.0,1003.3,35.79,44.75,21411.25,70.97,0.0,0.0,-0.09,0.21,78.0,0.64,0.0,1003.23,35.41,43.22,19651.67,55.03,0.0,-0.04,-0.23,-0.25,-3805.0,-19.12,0.0,1003.35,36.29,45.61,25068.33,89.19,0.0,0.07,-0.02,0.68,4079.16,25.07
2024-04-18 09:00:00,20240418090004,4,2024,4,18,9,0,0.1,1003.36,35.79,45.02,32026.82,163.64,0.0,0.02,0.07,-0.07,552.58,2.27,0.0,1003.23,35.28,43.85,21589.17,59.5,-0.44,-0.04,-0.12,-0.92,-13379.61,-374.89,0.44,1003.47,36.28,46.07,54612.5,605.52,0.44,0.08,0.43,0.66,23480.0,472.26
2024-04-18 09:10:00,20240418091004,4,2024,4,18,9,10,0.04,1003.48,35.08,46.79,14743.5,41.11,0.0,0.02,-0.22,0.47,-2274.83,-9.32,0.0,1003.41,33.91,44.7,3188.33,1.29,-0.44,-0.03,-0.34,-0.42,-6248.34,-37.89,0.44,1003.59,35.99,49.61,28183.33,109.75,0.44,0.09,-0.07,0.9,1182.5,10.31
2024-04-18 09:20:00,20240418092004,4,2024,4,18,9,20,1.31,1003.59,31.56,62.2,2073.42,0.62,0.3,0.0,-0.64,3.6,-73.25,-0.06,0.0,1003.49,27.5,50.33,1420.83,0.36,-2.44,-0.09,-1.85,0.54,-748.33,-0.58,5.05,1003.7,33.66,85.57,2455.83,0.84,3.31,0.21,-0.19,15.94,607.5,0.23
2024-04-18 09:30:00,20240418093004,4,2024,4,18,9,30,3.49,1003.88,25.58,89.19,2028.83,0.6,-0.1,0.05,-0.26,0.61,123.42,0.12,2.0,1003.69,24.89,85.87,1151.67,0.16,-1.31,-0.26,-0.54,-0.39,-626.66,-0.26,4.79,1004.12,26.98,91.65,3690.0,1.9,1.65,0.42,0.05,1.31,797.5,0.84
2024-04-18 09:40:00,20240418094004,4,2024,4,18,9,40,3.14,1004.06,24.83,92.26,9740.58,15.16,0.1,0.01,-0.02,0.08,170.42,0.21,2.61,1003.94,24.69,92.12,5279.17,3.69,-0.79,-0.09,-0.12,-0.1,-7403.34,-19.53,3.75,1004.25,24.93,92.47,14684.17,29.8,0.87,0.2,0.04,0.5,3065.84,10.24
2024-04-18 09:50:00,20240418095004,4,2024,4,18,9,50,3.22,1004.33,24.52,92.69,9474.92,22.24,-0.04,0.01,0.01,-0.01,1257.58,4.9,1.74,1004.24,24.36,92.37,2585.0,0.9,-2.96,-0.11,-0.11,-0.27,-1391.67,-13.24,4.79,1004.46,24.83,92.92,19361.67,66.3,1.57,0.13,0.22,0.2,5325.84,23.34
2024-04-18 10:00:00,20240418100004,4,2024,4,18,10,0,2.45,1004.32,24.74,92.56,11589.08,22.66,0.07,0.01,-0.05,0.03,-1117.5,-4.63,1.22,1004.22,24.36,92.39,6795.0,6.75,-1.66,-0.09,-0.17,-0.11,-4065.0,-17.48,3.75,1004.46,24.92,92.69,19830.0,61.06,2.09,0.08,0.05,0.15,1467.5,8.0
2024-04-18 10:10:00,20240418101004,4,2024,4,18,10,10,3.17,1004.52,24.32,92.77,12903.33,29.86,-0.09,0.01,0.03,-0.03,1500.67,6.69,0.7,1004.47,24.15,92.33,6917.5,6.82,-2.87,-0.06,-0.1,-0.46,122.5,0.07,4.88,1004.55,24.65,92.94,21801.67,73.63,1.65,0.09,0.17,0.28,3554.17,19.28
2024-04-18 10:20:00,20240418102004,4,2024,4,18,10,20,3.69,1004.58,24.46,92.06,16863.42,44.37,0.25,-0.01,-0.04,-0.08,-538.0,-3.11,1.92,1004.44,24.2,91.58,14748.33,34.62,-2.62,-0.18,-0.15,-0.41,-5852.5,-28.31,5.49,1004.64,24.71,92.46,20600.83,62.93,2.09,0.09,0.06,0.52,1946.66,9.55
2024-04-18 10:30:00,20240418103004,4,2024,4,18,10,30,2.81,1004.41,24.34,92.66,13626.25,30.62,-0.26,-0.01,0.03,0.15,-126.08,-0.85,1.31,1004.32,24.24,91.98,10506.67,21.81,-1.83,-0.09,-0.04,-0.5,-3509.16,-8.89,4.18,1004.55,24.47,93.1,16748.33,42.72,1.22,0.18,0.1,0.9,2599.16,9.64
2024-04-18 10:40:00,20240418104004,4,2024,4,18,10,40,3.04,1004.43,24.29,92.94,11758.5,22.0,0.18,0.01,-0.04,-0.03,-459.42,-1.57,0.44,1004.33,24.04,92.79,10164.17,16.77,-1.82,-0.09,-0.1,-0.31,-2880.83,-10.38,4.09,1004.5,24.55,93.19,14707.5,34.19,3.22,0.16,0.08,0.4,1520.0,4.62
2024-04-18 10:50:00,20240418105004,4,2024,4,18,10,50,3.63,1004.47,24.0,92.8,14750.58,33.28,-0.05,0.01,0.0,-0.02,551.42,2.24,2.44,1004.4,23.9,92.15,10832.5,17.02,-2.0,-0.04,-0.07,-0.51,-1224.17,-5.79,4.44,1004.52,24.07,93.21,17717.5,47.95,1.57,0.12,0.1,0.76,1856.66,7.47
2024-04-18 11:00:00,20240418110004,4,2024,4,18,11,0,3.62,1004.44,24.09,92.34,15154.58,35.97,0.04,-0.0,-0.0,-0.05,-479.08,-2.27,2.18,1004.39,24.0,91.65,11290.0,18.06,-1.39,-0.08,-0.06,-0.67,-2092.5,-9.15,4.7,1004.48,24.16,93.01,17701.67,48.38,1.39,0.05,0.09,1.05,1136.67,5.54
2024-04-18 11:10:00,20240418111004,4,2024,4,18,11,10,3.57,1004.43,23.99,92.2,10353.58,16.19,0.04,-0.02,-0.01,-0.01,-349.92,-0.97,2.7,1004.3,23.94,91.48,7790.83,8.37,-1.05,-0.1,-0.13,-0.79,-2670.83,-8.01,4.88,1004.56,24.07,93.0,13595.83,25.72,2.09,0.06,0.05,0.89,1993.33,4.66
2024-04-18 11:20:00,20240418112004,4,2024,4,18,11,20,2.82,1004.24,23.83,92.59,5657.92,4.77,-0.18,-0.01,-0.01,0.09,-192.5,-0.29,1.83,1004.15,23.77,91.88,4481.67,2.91,-1.48,-0.09,-0.06,-0.6,-1018.33,-1.67,3.75,1004.32,23.92,93.02,7045.0,6.7,0.96,0.08,0.03,1.14,865.83,1.18
2024-04-18 11:30:00,20240418113004,4,2024,4,18,11,30,1.98,1004.32,23.8,93.0,5379.25,4.31,0.07,0.02,-0.01,-0.01,-96.5,-0.21,0.87,1004.22,23.71,92.4,4330.0,2.9,-0.87,-0.01,-0.1,-1.12,-1066.67,-0.99,3.22,1004.43,23.87,93.52,5996.67,5.54,1.66,0.04,0.06,0.48,570.83,0.43
2024-04-18 11:40:00,20240418114004,4,2024,4,18,11,40,3.05,1004.34,23.71,92.55,6980.58,7.0,-0.08,-0.01,0.01,-0.03,343.25,0.64,1.92,1004.3,23.67,91.87,5229.17,3.64,-2.26,-0.06,-0.06,-0.99,-618.34,-1.26,4.7,1004.42,23.76,93.08,8333.33,9.74,2.78,0.04,0.07,0.73,1097.5,1.94
2024-04-18 11:50:00,20240418115004,4,2024,4,18,11,50,2.74,1004.26,23.82,92.32,8269.17,9.48,0.06,-0.0,0.0,-0.06,-242.5,-0.51,0.96,1004.19,23.73,91.67,5908.33,4.62,-2.44,-0.1,-0.08,-0.74,-1970.0,-3.35,3.83,1004.31,23.89,93.18,9560.83,12.58,1.92,0.09,0.1,1.02,585.0,1.45
2024-04-18 12:00:00,20240418120004,4,2024,4,18,12,0,3.54,1004.28,23.66,91.72,6480.58,5.62,-0.07,0.0,-0.02,0.04,80.42,0.15,2.35,1004.22,23.53,90.58,5545.0,4.09,-2.96,-0.07,-0.12,-1.13,-363.33,-0.53,6.18,1004.3,23.82,92.56,6950.0,6.21,1.91,0.08,0.03,1.23,704.17,0.93
2024-04-18 12:10:00,20240418121004,4,2024,4,18,12,10,3.36,1004.29,23.57,91.33,6993.58,6.54,0.1,0.0,0.0,-0.14,-10.17,-0.04,2.09,1004.25,23.53,90.66,6381.67,5.54,-1.57,-0.05,-0.05,-1.03,-589.17,-1.1,4.53,1004.34,23.61,92.12,7466.67,7.68,1.39,0.06,0.03,0.64,691.66,0.65
2024-04-18 12:20:00,20240418122004,4,2024,4,18,12,20,3.07,1004.32,23.57,91.15,4873.92,3.11,0.04,0.01,-0.01,-0.12,-194.83,-0.29,1.48,1004.29,23.5,89.68,3808.33,1.89,-1.39,-0.08,-0.06,-2.06,-909.16,-1.1,4.01,1004.38,23.61,92.07,5841.67,4.6,1.31,0.08,0.03,1.28,453.33,0.43
2024-04-18 12:30:00,20240418123004,4,2024,4,18,12,30,4.03,1004.39,23.3,90.59,4540.92,2.62,0.15,0.0,-0.04,0.13,52.5,0.08,2.35,1004.32,23.14,89.64,3962.5,1.91,-1.92,-0.16,-0.08,-1.28,-400.84,-0.38,5.31,1004.52,23.47,91.15,5187.5,3.62,1.56,0.09,-0.01,1.44,620.0,0.7
2024-04-18 12:40:00,20240418124004,4,2024,4,18,12,40,3.7,1004.44,23.02,91.5,4528.67,2.6,-0.05,0.02,-0.03,0.04,-86.83,-0.11,2.0,1004.36,22.86,91.16,4195.0,2.16,-3.31,-0.15,-0.06,-0.6,-443.33,-0.41,6.71,1004.55,23.12,91.97,4998.33,3.26,2.7,0.16,0.0,0.69,280.0,0.29
2024-04-18 12:50:00,20240418125004,4,2024,4,18,12,50,3.97,1004.34,22.77,91.54,5613.84,4.35,-0.02,-0.03,-0.02,-0.03,152.83,0.2,3.05,1004.27,22.65,91.02,4400.0,2.63,-2.09,-0.18,-0.07,-1.09,-349.16,-0.67,5.4,1004.4,22.82,92.18,6254.17,5.53,1.74,0.07,0.02,0.61,665.0,0.86
2024-04-18 13:00:00,20240418130004,4,2024,4,18,13,0,4.34,1004.44,22.6,91.03,5184.5,3.66,-0.01,0.02,-0.0,0.01,-80.33,-0.1,3.4,1004.29,22.57,90.36,4557.5,2.94,-1.22,-0.07,-0.03,-1.25,-588.33,-0.73,6.01,1004.55,22.65,91.61,5843.33,4.54,2.61,0.11,0.02,1.13,378.34,0.32
2024-04-18 13:10:00,20240418131004,4,2024,4,18,13,10,2.86,1004.54,22.6,91.79,4932.25,3.27,-0.31,0.01,0.0,0.1,39.0,0.06,1.39,1004.48,22.58,91.51,4575.0,2.9,-1.4,-0.09,-0.01,-0.28,-232.5,-0.28,4.01,1004.67,22.63,92.18,5434.17,4.09,0.96,0.15,0.03,0.33,415.84,0.56
2024-04-18 13:20:00,20240418132004,4,2024,4,18,13,20,3.6,1004.58,22.56,91.28,6686.67,6.5,0.2,0.0,-0.01,-0.09,273.5,0.56,3.14,1004.46,22.52,90.86,5224.17,4.1,-0.96,-0.13,-0.03,-0.54,-213.33,-0.07,4.53,1004.66,22.61,91.64,8169.17,9.72,2.09,0.16,0.02,0.41,950.0,1.26
2024-04-18 13:30:00,20240418133004,4,2024,4,18,13,30,3.09,1004.6,22.56,91.31,8738.0,11.59,0.17,-0.0,0.0,-0.01,199.67,0.54,1.57,1004.53,22.53,90.29,7888.33,10.36,-2.18,-0.13,-0.04,-0.95,-1138.34,-1.65,5.14,1004.66,22.61,91.83,10165.83,15.12,2.35,0.07,0.04,0.89,1546.66,4.05
2024-04-18 13:40:00,20240418134004,4,2024,4,18,13,40,2.13,1004.61,22.64,91.84,10083.17,15.73,-0.36,0.01,0.02,0.13,-164.67,-0.48,0.87,1004.54,22.54,91.12,8325.83,9.63,-2.61,-0.11,-0.02,-0.71,-2226.66,-5.71,3.92,1004.71,22.72,92.51,12485.83,23.72,1.57,0.11,0.09,0.66,1728.33,3.96
2024-04-18 13:50:00,20240418135004,4,2024,4,18,13,50,0.92,1004.63,22.8,92.61,6939.58,7.6,0.03,-0.02,0.01,0.01,166.0,0.22,0.35,1004.49,22.75,92.24,5586.67,5.53,-0.61,-0.09,-0.02,-0.71,-1421.67,-2.27,1.83,1004.72,22.85,92.95,10179.17,12.51,1.13,0.04,0.06,0.31,2759.17,4.71
2024-04-18 14:00:00,20240418140004,4,2024,4,18,14,0,1.65,1004.65,22.8,92.43,8021.67,10.1,-0.1,0.02,-0.01,0.03,-525.75,-0.79,0.0,1004.55,22.75,91.97,4921.67,4.64,-1.74,-0.08,-0.09,-0.57,-2369.17,-5.61,3.57,1004.75,22.88,92.93,11251.67,17.71,2.09,0.1,0.05,0.7,1072.5,5.2
2024-04-18 14:10:00,20240418141004,4,2024,4,18,14,10,1.54,1004.79,22.63,92.85,6904.92,7.23,-0.06,0.01,-0.01,0.02,462.5,0.65,0.26,1004.74,22.56,92.2,5271.67,4.5,-1.05,-0.03,-0.12,-0.8,-592.5,-0.89,3.14,1004.86,22.79,93.25,9546.67,11.1,1.05,0.06,0.05,0.37,1230.0,1.95
2024-04-18 14:20:00,20240418142004,4,2024,4,18,14,20,1.61,1004.86,22.66,92.87,8039.59,10.35,0.23,0.0,-0.0,-0.02,-215.75,-0.22,0.17,1004.83,22.63,92.4,6205.0,6.03,-2.44,-0.07,-0.07,-0.33,-2765.0,-3.85,2.61,1004.92,22.7,93.12,10316.67,15.12,2.09,0.07,0.04,0.38,2779.17,4.53
2024-04-18 14:30:00,20240418143004,4,2024,4,18,14,30,0.84,1004.86,22.88,92.82,9740.75,15.22,-0.24,-0.0,0.04,-0.04,158.83,0.54,0.0,1004.83,22.68,92.14,8675.83,11.07,-1.21,-0.05,-0.05,-0.9,-1939.17,-5.66,1.65,1004.89,23.1,93.12,11258.33,19.98,1.13,0.04,0.09,0.72,2073.33,5.25
2024-04-18 14:40:00,20240418144004,4,2024,4,18,14,40,1.52,1004.86,23.03,92.49,8866.42,13.68,0.13,0.0,-0.01,-0.06,78.67,0.18,0.7,1004.82,22.95,92.05,7490.83,10.42,-2.0,-0.03,-0.09,-0.86,-1324.17,-4.04,2.7,1004.9,23.14,93.03,10580.83,17.83,2.0,0.07,0.04,0.47,2111.66,5.03
