"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1005.0","1007.2","25.7","24.7","94","2.1","250","3.2","260","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1004.8","1007.0","25.8","24.9","95","4.3","240","7.2","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1004.8","1007.0","25.7","24.8","95","3.5","240","7.9","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1005.1","1007.3","25.5","24.6","95","2.7","250","4.8","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1005.5","1007.7","25.6","24.6","94","2.5","240","5.1","240","0.0","0.0","--","0.00","--","0","--","26.2","26.3","26.8","27.3","28.3","29.3","29.2"
"06","1005.9","1008.1","25.6","24.7","95","1.8","240","3.0","250","0.0","0.0","0.3","0.07","--","0","--","--","--","--","--","--","--","--"
"07","1006.4","1008.6","26.5","25.5","94","2.3","240","3.4","230","0.0","0.0","1.0","0.66","--","0","--","--","--","--","--","--","--","--"
"08","1006.7","1008.9","27.7","25.5","88","2.1","180","3.3","200","0.0","0.0","1.0","1.46","20.0","2","2.0","--","--","--","--","--","--","--"
"09","1006.6","1008.8","27.8","24.2","81","2.3","170","3.5","170","0.0","0.0","1.0","2.24","20.0","5","4.0","26.9","26.6","26.9","27.0","28.0","29.1","29.3"
"10","1006.6","1008.8","28.7","25.5","83","2.6","140","5.3","170","0.0","0.0","1.0","2.91","--","9","--","--","--","--","--","--","--","--"
"11","1006.6","1008.8","29.4","25.8","81","3.4","140","5.4","180","0.0","0.0","1.0","3.35","25.0","12","2.0","--","--","--","--","--","--","--"
"12","1006.4","1008.6","29.7","26.1","81","3.5","140","8.4","170","0.0","0.0","1.0","3.66","--","15","--","--","--","--","--","--","--","--"
"13","1006.0","1008.2","30.2","26.6","81","2.9","140","6.2","140","0.0","0.0","1.0","3.70","--","15","--","--","--","--","--","--","--","--"
"14","1005.7","1007.9","29.8","26.4","82","4.6","160","8.0","180","0.0","0.0","1.0","3.36","20.0","13","3.0","31.2","31.0","30.3","28.4","28.3","29.2","29.3"
"15","1006.0","1008.2","30.5","26.9","81","3.3","130","7.7","160","0.0","0.0","1.0","2.92","--","9","--","--","--","--","--","--","--","--"
"16","1006.0","1008.2","29.5","26.9","86","2.5","130","6.5","180","0.0","0.0","0.6","1.59","--","5","--","--","--","--","--","--","--","--"
"17","1006.0","1008.2","28.9","26.3","86","1.1","130","3.9","120","0.0","0.0","0.6","0.81","18.0","2","4.0","--","--","--","--","--","--","--"
"18","1006.4","1008.6","28.6","26.2","87","1.6","140","3.7","180","0.0","0.0","0.3","0.29","--","0","--","--","--","--","--","--","--","--"
"19","1006.9","1009.1","28.6","25.8","85","2.0","190","3.8","200","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"20","1007.5","1009.7","29.0","26.2","85","2.7","210","4.4","200","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1007.9","1010.1","28.2","25.8","87","1.9","210","4.4","230","0.0","0.0","--","0.00","--","0","--","29.2","29.6","30.2","30.2","30.1","30.0","29.3"
"22","1008.0","1010.2","27.8","25.4","87","1.5","240","4.5","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1007.8","1010.0","27.8","24.7","83","1.4","310","2.6","310","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1007.1","1009.3","27.0","24.8","88","1.4","250","3.0","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
