"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1014.3","1016.5","22.8","19.0","79","1.4","310","4.1","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1014.0","1016.2","22.4","18.8","80","1.6","340","3.2","260","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1013.9","1016.1","22.1","13.5","58","2.1","40","4.8","80","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1014.4","1016.6","23.4","14.7","58","4.8","50","8.8","60","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1014.6","1016.8","23.3","14.3","57","5.2","50","10.3","40","0.0","0.0","--","0.00","--","0","--","22.6","23.5","24.2","25.2","26.2","27.0","26.4"
"06","1015.7","1017.9","22.6","14.7","61","2.5","340","10.9","40","0.0","0.0","0.3","0.13","--","0","--","--","--","--","--","--","--","--"
"07","1016.7","1018.9","24.0","14.4","55","1.9","350","4.9","340","0.0","0.0","0.9","0.71","--","0","--","--","--","--","--","--","--","--"
"08","1016.5","1018.7","25.2","12.8","46","2.5","40","8.3","80","0.0","0.0","0.7","1.31","20.0","2","6.0","--","--","--","--","--","--","--"
"09","1016.5","1018.7","25.9","14.4","49","2.0","40","8.9","20","0.0","0.0","1.0","2.20","15.0","4","7.0","23.5","23.6","23.9","24.5","25.7","26.9","26.5"
"10","1016.0","1018.2","26.4","17.5","58","6.8","50","12.3","60","0.0","0.0","1.0","2.90","--","6","--","--","--","--","--","--","--","--"
"11","1015.7","1017.9","26.0","17.7","60","8.1","50","12.9","40","0.0","0.0","1.0","3.46","15.0","9","6.0","--","--","--","--","--","--","--"
"12","1015.5","1017.7","25.8","16.9","58","7.0","50","10.8","40","0.0","0.0","0.9","3.41","--","9","--","--","--","--","--","--","--","--"
"13","1015.0","1017.2","25.4","17.1","60","5.5","50","10.7","60","0.0","0.0","0.5","2.49","--","8","--","--","--","--","--","--","--","--"
"14","1014.5","1016.7","25.6","16.8","58","4.7","40","10.4","70","0.0","0.0","0.4","2.33","15.0","6","7.0","26.2","26.1","26.3","25.5","25.8","26.8","26.5"
"15","1014.1","1016.3","24.8","17.3","63","4.4","40","8.9","50","0.0","0.0","0.1","1.30","--","3","--","--","--","--","--","--","--","--"
"16","1013.4","1015.6","24.4","17.4","65","4.8","40","8.2","30","0.0","0.0","0.0","0.71","--","1","--","--","--","--","--","--","--","--"
"17","1013.7","1015.9","24.2","17.2","65","3.7","30","7.7","20","0.0","0.0","0.0","0.52","15.0","1","9.0","--","--","--","--","--","--","--"
"18","1013.6","1015.8","24.0","17.3","66","2.3","30","5.4","40","0.0","0.0","0.0","0.18","--","0","--","--","--","--","--","--","--","--"
"19","1014.0","1016.2","23.8","17.1","66","1.8","360","4.2","50","0.0","0.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"20","1014.3","1016.5","23.8","16.8","65","1.6","340","3.0","330","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1014.5","1016.7","23.5","16.8","66","1.9","270","3.3","310","0.0","0.0","--","0.00","--","0","--","24.6","25.4","26.1","26.7","26.9","27.3","26.5"
"22","1014.3","1016.5","22.7","17.2","71","2.7","250","3.6","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1013.9","1016.1","22.3","17.2","73","2.2","250","4.9","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1013.0","1015.2","21.7","17.3","76","2.4","250","4.5","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
