"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1015.3","1017.6","16.6","15.1","91","2.0","260","5.2","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1014.8","1017.1","16.7","14.7","88","2.8","250","5.0","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1014.0","1016.3","16.0","14.4","90","1.8","250","4.9","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1013.7","1016.0","15.5","14.0","91","1.8","240","4.1","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1013.9","1016.2","15.6","14.0","90","4.2","240","6.0","240","0.0","0.0","--","0.00","--","0","--","16.6","17.2","17.8","18.5","19.4","20.0","21.2"
"06","1014.3","1016.6","15.4","13.8","90","4.5","240","7.0","240","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1014.8","1017.1","15.7","13.7","88","3.9","250","7.1","250","0.0","0.0","0.4","0.13","--","0","--","--","--","--","--","--","--","--"
"08","1014.9","1017.2","17.8","14.7","82","4.5","240","6.6","240","0.0","0.0","1.0","0.81","20.0","1","3.0","--","--","--","--","--","--","--"
"09","1014.7","1017.0","20.5","14.6","69","4.5","240","6.8","230","0.0","0.0","1.0","1.72","20.0","2","2.0","17.1","16.9","17.3","17.9","19.1","19.9","21.2"
"10","1014.3","1016.5","22.8","15.4","63","3.3","200","6.2","230","0.0","0.0","1.0","2.50","--","4","--","--","--","--","--","--","--","--"
"11","1013.5","1015.7","23.3","16.1","64","5.7","180","8.7","170","0.0","0.0","1.0","3.06","20.0","6","2.0","--","--","--","--","--","--","--"
"12","1012.1","1014.3","23.8","17.3","67","6.1","180","10.2","170","0.0","0.0","1.0","3.37","--","8","--","--","--","--","--","--","--","--"
"13","1010.9","1013.1","24.0","18.2","70","8.4","170","11.4","180","0.0","0.0","1.0","3.41","--","8","--","--","--","--","--","--","--","--"
"14","1010.0","1012.2","24.4","18.6","70","9.0","170","11.9","170","0.0","0.0","1.0","3.11","20.0","7","2.0","22.2","21.0","20.5","18.9","19.2","20.0","21.2"
"15","1009.6","1011.8","24.5","18.9","71","6.5","180","13.3","180","0.0","0.0","1.0","2.57","--","4","--","--","--","--","--","--","--","--"
"16","1009.7","1011.9","23.8","17.8","69","5.9","180","10.6","180","0.0","0.0","0.8","1.43","--","2","--","--","--","--","--","--","--","--"
"17","1010.1","1012.3","23.7","18.6","73","5.2","170","10.2","190","0.0","0.0","0.4","0.59","20.0","1","8.0","--","--","--","--","--","--","--"
"18","1010.0","1012.2","23.3","18.6","75","5.4","190","9.9","170","0.0","0.0","0.0","0.10","--","0","--","--","--","--","--","--","--","--"
"19","1010.1","1012.3","23.1","18.7","76","2.9","210","6.7","210","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1010.2","1012.4","22.5","18.5","78","1.0","190","3.2","210","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1010.5","1012.7","21.8","18.0","79","1.7","280","8.0","180","0.0","0.0","--","0.00","--","0","--","20.8","21.0","21.4","21.0","20.9","20.6","21.2"
"22","1010.4","1012.6","21.1","18.1","83","2.9","230","3.7","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1010.4","1012.6","20.7","17.7","83","1.1","240","5.2","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1010.3","1012.5","21.0","17.8","82","2.0","280","3.8","260","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
