"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1018.1","1020.4","18.0","15.6","86","1.6","250","4.5","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1017.6","1019.9","17.4","15.4","88","4.5","240","6.2","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1016.8","1019.1","17.2","15.4","89","4.6","230","7.1","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1016.8","1019.1","16.9","15.3","90","3.3","240","6.9","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1017.2","1019.5","17.1","15.3","89","3.4","260","6.5","230","0.0","0.0","--","0.00","--","0","--","17.1","17.5","18.0","18.5","19.4","20.1","20.6"
"06","1017.6","1019.9","17.0","14.8","87","3.9","240","7.0","230","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1018.1","1020.4","17.2","15.2","88","4.9","240","7.1","230","0.0","0.0","0.5","0.20","--","0","--","--","--","--","--","--","--","--"
"08","1018.6","1020.9","19.8","15.9","78","3.3","240","7.6","220","0.0","0.0","0.9","0.93","20.0","1","7.0","--","--","--","--","--","--","--"
"09","1018.8","1021.1","22.3","16.4","69","1.5","260","4.3","230","0.0","0.0","0.7","1.45","20.0","2","5.0","18.1","17.6","17.8","18.0","19.1","20.0","20.6"
"10","1018.6","1020.8","24.3","17.1","64","2.0","180","4.1","220","0.0","0.0","0.8","2.30","--","5","--","--","--","--","--","--","--","--"
"11","1018.0","1020.2","24.9","18.6","68","2.0","140","4.0","170","0.0","0.0","0.8","2.64","20.0","7","3.0","--","--","--","--","--","--","--"
"12","1017.3","1019.5","25.0","18.9","69","2.7","150","4.6","160","0.0","0.0","0.6","2.62","--","8","--","--","--","--","--","--","--","--"
"13","1016.3","1018.5","25.2","19.6","71","2.9","140","4.8","130","0.0","0.0","1.0","3.34","--","9","--","--","--","--","--","--","--","--"
"14","1015.5","1017.7","25.4","20.7","75","2.6","140","6.0","140","0.0","0.0","1.0","2.94","18.0","8","3.0","23.3","21.6","21.1","19.3","19.3","20.0","20.7"
"15","1014.9","1017.1","24.9","20.6","77","3.1","140","4.9","150","0.0","0.0","1.0","2.33","--","5","--","--","--","--","--","--","--","--"
"16","1014.8","1017.0","24.1","19.8","77","2.6","160","4.6","140","0.0","0.0","0.6","1.25","--","2","--","--","--","--","--","--","--","--"
"17","1014.9","1017.1","23.6","20.0","80","2.3","140","3.6","160","0.0","0.0","0.0","0.33","15.0","1","9.0","--","--","--","--","--","--","--"
"18","1015.3","1017.5","23.2","19.8","81","0.9","160","2.8","140","0.0","0.0","0.0","0.10","--","0","--","--","--","--","--","--","--","--"
"19","1015.6","1017.8","23.2","19.6","80","1.3","340","2.4","340","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1016.2","1018.4","23.1","18.9","77","1.8","320","3.3","310","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1016.5","1018.7","23.0","18.6","76","1.0","300","3.1","300","0.0","0.0","--","0.00","--","0","--","21.8","21.9","22.2","21.8","21.2","20.8","20.7"
"22","1016.3","1018.5","22.4","19.2","82","2.2","240","3.2","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1016.0","1018.3","21.8","19.4","86","1.9","270","3.1","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1015.8","1018.1","21.1","18.9","87","1.8","280","3.0","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
