"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1014.7","1017.0","17.2","13.9","81","3.7","240","6.0","260","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1014.3","1016.6","17.2","14.1","82","3.1","250","5.7","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1014.0","1016.3","16.8","13.7","82","3.9","240","5.6","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1013.7","1016.0","16.5","13.8","84","3.4","250","5.8","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1013.9","1016.2","16.5","13.6","83","3.5","250","6.0","250","0.0","0.0","--","0.00","--","0","--","16.7","17.6","18.4","19.2","20.3","20.9","22.2"
"06","1014.5","1016.8","16.2","13.7","85","3.7","250","5.9","250","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1015.4","1017.7","17.1","14.0","82","3.4","250","6.2","240","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"08","1016.2","1018.5","17.9","14.0","78","3.3","240","6.4","240","0.0","0.0","0.0","0.21","15.0","0","7.0","--","--","--","--","--","--","--"
"09","1016.6","1018.9","19.2","14.5","74","1.6","260","4.6","240","0.0","0.0","0.1","0.63","15.0","1","4.0","17.6","17.6","18.1","18.6","19.9","20.8","22.2"
"10","1016.2","1018.5","20.6","15.6","73","1.9","230","3.0","250","0.0","0.0","0.0","0.77","--","2","--","--","--","--","--","--","--","--"
"11","1015.7","1017.9","22.8","16.6","68","2.9","70","5.7","80","0.0","0.0","0.3","1.56","15.0","3","6.0","--","--","--","--","--","--","--"
"12","1015.1","1017.3","22.2","16.3","69","6.5","60","10.3","80","0.0","0.0","0.1","1.26","--","3","--","--","--","--","--","--","--","--"
"13","1014.6","1016.9","20.5","15.9","75","8.3","60","14.3","60","0.0","0.0","0.0","0.59","--","2","--","--","--","--","--","--","--","--"
"14","1014.7","1017.0","19.4","14.5","73","8.4","50","18.0","30","0.0","0.0","0.0","0.29","15.0","1","10.0","19.0","19.2","19.6","19.2","19.9","20.7","22.2"
"15","1015.1","1017.4","18.8","13.9","73","10.2","50","16.8","30","0.0","0.0","0.0","0.22","--","1","--","--","--","--","--","--","--","--"
"16","1015.9","1018.2","18.5","13.6","73","7.9","50","15.2","40","0.0","0.0","0.0","0.14","--","0","--","--","--","--","--","--","--","--"
"17","1017.0","1019.3","18.0","13.1","73","7.6","60","15.1","60","0.0","0.0","0.0","0.03","10.0","0","10.0","--","--","--","--","--","--","--"
"18","1017.9","1020.2","17.6","12.5","72","8.7","60","14.7","50","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"19","1018.6","1020.9","17.4","11.9","70","7.1","60","14.0","50","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1019.1","1021.4","17.5","12.0","70","6.0","50","13.9","80","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1019.9","1022.2","17.1","10.9","67","6.3","50","14.1","40","0.0","0.0","--","0.00","--","0","--","17.0","17.9","18.6","19.1","20.0","20.7","22.2"
"22","1020.0","1022.3","17.1","10.3","64","6.0","40","13.5","40","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1020.3","1022.6","16.8","8.3","57","8.6","50","14.9","60","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1020.4","1022.7","16.9","8.1","56","7.3","50","15.6","60","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
