"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1018.9","1021.2","16.6","11.3","71","3.0","230","4.9","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1018.3","1020.6","16.6","10.5","67","3.1","240","5.6","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1017.8","1020.1","15.5","9.4","67","3.7","240","5.6","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1017.9","1020.2","15.7","10.0","69","4.5","240","6.7","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1018.0","1020.3","15.5","9.2","66","3.7","240","6.1","230","0.0","0.0","--","0.00","--","0","--","15.8","16.6","17.4","18.1","19.3","20.3","22.0"
"06","1018.7","1021.0","15.9","9.8","67","5.5","240","8.2","240","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"07","1019.0","1021.3","15.4","9.8","69","4.9","240","8.2","250","0.0","0.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"08","1019.5","1021.8","16.4","10.7","69","5.3","240","7.7","230","0.0","0.0","1.0","0.48","15.0","0","4.0","--","--","--","--","--","--","--"
"09","1019.9","1022.2","18.5","11.1","62","4.8","240","7.5","240","0.0","0.0","1.0","1.26","15.0","1","2.0","15.9","16.2","16.9","17.6","19.0","20.1","22.0"
"10","1019.4","1021.7","20.5","12.5","60","3.4","230","6.3","220","0.0","0.0","1.0","1.99","--","3","--","--","--","--","--","--","--","--"
"11","1018.5","1020.7","22.8","12.5","52","2.4","230","5.3","220","0.0","0.0","1.0","2.49","15.0","5","2.0","--","--","--","--","--","--","--"
"12","1017.3","1019.5","23.4","12.4","50","2.4","170","4.4","170","0.0","0.0","1.0","2.76","--","6","--","--","--","--","--","--","--","--"
"13","1016.3","1018.5","22.9","12.8","53","2.4","130","4.2","150","0.0","0.0","0.8","2.56","--","5","--","--","--","--","--","--","--","--"
"14","1015.8","1018.0","22.3","13.1","56","2.8","120","4.5","130","0.0","0.0","0.0","1.22","15.0","3","7.0","20.1","19.3","19.2","18.4","19.0","20.0","22.0"
"15","1015.7","1017.9","22.2","13.0","56","1.5","110","3.7","130","0.0","0.0","0.0","0.75","--","2","--","--","--","--","--","--","--","--"
"16","1016.4","1018.7","21.8","12.7","56","0.6","130","3.0","90","0.0","0.0","0.0","0.34","--","1","--","--","--","--","--","--","--","--"
"17","1016.7","1019.0","21.4","13.3","60","0.5","190","2.2","190","0.0","0.0","0.0","0.14","12.0","0","5.0","--","--","--","--","--","--","--"
"18","1017.6","1019.9","20.1","13.8","67","1.7","300","3.4","300","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"19","1018.1","1020.4","19.2","12.9","67","2.3","310","3.7","310","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1018.6","1020.9","19.1","12.8","67","2.5","300","3.6","300","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1018.7","1021.0","17.8","13.5","76","1.9","270","4.0","300","0.0","0.0","--","0.00","--","0","--","17.8","18.6","19.2","19.7","20.1","20.4","21.9"
"22","1018.7","1021.0","17.4","13.7","79","1.6","260","3.1","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1018.7","1021.0","16.6","13.1","80","3.4","240","4.8","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1018.5","1020.8","16.8","12.2","74","2.6","240","4.8","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
