"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1007.2","1009.4","25.1","21.4","80","1.3","300","2.6","250","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1006.6","1008.8","24.8","20.9","79","1.3","280","3.5","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1006.4","1008.6","24.5","21.0","81","0.7","240","2.6","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1007.0","1009.2","24.6","21.3","82","1.5","250","3.1","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1007.2","1009.4","24.4","21.3","83","1.1","330","3.4","260","0.0","0.0","--","0.00","--","0","--","24.4","24.6","25.1","25.3","26.1","26.8","26.4"
"06","1007.2","1009.4","24.3","21.4","84","1.9","250","3.4","260","0.0","0.0","0.0","0.05","--","0","--","--","--","--","--","--","--","--"
"07","1007.4","1009.6","24.8","22.1","85","2.7","240","4.4","230","0.0","0.0","0.1","0.26","--","0","--","--","--","--","--","--","--","--"
"08","1007.2","1009.4","27.8","22.3","72","2.4","240","3.7","240","0.0","0.0","0.8","1.27","20.0","1","5.0","--","--","--","--","--","--","--"
"09","1007.6","1009.8","29.5","22.7","67","1.1","150","4.6","230","0.0","0.0","1.0","2.17","20.0","4","6.0","26.1","25.1","25.1","25.0","25.9","26.7","26.4"
"10","1007.2","1009.4","31.0","20.6","54","3.1","50","5.1","80","0.0","0.0","1.0","2.83","--","6","--","--","--","--","--","--","--","--"
"11","1006.8","1009.0","30.6","21.4","58","3.4","80","5.9","80","0.0","0.0","1.0","3.37","20.0","9","3.0","--","--","--","--","--","--","--"
"12","1006.3","1008.5","30.9","22.8","62","3.8","80","7.0","100","0.0","0.0","1.0","3.41","--","10","--","--","--","--","--","--","--","--"
"13","1005.4","1007.6","31.2","24.9","69","3.6","60","7.2","40","0.0","0.0","1.0","3.48","--","9","--","--","--","--","--","--","--","--"
"14","1004.8","1007.0","31.1","23.8","65","3.2","50","6.4","70","0.0","0.0","1.0","3.05","20.0","7","3.0","31.7","30.5","29.3","26.7","26.3","26.8","26.4"
"15","1004.3","1006.5","30.4","24.3","70","3.0","40","6.8","40","0.0","0.0","1.0","2.40","--","5","--","--","--","--","--","--","--","--"
"16","1004.4","1006.6","29.9","24.5","73","3.1","40","6.1","20","0.0","0.0","1.0","1.68","--","2","--","--","--","--","--","--","--","--"
"17","1004.3","1006.5","29.5","24.4","74","3.8","30","6.3","30","0.0","0.0","1.0","1.10","18.0","1","5.0","--","--","--","--","--","--","--"
"18","1004.7","1006.9","28.4","24.8","81","3.3","30","7.0","20","0.0","0.0","0.4","0.34","--","0","--","--","--","--","--","--","--","--"
"19","1005.1","1007.3","27.6","25.2","87","2.1","30","6.4","30","0.0","0.0","0.0","0.01","--","0","--","--","--","--","--","--","--","--"
"20","1005.7","1007.9","27.3","25.1","88","1.5","340","4.4","30","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1006.4","1008.6","27.6","24.3","82","1.2","310","3.4","350","0.0","0.0","--","0.00","--","0","--","28.2","28.8","29.5","29.2","28.5","27.8","26.4"
"22","1006.4","1008.6","26.7","23.6","83","0.5","240","2.3","300","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1006.3","1008.5","26.6","21.6","74","2.0","310","3.1","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1005.7","1007.9","25.9","22.0","79","1.6","240","3.0","300","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
