SeqNumber,Device_ID,Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Std_Avg_WindSpeed(m/s),Std_Avg_Pressure(hpa),Std_Avg_Temperature(°C),Std_Avg_Humidity(%),Std_Avg_Sunlight(Lux),Std_Avg_Power(mW),Std_Min_WindSpeed(m/s),Std_Min_Pressure(hpa),Std_Min_Temperature(°C),Std_Min_Humidity(%),Std_Min_Sunlight(Lux),Std_Min_Power(mW),Std_Max_WindSpeed(m/s),Std_Max_Pressure(hpa),Std_Max_Temperature(°C),Std_Max_Humidity(%),Std_Max_Sunlight(Lux),Std_Max_Power(mW)
20240418051004,4,2024,4,18,5,10,0.0,1001.67,24.77,83.44,30.0,0.0,0.0,1001.65,24.76,83.34,23.33,0.0,0.0,1001.7,24.78,83.5,37.5,0.0,-0.6167555649031445,-1.0737724274204508,-1.208886639385671,0.8394250764291469,-0.930651499025903,-0.7485944531258926,-0.4788324524015088,-1.0568369855936024,-1.186361396247535,0.8782466017850167,-0.8821192546285438,-0.6550127144919432,-0.6766670867880662,-1.087063703647779,-1.2305762417375092,0.7982476492303949,-0.9587056036823445,-0.784262323862333
20240418052004,4,2024,4,18,5,20,0.0,1001.7,24.8,83.3,147.75,0.01,0.0,1001.67,24.77,83.04,46.67,0.0,0.0,1001.72,24.82,83.49,306.67,0.04,-0.6167555649031445,-1.0635449405120252,-1.20565165529297,0.8345088953682179,-0.9272206007287935,-0.7485742995497942,-0.4788324524015088,-1.050032370463748,-1.185255811303207,0.8678020229492478,-0.8813703716467242,-0.6550127144919432,-0.6766670867880662,-1.08023304105823,-1.226367835160291,0.7978937440605184,-0.9516023879011485,-0.7841945750626111
20240418053004,4,2024,4,18,5,30,0.11,1001.53,24.77,82.72,621.08,0.13,0.0,1001.39,24.76,81.48,351.67,0.04,1.13,1001.67,24.79,83.44,952.5,0.23,-0.5026130678003874,-1.1215006996596277,-1.208886639385671,0.8141418595443694,-0.9134291180029267,-0.7483324566366134,-0.4788324524015088,-1.1452969822817873,-1.186361396247535,0.8134902130032493,-0.8715841972913257,-0.6549216495726949,0.13319491885667858,-1.0973096975321417,-1.2295241400932049,0.796124218211137,-0.9345593673269025,-0.7838727682639322
20240418054004,4,2024,4,18,5,40,0.38,1001.23,24.91,81.0,2054.75,1.19,0.0,1001.11,24.82,80.4,1076.67,0.31,1.22,1001.35,25.05,81.49,3350.83,2.85,-0.22244512036634717,-1.223775568743573,-1.193790046953067,0.7537430636529562,-0.8716560737429107,-0.7461961775701834,-0.4788324524015088,-1.2405615940998267,-1.1797278865815648,0.7758897291944813,-0.8483219795612802,-0.6543069613677697,0.1976972024921008,-1.206600298965006,-1.2021694973412853,0.7271127100852561,-0.8712690470664138,-0.7794352218821492
20240418055004,4,2024,4,18,5,50,0.25,1000.97,25.42,79.03,5798.0,8.12,0.0,1000.85,25.11,77.68,3760.83,3.56,0.96,1001.07,25.78,80.04,8348.33,14.42,-0.35734079876051467,-1.3124137886163356,-1.1387953173771526,0.6845653730098842,-0.7625884724634632,-0.7322297493339951,-0.4788324524015088,-1.3290215907880119,-1.1476659231960413,0.6811922144168431,-0.7621985115029641,-0.6469079366788539,0.011357271989770105,-1.302229575218772,-1.1253660773070497,0.6757964604531914,-0.7393883736387404,-0.7598388815625959
20240418060004,4,2024,4,18,6,00,0.16,1000.95,26.18,76.48,9609.58,18.21,0.0,1000.86,25.87,75.45,8839.17,15.91,0.7,1001.08,26.56,77.69,9874.17,19.48,-0.4507301145718614,-1.319232113221927,-1.0568423870287313,0.5950206465429637,-0.6515299303717738,-0.7118947910507136,-0.4788324524015088,-1.3256192832230846,-1.0636414674270829,0.6035541784042939,-0.5992558207619993,-0.618791642860974,-0.1749826585125606,-1.2988142439239976,-1.0433021490512917,0.592628745532258,-0.6991224793430164,-0.7512686583977785
20240418061004,4,2024,4,18,6,10,0.0,1001.03,27.14,72.03,10056.33,19.47,0.0,1000.99,26.73,70.64,9855.83,18.45,0.0,1001.08,27.38,74.89,10162.5,20.75,-0.6167555649031445,-1.2919588147995622,-0.9533228960623042,0.4387563199634354,-0.6385129128411271,-0.7093554404623157,-0.4788324524015088,-1.281389284878992,-0.9685611622148407,0.4360927644041321,-0.5666354534827881,-0.6130090204887138,-0.6766670867880662,-1.2988142439239976,-0.9570298142183148,0.49353529796689094,-0.6915136440114703,-0.7491176340066088
20240418062004,4,2024,4,18,6,20,0.61,1001.06,27.31,70.34,11480.08,23.26,0.0,1000.95,27.26,68.18,10160.83,18.48,1.22,1001.13,27.43,71.44,12832.5,31.62,0.016216464484872267,-1.2817313278911753,-0.9349913195369998,0.3794109914422214,-0.5970289090151435,-0.7017172351210237,-0.4788324524015088,-1.294998515138701,-0.9099651601654354,0.3504472179508271,-0.5568492791273896,-0.6129407217992775,0.1976972024921008,-1.2817375874501247,-0.9517693059967918,0.3714380143595635,-0.6210541346464102,-0.7307068976821884
20240418063004,4,2024,4,18,6,30,0.3,1001.22,27.55,67.16,9846.75,18.3,0.0,1001.04,27.45,66.3,7826.67,10.66,1.39,1001.38,27.65,67.98,12601.67,31.82,-0.30545784553198874,-1.2271847310463684,-0.9091114467953928,0.2677434502011201,-0.644619474752874,-0.711713408865828,-0.4788324524015088,-1.264377747054356,-0.888959046223196,0.2849945239133415,-0.6317427110401664,-0.6307439135122994,0.3195348493590093,-1.1963543050806822,-0.9286230698220908,0.24898682558236,-0.6271455835403192,-0.7303681536835791
20240418064004,4,2024,4,18,6,40,0.1,1001.47,27.51,68.52,10591.25,18.75,0.0,1001.41,27.42,68.06,9045.0,13.74,0.96,1001.56,27.66,69.03,12799.17,26.0,-0.5129896584460926,-1.1419556734764014,-0.9134247589189938,0.3155006376501444,-0.6229268736301734,-0.7108064979414002,-0.4788324524015088,-1.138492367151933,-0.892275801056181,0.3462693864165194,-0.5926515969338955,-0.6237319147301885,0.011357271989770105,-1.1348783417747008,-0.9275709681777861,0.28614686841937254,-0.6219336909936528,-0.7402256040431123
