SeqNumber,Device_ID,Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW)
20240117152002,2,2024,1,17,15,20,0.26,1013.48,26.4,43.39,18605.42,61.74,0.0,1013.47,26.33,42.99,18575.83,61.29,0.52,1013.49,26.46,43.78,18635.0,62.2
20240117153002,2,2024,1,17,15,30,0.35,1013.48,26.19,44.99,15304.58,40.75,0.35,1013.48,26.12,43.84,14980.83,39.39,0.35,1013.49,26.26,46.14,15628.33,42.12
20240117154002,2,2024,1,17,15,40,1.06,1013.5,25.61,49.5,14010.83,34.39,0.0,1013.47,25.09,47.97,12805.83,27.23,1.92,1013.55,26.01,51.17,15128.33,40.54
20240117155002,2,2024,1,17,15,50,0.9,1013.49,26.88,46.89,34592.51,144.95,0.0,1013.45,25.08,40.81,18414.17,43.63,1.65,1013.53,29.17,51.36,45498.67,257.22
20240117160002,2,2024,1,17,16,00,0.75,1013.48,29.33,40.12,34370.57,85.02,0.0,1013.45,28.83,38.89,22098.33,23.76,1.57,1013.5,29.78,41.45,40942.5,226.57
20240117161002,2,2024,1,17,16,10,0.75,1013.55,27.07,44.64,12747.17,15.54,0.0,1013.5,24.97,39.0,8445.0,9.89,1.48,1013.6,29.64,49.43,28655.0,49.14
20240117162002,2,2024,1,17,16,20,0.47,1013.63,24.28,52.44,10925.67,9.62,0.0,1013.58,24.01,50.24,8354.17,8.04,1.31,1013.66,24.71,53.8,18613.33,14.53
20240117163002,2,2024,1,17,16,30,0.36,1013.67,24.88,49.27,13362.33,7.08,0.0,1013.61,24.41,48.06,8230.0,4.58,1.22,1013.74,25.17,51.87,20853.33,11.78
20240117164002,2,2024,1,17,16,40,0.03,1013.77,23.23,53.88,5005.5,3.6,0.0,1013.73,22.43,50.97,4574.17,2.96,0.35,1013.83,24.19,56.47,5870.83,4.22
20240117165002,2,2024,1,17,16,50,0.0,1013.88,21.78,59.69,4420.5,3.03,0.0,1013.83,21.36,57.67,3821.67,2.17,0.0,1013.91,22.31,61.21,4620.0,3.37
20240117170002,2,2024,1,17,17,00,0.0,1013.89,20.78,64.32,2761.5,0.9,0.0,1013.83,20.28,61.63,2225.0,0.54,0.0,1013.94,21.27,65.89,3574.17,1.69
20240117171002,2,2024,1,17,17,10,0.0,1013.97,20.04,67.18,1733.43,0.31,0.0,1013.95,19.82,66.55,1389.17,0.18,0.0,1014.02,20.18,68.01,2060.83,0.42
20240117172002,2,2024,1,17,17,20,0.0,1014.1,19.49,69.91,916.25,0.09,0.0,1014.04,19.17,67.94,572.5,0.04,0.0,1014.14,19.73,71.05,1292.5,0.17
20240117173002,2,2024,1,17,17,30,0.12,1014.17,18.84,73.55,282.83,0.01,0.0,1014.13,18.67,70.81,114.17,0.0,0.44,1014.2,19.09,75.1,507.5,0.04
20240117174002,2,2024,1,17,17,40,0.32,1014.27,18.54,75.03,50.47,0.0,0.0,1014.23,18.49,74.54,20.83,0.0,0.87,1014.32,18.65,75.62,92.5,0.0
20240118062002,2,2024,1,18,6,20,2.14,1012.92,13.59,87.41,78.65,0.0,1.65,1012.86,13.52,87.18,30.83,0.0,2.79,1012.95,13.65,87.72,146.67,0.0
20240118063002,2,2024,1,18,6,30,1.19,1012.95,13.52,87.36,339.35,0.02,0.0,1012.9,13.48,87.19,174.17,0.0,2.96,1013.03,13.55,87.46,545.83,0.04
20240118064002,2,2024,1,18,6,40,1.96,1013.1,13.65,85.9,1075.58,0.21,1.31,1013.07,13.5,84.28,686.67,0.06,2.87,1013.15,13.91,87.08,1512.5,0.42
