SeqNumber,Device_ID,Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW)
20240101062017,17,2024,1,1,6,20,0.0,1022.91,17.9,63.1,22.5,0.0,0,1022.91,17.9,63.1,22.5,0.0,0,1022.91,17.9,63.1,22.5,0.0
20240101063017,17,2024,1,1,6,30,0.0,1023.0,17.9,63.33,52.5,0.01,0,1022.95,17.9,63.1,29.17,0.0,0,1023.07,17.9,63.4,84.17,0.01
20240101064017,17,2024,1,1,6,40,0.0,1023.09,17.9,63.69,183.75,0.02,0,1023.0,17.9,63.5,96.67,0.01,0,1023.13,17.9,63.9,300.0,0.03
20240101065017,17,2024,1,1,6,50,0.0,1023.18,17.96,64.16,356.25,0.05,0,1023.13,17.9,63.9,294.17,0.02,0,1023.22,18.0,64.5,498.33,0.07
20240101070017,17,2024,1,1,7,00,0.0,1023.2,18.03,65.22,751.17,0.18,0,1023.14,18.0,64.4,617.5,0.13,0,1023.26,18.1,65.6,901.67,0.24
20240101071017,17,2024,1,1,7,10,0.0,1023.3,18.1,65.41,866.75,0.23,0,1023.2,18.1,65.0,809.17,0.17,0,1023.42,18.1,65.7,970.0,0.31
20240101072017,17,2024,1,1,7,20,0.0,1023.49,18.19,64.81,1055.58,0.32,0,1023.36,18.1,64.6,800.0,0.18,0,1023.62,18.2,65.0,1290.0,0.4
20240101073017,17,2024,1,1,7,30,0.0,1023.65,18.15,64.62,932.17,0.25,0,1023.6,18.1,64.5,862.5,0.23,0,1023.74,18.2,64.7,1012.5,0.29
20240101074017,17,2024,1,1,7,40,0.0,1023.75,18.1,65.4,1042.67,0.3,0,1023.63,18.1,64.8,874.17,0.23,0,1023.82,18.1,65.8,1194.17,0.37
20240101075017,17,2024,1,1,7,50,0.0,1023.96,18.1,66.63,1859.83,0.89,0,1023.83,18.1,66.0,1215.83,0.4,0,1024.08,18.1,67.4,2640.83,1.63
20240101080017,17,2024,1,1,8,00,0.0,1024.0,18.23,67.42,2211.83,1.23,0,1023.92,18.1,67.0,1935.83,0.95,0,1024.16,18.3,67.7,2700.0,1.69
20240101081017,17,2024,1,1,8,10,0.0,1024.03,18.3,67.15,2844.58,1.89,0,1023.94,18.3,67.0,2266.67,1.21,0,1024.1,18.3,67.3,3453.33,2.69
20240101082017,17,2024,1,1,8,20,0.0,1024.03,18.38,67.15,3274.67,2.51,0,1023.98,18.3,66.6,3024.17,2.23,0,1024.1,18.4,67.5,3430.83,2.7
20240101083017,17,2024,1,1,8,30,0.0,1024.21,18.46,66.47,4019.92,3.8,0,1024.13,18.4,66.3,3148.33,2.34,0,1024.29,18.5,66.6,4761.67,5.25
20240101084017,17,2024,1,1,8,40,0.0,1024.36,18.6,66.7,5415.33,6.64,0,1024.27,18.5,66.4,4272.5,4.09,0,1024.43,18.7,66.8,5940.83,8.16
20240101085017,17,2024,1,1,8,50,0.0,1024.41,18.89,65.78,5790.42,7.6,0,1024.37,18.8,65.2,5013.33,6.01,0,1024.43,19.0,66.7,6726.67,9.78
20240101090017,17,2024,1,1,9,00,0.0,1024.42,19.0,65.3,5758.17,7.23,0,1024.38,19.0,65.2,5507.5,6.61,0,1024.45,19.0,65.4,6003.33,7.78
20240101091017,17,2024,1,1,9,10,0.0,1024.45,19.01,65.15,5778.75,7.81,0,1024.38,19.0,65.0,4696.67,5.0,0,1024.51,19.1,65.3,7572.5,12.74
20240101092017,17,2024,1,1,9,20,0.0,1024.54,19.15,64.65,7257.17,11.54,0,1024.43,19.1,64.4,6821.67,10.56,0,1024.71,19.2,64.9,7799.17,12.99
20240101093017,17,2024,1,1,9,30,0.0,1024.62,19.3,64.67,7517.17,12.46,0,1024.56,19.2,64.3,5693.33,7.08,0,1024.68,19.4,65.0,9616.67,19.27
20240101094017,17,2024,1,1,9,40,0.0,1024.56,19.45,64.39,7619.08,13.21,0,1024.52,19.3,63.8,5816.67,7.88,0,1024.6,19.5,65.1,10046.67,21.57
20240101095017,17,2024,1,1,9,50,0.0,1024.47,19.65,64.39,11013.58,25.53,0,1024.42,19.5,63.9,9353.33,18.32,0,1024.53,19.9,64.7,12055.83,30.67
20240101100017,17,2024,1,1,10,00,0.0,1024.31,20.26,63.98,15059.0,47.37,0,1024.25,19.9,63.4,12436.67,32.2,0,1024.41,20.6,64.2,16711.67,56.89
20240101101017,17,2024,1,1,10,10,0.0,1024.25,20.98,62.44,16462.25,58.65,0,1024.19,20.7,62.0,15557.5,50.29,0,1024.29,21.2,63.2,17322.5,66.82
20240101102017,17,2024,1,1,10,20,0.0,1024.19,21.49,61.07,15433.92,54.15,0,1024.05,21.3,59.6,9504.17,20.72,0,1024.3,21.6,62.2,19423.33,80.36
20240101103017,17,2024,1,1,10,30,0.0,1024.13,20.89,60.04,8632.25,16.41,0,1024.05,20.4,59.5,8326.67,15.58,0,1024.19,21.4,60.7,9067.5,17.39
20240101104017,17,2024,1,1,10,40,0.0,1024.16,20.34,61.9,11667.33,30.63,0,1024.08,20.3,60.9,8803.33,17.86,0,1024.21,20.4,62.5,13215.0,38.57
20240101105017,17,2024,1,1,10,50,0.0,1024.0,20.4,61.13,11000.0,27.1,0,1023.94,20.4,60.7,10779.17,25.92,0,1024.07,20.4,61.7,11398.33,29.47
20240101110017,17,2024,1,1,11,00,0.0,1023.82,20.47,61.4,11711.83,30.46,0,1023.73,20.4,60.8,10982.5,27.01,0,1023.92,20.6,61.8,12709.17,35.15
20240101111017,17,2024,1,1,11,10,0.0,1023.66,20.61,60.28,11893.67,31.44,0,1023.58,20.6,60.0,10476.67,23.91,0,1023.75,20.7,60.6,12882.5,36.1
20240101112017,17,2024,1,1,11,20,0.0,1023.5,20.55,60.1,9257.0,19.45,0,1023.34,20.5,59.7,8689.17,17.36,0,1023.6,20.6,60.7,10342.5,23.44
20240101113017,17,2024,1,1,11,30,0.0,1023.25,20.52,61.12,10974.42,26.58,0,1023.18,20.5,60.9,9333.33,19.5,0,1023.32,20.6,61.4,12320.0,32.95
20240101114017,17,2024,1,1,11,40,0.0,1023.08,20.52,61.13,10979.83,27.33,0,1022.92,20.4,60.7,10076.67,23.39,0,1023.19,20.6,61.7,11956.67,31.9
20240101115017,17,2024,1,1,11,50,0.0,1022.82,20.31,62.09,9592.58,20.83,0,1022.74,20.2,61.6,8811.67,17.58,0,1022.9,20.4,62.8,10782.5,25.88
20240101120017,17,2024,1,1,12,00,0.0,1022.62,20.19,63.32,11326.08,29.44,0,1022.54,20.1,63.0,8335.83,16.32,0,1022.73,20.3,63.8,15155.83,47.95
20240101121017,17,2024,1,1,12,10,0.0,1022.47,20.66,63.1,13682.75,41.75,0,1022.3,20.4,62.0,11991.67,30.73,0,1022.56,20.8,63.9,15081.67,49.48
20240101122017,17,2024,1,1,12,20,0.0,1022.24,20.6,61.69,10262.83,23.73,0,1022.09,20.4,61.4,8425.83,16.75,0,1022.35,20.8,62.0,12232.5,32.36
20240101123017,17,2024,1,1,12,30,0.0,1022.19,20.13,62.3,8294.17,15.44,0,1022.1,19.9,61.9,7016.67,11.34,0,1022.31,20.3,62.8,10359.17,22.65
20240101124017,17,2024,1,1,12,40,0.0,1022.02,19.75,62.8,6031.67,8.46,0,1021.93,19.6,62.7,5341.67,6.99,0,1022.1,19.9,62.9,6610.0,9.95
20240101125017,17,2024,1,1,12,50,0.0,1021.88,19.46,63.25,5408.0,6.87,0,1021.82,19.4,62.7,5169.17,6.07,0,1021.95,19.6,63.6,5511.67,7.1
20240101130017,17,2024,1,1,13,00,0.0,1021.89,19.25,63.38,4619.75,4.9,0,1021.79,19.1,63.2,4493.33,4.51,0,1022.01,19.4,63.6,4999.17,5.88
20240101131017,17,2024,1,1,13,10,0.0,1021.72,19.02,63.83,4267.17,4.06,0,1021.65,18.9,63.2,4103.33,3.84,0,1021.8,19.1,64.5,4465.83,4.43
20240101132017,17,2024,1,1,13,20,0.0,1021.65,18.86,64.22,3849.5,3.36,0,1021.57,18.8,64.0,3580.0,3.01,0,1021.7,18.9,64.6,4048.33,3.8
20240101133017,17,2024,1,1,13,30,0.0,1021.59,18.73,64.68,3835.67,3.35,0,1021.5,18.7,64.4,3760.83,3.14,0,1021.67,18.8,64.8,4033.33,3.6
20240101134017,17,2024,1,1,13,40,0.0,1021.5,18.61,64.71,3976.42,3.66,0,1021.45,18.6,64.5,3735.83,3.19,0,1021.54,18.7,65.0,4177.5,3.95
20240101135017,17,2024,1,1,13,50,0.0,1021.4,18.65,64.77,4373.67,4.38,0,1021.26,18.6,64.3,4278.33,4.07,0,1021.49,18.7,65.1,4549.17,4.78
20240101140017,17,2024,1,1,14,00,0.0,1021.34,18.7,64.69,4382.5,4.47,0,1021.3,18.7,64.6,4213.33,4.03,0,1021.38,18.7,64.9,4612.5,4.92
20240101141017,17,2024,1,1,14,10,0.0,1021.31,18.79,64.76,4331.25,4.41,0,1021.28,18.7,64.7,4081.67,3.95,0,1021.36,18.8,64.8,4597.5,4.88
20240101142017,17,2024,1,1,14,20,0.0,1021.34,18.8,64.55,4171.16,4.15,0,1021.29,18.8,64.2,3515.83,3.09,0,1021.39,18.8,64.9,4640.83,4.94
20240101143017,17,2024,1,1,14,30,0.0,1021.24,18.82,64.37,4014.58,3.79,0,1021.11,18.8,64.2,3590.0,3.14,0,1021.33,18.9,64.5,4457.5,4.78
20240101144017,17,2024,1,1,14,40,0.0,1021.19,18.92,64.28,4337.08,4.44,0,1021.14,18.9,64.1,3768.33,3.5,0,1021.24,19.0,64.5,4555.0,4.9
20240101145017,17,2024,1,1,14,50,0.0,1021.1,18.98,64.26,4239.5,4.44,0,1021.02,18.9,64.0,3730.0,3.42,0,1021.18,19.0,64.5,4698.33,5.32
20240101150017,17,2024,1,1,15,00,0.0,1021.01,19.05,64.9,4781.92,5.43,0,1020.97,19.0,64.5,4322.5,4.37,0,1021.05,19.1,65.1,5246.67,6.47
20240101151017,17,2024,1,1,15,10,0.0,1020.96,19.02,65.21,4126.42,4.22,0,1020.9,19.0,64.9,3673.33,3.49,0,1021.04,19.1,65.5,4508.33,4.84
20240101152017,17,2024,1,1,15,20,0.0,1021.08,18.99,64.91,3092.08,2.55,0,1021.01,18.9,64.4,1390.83,0.56,0,1021.18,19.1,65.4,4259.17,4.35
20240101153017,17,2024,1,1,15,30,0.0,1021.25,18.63,64.84,1236.0,0.46,0,1021.1,18.4,64.4,1115.0,0.36,0,1021.35,18.8,65.3,1369.17,0.62
