SeqNumber,Device_ID,Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW),Std_Avg_WindSpeed(m/s),Std_Avg_Pressure(hpa),Std_Avg_Temperature(°C),Std_Avg_Humidity(%),Std_Avg_Sunlight(Lux),Std_Avg_Power(mW),Std_Min_WindSpeed(m/s),Std_Min_Pressure(hpa),Std_Min_Temperature(°C),Std_Min_Humidity(%),Std_Min_Sunlight(Lux),Std_Min_Power(mW),Std_Max_WindSpeed(m/s),Std_Max_Pressure(hpa),Std_Max_Temperature(°C),Std_Max_Humidity(%),Std_Max_Sunlight(Lux),Std_Max_Power(mW)
20240309140003,3,2024,3,9,14,00,2.05,1015.62,17.66,50.18,8406.56,15.84,0.0,1015.57,17.52,49.53,7444.58,12.28,3.14,1015.71,17.71,50.71,9068.33,18.32,2.2577897908872626,1.6457711398129655,-1.5553590916927766,-0.7452402419972248,-0.5865029112116961,-0.5982368499071298,-0.35683972870969966,1.6494356144344147,-1.57417199092122,-0.6892635867138273,-0.5478471793338868,-0.5284323238311635,1.9855846768101484,1.6508181184116892,-1.5477624734734852,-0.8081629373945123,-0.621117427919675,-0.63075130533576
20240309141003,3,2024,3,9,14,10,2.47,1015.63,18.1,49.23,10859.83,26.7,0.96,1015.48,17.54,47.97,8210.0,14.88,4.7,1015.78,18.52,50.41,12414.17,33.87,2.8281913606004445,1.6478215901491515,-1.5031122478486496,-0.7820329901414335,-0.5062179677287946,-0.5767802978633347,2.139459676280687,1.630989954305955,-1.571688755132202,-0.7480524844117924,-0.5189921936371156,-0.5221211940179317,3.2663848953341104,1.6651787103631772,-1.4556578835285932,-0.8201088027258775,-0.5256132957188556,-0.6061948080824637
20240309142003,3,2024,3,9,14,20,2.03,1015.67,18.47,48.14,11468.33,28.81,1.05,1015.63,18.26,47.86,10238.33,24.16,4.27,1015.73,18.58,48.44,12863.33,35.2,2.230627811377111,1.656023391493895,-1.4591774018888157,-0.8242478274858409,-0.4863043878499612,-0.5726114834238865,2.373487745498536,1.6617327211867057,-1.4822922667275493,-0.7521978554033155,-0.44252772558254155,-0.4995953152999351,2.9133438094589152,1.6549211446835428,-1.448835321310453,-0.898553318401841,-0.5127924088804774,-0.6040944774492236
20240309143003,3,2024,3,9,14,30,1.86,1015.71,18.24,48.42,9939.42,22.68,0.96,1015.6,18.0,47.88,8400.83,15.54,3.14,1015.86,18.46,49.19,11504.17,31.16,1.999750985540824,1.664225192838662,-1.486488252080064,-0.8134036490854425,-0.536339016301148,-0.5847227784541318,2.139459676280687,1.65558416781056,-1.514574331984785,-0.7514441515866749,-0.5117982387881244,-0.520519137988419,1.9855846768101484,1.6815908154506152,-1.462480445746733,-0.8686886550734284,-0.5515884649746317,-0.6104744291471861
20240309144003,3,2024,3,9,14,40,1.45,1015.74,18.1,49.46,9616.58,21.97,0.44,1015.66,17.95,48.64,8717.5,16.64,3.66,1015.83,18.26,50.15,10788.33,28.9,1.4429304055827188,1.6703765438472198,-1.5031122478486496,-0.7731252721696775,-0.5469041767417108,-0.5861255548768846,0.787297498577561,1.667881274562851,-1.5207824214573304,-0.722803406554333,-0.499860337608907,-0.5178490446058979,2.4125180829848025,1.6754362760428347,-1.4852223198072003,-0.8304618860130604,-0.5720215036120544,-0.6140434120277295
20240309145003,3,2024,3,9,14,50,2.01,1015.81,18.08,49.81,10126.17,23.53,0.87,1015.72,17.93,49.25,8536.67,16.61,3.14,1015.87,18.22,50.27,11960.83,31.26,2.2034658318669598,1.6847296962005214,-1.5054871043870193,-0.7595700491691796,-0.530227494456658,-0.5830433982297094,1.9054316070628385,1.6801783813151654,-1.5232656572463485,-0.6998154401467954,-0.5066773100731059,-0.517921865334512,1.9855846768101484,1.683642328586542,-1.489770694619294,-0.8256835398805142,-0.5385534970709585,-0.6103165095507019
20240309150003,3,2024,3,9,15,00,2.14,1015.73,17.7,50.62,7186.17,11.67,0.87,1015.69,17.36,49.87,6315.0,8.71,3.31,1015.77,17.92,51.71,9009.17,17.55,2.3800186986829446,1.668326093511034,-1.550609378616038,-0.7281993902251704,-0.6264410110446121,-0.6064756917140013,1.9054316070628385,1.67402982793902,-1.594037877233365,-0.6764506218309375,-0.590430355555254,-0.5370979905362547,2.125159059598016,1.6631271972272503,-1.5238835057099944,-0.7683433862899622,-0.6228060993627207,-0.6319672862286884
20240309151003,3,2024,3,9,15,10,1.29,1015.77,17.63,51.74,7220.83,11.09,0.26,1015.65,17.35,51.04,6535.83,9.4,3.05,1015.93,17.8,52.24,8331.67,14.88,1.225634569501507,1.6765278948557776,-1.558921376500331,-0.6848226766235772,-0.6253067387708234,-0.6076216217494895,0.3192413601418635,1.6658317567708025,-1.5952794951278737,-0.6323589485574637,-0.582105453551886,-0.5354231137781278,1.911692356510689,1.6959514074021032,-1.537528630146275,-0.7472390242045506,-0.642144755594356,-0.6361837394548171
20240309152003,3,2024,3,9,15,20,1.52,1015.8,17.84,51.11,9976.58,23.21,0.61,1015.74,17.71,50.03,8828.33,16.64,2.09,1015.85,18.09,51.79,12885.83,39.05,1.5379973338682489,1.6826792458643354,-1.5339853828474521,-0.7092220780244733,-0.5351229298125736,-0.5836756354906685,1.2293505182112754,1.6842774168992622,-1.5505812509255477,-0.6704209912978127,-0.4956822418382541,-0.5178490446058979,1.123507606649789,1.6795393023146883,-1.5045529127585975,-0.7651578222015982,-0.5121501656845928,-0.5980145729845812
20240309153003,3,2024,3,9,15,30,1.14,1015.69,18.28,49.78,11324.25,31.1,0.0,1015.64,18.07,48.83,9818.33,24.71,1.92,1015.77,18.54,50.4,13084.17,39.09,1.0219197231753707,1.6601242921662902,-1.4817385390033249,-0.7607319254263651,-0.49101950467648925,-0.5680870355251488,-0.35683972870969966,1.6637822389787542,-1.5058830067232216,-0.7156432202962476,-0.4583609857438177,-0.49826026860867456,0.9839332238619215,1.6631271972272503,-1.4533836961225464,-0.8205069982369229,-0.5064887205525151,-0.5979514051459874
