SeqNumber,Device_ID,Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW)
20240517165007,7,2024,5,17,16,50,1.29,1006.38,27.26,60.39,3498.19,2.07,0.0,1006.37,27.06,60.08,3247.5,1.77,4.09,1006.4,27.36,61.03,3678.33,2.31
20240517170007,7,2024,5,17,17,00,0.66,1006.43,27.28,60.4,3326.58,1.86,0.0,1006.33,27.22,60.15,2942.5,1.48,5.14,1006.52,27.34,60.76,3639.17,2.12
20240517171007,7,2024,5,17,17,10,0.0,1006.58,27.09,60.91,2360.33,0.97,0.0,1006.54,26.87,60.32,2046.67,0.77,0.0,1006.61,27.21,62.04,2706.67,1.23
20240517172007,7,2024,5,17,17,20,0.02,1006.6,26.44,69.09,1794.67,0.61,0.0,1006.56,25.67,62.57,1715.83,0.58,0.17,1006.64,26.85,77.97,1928.33,0.63
20240517173007,7,2024,5,17,17,30,0.99,1006.55,24.91,81.66,2555.17,1.48,0.0,1006.5,24.31,76.31,1805.0,0.64,6.88,1006.6,25.5,85.5,3530.0,2.8
20240517174007,7,2024,5,17,17,40,0.0,1006.68,23.78,87.65,3603.58,2.79,0.0,1006.61,23.56,85.36,3031.67,2.0,0.0,1006.72,24.15,90.26,3884.17,3.2
20240517175007,7,2024,5,17,17,50,0.0,1006.69,23.59,89.34,2056.75,0.98,0.0,1006.57,23.5,88.45,1531.67,0.55,0.0,1006.77,23.64,89.87,2816.67,1.74
20240517180007,7,2024,5,17,18,00,0.0,1006.48,23.27,88.95,1475.08,0.53,0.0,1006.44,23.12,88.18,1375.0,0.46,0.0,1006.53,23.46,89.85,1572.5,0.61
20240517181007,7,2024,5,17,18,10,0.0,1006.54,22.99,89.55,869.75,0.22,0.0,1006.49,22.91,88.61,612.5,0.12,0.0,1006.56,23.09,90.56,1252.5,0.42
20240517182007,7,2024,5,17,18,20,0.0,1006.49,22.9,90.71,382.25,0.05,0.0,1006.42,22.86,89.95,209.17,0.02,0.0,1006.54,22.93,91.35,555.83,0.1
20240517183007,7,2024,5,17,18,30,0.0,1006.57,22.84,91.16,113.42,0.01,0.0,1006.48,22.79,90.85,50.83,0.0,0.0,1006.65,22.87,91.58,185.83,0.01
20240517184007,7,2024,5,17,18,40,0.0,1006.64,22.72,91.02,31.25,0.0,0.0,1006.59,22.69,90.71,21.67,0.0,0.0,1006.67,22.75,91.63,41.67,0.0
