SeqNumber,Device_ID,Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW)
20240514165006,6,2024,5,14,16,50,0.22,1007.62,25.6,63.3,5998.0,8.47,0.0,1006.95,25.15,62.96,5389.17,6.17,0.7,1007.95,25.74,63.69,6390.0,10.0
20240514170006,6,2024,5,14,17,00,0.45,1007.77,25.36,64.63,4886.33,5.63,0.0,1007.48,25.16,63.59,4335.83,4.14,1.13,1008.01,25.73,65.98,5415.83,6.85
20240514171006,6,2024,5,14,17,10,0.54,1008.0,24.96,67.08,2893.83,1.89,0.0,1007.63,24.67,66.06,2249.17,1.03,1.13,1008.14,25.22,67.9,4163.33,3.72
20240514172006,6,2024,5,14,17,20,0.37,1008.01,24.64,68.68,1971.33,0.93,0.0,1007.48,24.46,67.81,1625.0,0.61,0.96,1008.22,24.81,69.46,2515.0,1.34
20240514173006,6,2024,5,14,17,30,0.45,1008.09,24.6,69.75,2304.83,1.32,0.0,1007.99,24.54,69.4,1890.83,0.91,1.31,1008.17,24.66,70.08,2702.5,1.88
20240514174006,6,2024,5,14,17,40,0.41,1008.21,24.55,69.94,1878.67,1.04,0.0,1008.13,24.49,69.74,1593.33,0.79,1.74,1008.31,24.59,70.34,2074.17,1.17
20240514175006,6,2024,5,14,17,50,0.41,1008.26,24.41,69.85,1283.75,0.48,0.0,1008.17,24.32,69.57,755.0,0.16,1.57,1008.43,24.52,70.35,1626.67,0.78
20240514180006,6,2024,5,14,18,00,0.32,1008.36,24.25,70.64,564.08,0.08,0.0,1008.26,24.21,70.47,486.67,0.07,1.31,1008.43,24.29,70.9,674.17,0.12
20240514181006,6,2024,5,14,18,10,0.48,1008.4,24.09,71.28,490.75,0.07,0.0,1008.17,23.91,70.67,405.0,0.05,0.87,1008.47,24.21,71.9,545.83,0.09
20240514182006,6,2024,5,14,18,20,0.46,1008.49,23.98,71.96,251.58,0.02,0.0,1008.3,23.88,71.79,162.5,0.01,0.87,1008.57,24.04,72.17,370.0,0.04
20240514183006,6,2024,5,14,18,30,0.51,1008.35,23.83,72.3,80.67,0.0,0.26,1007.82,23.4,72.02,31.67,0.0,0.7,1008.57,23.94,72.54,145.83,0.01
20240514184006,6,2024,5,14,18,40,1.09,1007.92,23.44,72.57,22.5,0.0,0.96,1007.79,23.36,72.56,20.0,0.0,1.22,1008.04,23.53,72.58,25.0,0.0
20240515045006,6,2024,5,15,4,50,0.0,1008.44,22.0,86.68,27.08,0.0,0.0,1008.44,22.0,86.45,24.17,0.0,0.0,1008.45,22.0,86.9,30.0,0.0
20240515050006,6,2024,5,15,5,00,0.0,1008.46,21.96,86.76,106.33,0.01,0.0,1008.43,21.92,86.48,37.5,0.0,0.0,1008.49,21.98,87.0,200.83,0.03
20240515051006,6,2024,5,15,5,10,0.0,1008.48,21.92,86.75,414.42,0.07,0.0,1008.42,21.91,86.4,230.0,0.03,0.0,1008.58,21.95,87.56,646.67,0.13
20240515052006,6,2024,5,15,5,20,0.0,1008.6,22.1,86.29,1171.42,0.38,0.0,1008.55,21.97,85.84,719.17,0.13,0.0,1008.65,22.25,86.96,1746.67,0.73
20240515053006,6,2024,5,15,5,30,0.0,1008.7,22.53,84.49,2386.83,1.4,0.0,1008.6,22.3,83.43,1875.83,0.91,0.0,1008.77,22.82,85.44,3171.67,2.3
20240515054006,6,2024,5,15,5,40,0.0,1008.74,23.16,82.19,3949.75,3.38,0.0,1008.7,22.89,81.3,3340.0,2.62,0.0,1008.8,23.39,83.03,4822.5,4.75
20240515055006,6,2024,5,15,5,50,0.0,1008.87,23.87,79.48,6327.58,8.11,0.0,1008.81,23.45,78.03,5104.17,5.32,0.0,1008.91,24.27,80.94,7400.0,10.54
20240515060006,6,2024,5,15,6,00,0.0,1009.01,24.77,75.8,7842.92,11.29,0.0,1008.91,24.33,74.18,7329.17,9.76,0.0,1009.09,25.11,77.72,8430.0,13.23
