SeqNumber,Device_ID,Year,Month,Day,Hour,Minute,Avg_WindSpeed(m/s),Avg_Pressure(hpa),Avg_Temperature(°C),Avg_Humidity(%),Avg_Sunlight(Lux),Avg_Power(mW),Min_WindSpeed(m/s),Min_Pressure(hpa),Min_Temperature(°C),Min_Humidity(%),Min_Sunlight(Lux),Min_Power(mW),Max_WindSpeed(m/s),Max_Pressure(hpa),Max_Temperature(°C),Max_Humidity(%),Max_Sunlight(Lux),Max_Power(mW)
20240209145015,15,2024,2,9,14,50,0.56,1020.92,18.5,65.1,7362.5,11.05,0.0,1020.78,18.49,64.87,7090.83,10.32,1.13,1021.06,18.51,65.32,7634.17,11.78
20240209150015,15,2024,2,9,15,00,0.89,1020.97,18.38,66.07,7227.67,10.68,0.0,1020.91,18.29,64.57,6565.83,8.77,3.22,1021.06,18.48,67.04,7851.67,12.45
20240209151015,15,2024,2,9,15,10,0.93,1021.0,18.14,66.38,6326.0,8.17,0.0,1020.87,18.07,65.24,5390.83,5.98,2.79,1021.18,18.33,67.18,7314.17,10.73
20240209152015,15,2024,2,9,15,20,1.32,1021.06,17.89,67.64,4982.67,5.04,0.17,1020.98,17.73,66.95,4311.67,3.84,3.05,1021.18,18.08,68.38,5531.67,6.24
20240209153015,15,2024,2,9,15,30,1.22,1021.16,17.65,67.97,4904.33,4.98,0.0,1021.07,17.56,67.09,4065.0,3.46,3.57,1021.28,17.78,68.96,5859.17,6.88
20240209154015,15,2024,2,9,15,40,2.15,1021.23,17.57,67.79,5098.42,5.44,0.0,1021.04,17.48,67.04,4325.0,3.94,4.62,1021.32,17.65,68.74,5550.83,6.34
20240209155015,15,2024,2,9,15,50,2.12,1021.29,17.48,68.32,4287.5,3.93,0.78,1021.15,17.39,67.46,3683.33,2.85,4.88,1021.38,17.57,68.89,5245.83,5.7
20240209160015,15,2024,2,9,16,00,1.65,1021.38,17.37,67.7,3602.92,2.78,0.17,1021.27,17.29,66.4,3379.17,2.42,5.66,1021.47,17.42,68.99,3922.5,3.41
20240209161015,15,2024,2,9,16,10,1.72,1021.44,17.27,68.59,3430.58,2.5,0.17,1021.38,17.19,67.92,3100.0,2.04,3.75,1021.52,17.35,69.48,3695.83,2.85
20240209162015,15,2024,2,9,16,20,1.32,1021.57,17.18,69.21,2415.83,1.36,0.26,1021.49,17.09,68.35,2050.0,0.97,3.48,1021.82,17.27,69.74,3205.0,2.14
