"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1009.2","1011.4","26.1","24.7","92","1.6","40","8.4","180","0.5","0.2","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1008.8","1011.0","25.7","24.5","93","1.5","20","4.1","30","T","0.1","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1008.3","1010.5","25.7","24.5","93","0.7","270","2.6","350","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1008.1","1010.3","24.8","23.6","93","1.5","260","2.4","270","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1008.1","1010.3","23.0","20.7","87","3.2","250","4.7","240","0.0","0.0","--","0.00","--","0","--","26.2","26.9","27.6","28.1","28.6","28.7","26.3"
"06","1008.3","1010.5","23.9","20.8","83","2.2","240","5.0","260","0.0","0.0","0.0","0.04","--","0","--","--","--","--","--","--","--","--"
"07","1008.9","1011.1","25.1","21.8","82","3.7","250","5.5","230","0.0","0.0","0.6","0.46","--","0","--","--","--","--","--","--","--","--"
"08","1008.9","1011.1","27.2","22.4","75","4.4","240","6.8","220","0.0","0.0","1.0","1.31","20.0","1","1.0","--","--","--","--","--","--","--"
"09","1008.6","1010.8","29.4","22.4","66","3.3","220","6.8","230","0.0","0.0","1.0","2.08","20.0","3","1.0","26.5","26.3","26.7","27.3","28.1","28.6","26.4"
"10","1007.8","1010.0","29.2","24.8","77","5.1","160","6.6","170","0.0","0.0","1.0","2.77","--","6","--","--","--","--","--","--","--","--"
"11","1007.0","1009.2","28.8","24.4","77","7.7","170","11.6","170","0.0","0.0","1.0","3.28","20.0","8","2.0","--","--","--","--","--","--","--"
"12","1006.1","1008.3","29.1","24.9","78","6.4","170","11.2","180","0.0","0.0","1.0","3.54","--","10","--","--","--","--","--","--","--","--"
"13","1005.1","1007.3","29.5","25.1","77","8.1","170","13.2","170","0.0","0.0","1.0","3.49","--","9","--","--","--","--","--","--","--","--"
"14","1004.3","1006.5","29.7","24.6","74","6.5","180","11.9","160","0.0","0.0","1.0","3.12","20.0","8","3.0","29.2","28.5","28.5","27.7","27.9","28.5","26.5"
"15","1004.1","1006.3","29.3","24.9","77","5.5","170","11.8","190","0.0","0.0","0.8","2.14","--","5","--","--","--","--","--","--","--","--"
"16","1004.1","1006.3","28.8","25.2","81","3.4","110","9.2","170","0.0","0.0","0.4","1.07","--","2","--","--","--","--","--","--","--","--"
"17","1004.6","1006.8","28.4","24.8","81","2.9","70","4.4","70","0.0","0.0","0.1","0.57","20.0","1","5.0","--","--","--","--","--","--","--"
"18","1005.3","1007.5","28.3","24.7","81","2.8","60","4.2","80","0.0","0.0","0.0","0.16","--","0","--","--","--","--","--","--","--","--"
"19","1005.6","1007.8","27.8","24.5","82","2.9","30","4.7","30","0.0","0.0","0.0","0.00","--","0","--","--","--","--","--","--","--","--"
"20","1006.2","1008.4","27.5","24.4","83","2.7","30","5.8","20","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1006.6","1008.8","27.3","24.6","85","2.2","20","6.1","30","0.0","0.0","--","0.00","--","0","--","27.8","28.5","29.2","29.4","29.2","29.0","26.5"
"22","1006.8","1009.0","27.0","24.3","85","1.6","10","3.5","350","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1006.2","1008.4","26.6","24.5","88","2.3","350","3.8","320","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1005.8","1008.0","26.5","24.4","88","2.2","340","3.2","340","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
