"觀測時間(hour)","測站氣壓(hPa)","海平面氣壓(hPa)","氣溫(℃)","露點溫度(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)","降水時數(h)","日照時數(h)","全天空日射量(MJ/㎡)","能見度(km)","紫外線指數","總雲量(0~10)","地溫0cm","地溫5cm","地溫10cm","地溫20cm","地溫30cm","地溫50cm","地溫100cm"
"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount","TxSoil0cm","TxSoil5cm","TxSoil10cm","TxSoil20cm","TxSoil30cm","TxSoil50cm","TxSoil100cm"
"01","1009.2","1011.4","25.8","25.1","96","2.9","210","5.7","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"02","1008.8","1011.0","25.5","24.8","96","2.8","230","4.6","240","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"03","1008.6","1010.8","25.4","24.7","96","3.8","240","6.0","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"04","1009.1","1011.3","25.4","24.7","96","3.7","230","5.4","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"05","1009.6","1011.8","25.6","24.6","94","2.7","230","5.3","210","0.0","0.0","--","0.00","--","0","--","25.3","25.3","25.7","25.8","26.8","27.8","28.7"
"06","1010.1","1012.3","25.4","24.5","95","2.9","240","4.9","230","0.0","0.0","0.0","0.05","--","0","--","--","--","--","--","--","--","--"
"07","1010.5","1012.7","26.8","25.2","91","3.1","230","5.3","220","0.0","0.0","0.2","0.55","--","0","--","--","--","--","--","--","--","--"
"08","1010.6","1012.8","28.5","25.1","82","2.7","220","5.0","220","0.0","0.0","1.0","1.49","20.0","2","5.0","--","--","--","--","--","--","--"
"09","1010.5","1012.7","29.3","25.7","81","2.2","200","3.7","220","0.0","0.0","0.9","2.16","20.0","4","3.0","26.8","26.1","26.1","25.7","26.7","27.7","28.7"
"10","1010.2","1012.4","29.9","25.9","79","2.2","180","3.8","180","0.0","0.0","0.9","2.69","--","8","--","--","--","--","--","--","--","--"
"11","1008.9","1011.1","29.8","25.6","78","4.0","160","6.3","170","0.0","0.0","1.0","3.41","20.0","11","3.0","--","--","--","--","--","--","--"
"12","1008.3","1010.5","29.5","26.3","83","5.7","160","8.4","170","0.0","0.0","1.0","3.65","--","13","--","--","--","--","--","--","--","--"
"13","1008.1","1010.3","29.4","26.4","84","5.2","160","8.1","170","0.0","0.0","1.0","3.67","--","13","--","--","--","--","--","--","--","--"
"14","1007.8","1010.0","29.6","26.2","82","5.0","170","8.3","160","0.0","0.0","1.0","3.38","20.0","11","3.0","30.9","30.5","29.7","27.4","27.2","28.0","28.7"
"15","1007.8","1010.0","29.1","25.9","83","4.7","170","8.2","170","0.0","0.0","1.0","2.77","--","8","--","--","--","--","--","--","--","--"
"16","1006.8","1009.0","30.1","25.0","74","3.9","180","7.1","160","0.0","0.0","1.0","2.25","--","5","--","--","--","--","--","--","--","--"
"17","1007.2","1009.4","28.7","26.1","86","3.5","160","6.6","180","0.0","0.0","1.0","1.44","25.0","2","2.0","--","--","--","--","--","--","--"
"18","1007.2","1009.4","28.1","25.7","87","2.4","120","5.2","170","0.0","0.0","1.0","0.62","--","0","--","--","--","--","--","--","--","--"
"19","1008.6","1010.8","28.1","25.3","85","0.5","80","4.1","150","0.0","0.0","0.0","0.02","--","0","--","--","--","--","--","--","--","--"
"20","1009.1","1011.3","28.5","25.3","83","0.5","80","1.7","100","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"21","1009.4","1011.6","28.0","25.2","85","0.7","190","2.8","120","0.0","0.0","--","0.00","--","0","--","28.6","29.0","29.7","29.4","29.2","29.0","28.7"
"22","1009.4","1011.6","28.0","25.4","86","0.1","0","1.6","230","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"23","1009.0","1011.2","27.3","24.8","86","0.7","290","1.8","220","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
"24","1008.6","1010.8","27.1","23.8","82","1.1","290","2.6","300","0.0","0.0","--","0.00","--","0","--","--","--","--","--","--","--","--"
